
[00:00:00.000 --> 00:00:03.400]  在今晚去到以下的環節
[00:00:03.400 --> 00:00:05.800]  亦是一個最重要的環節
[00:00:05.800 --> 00:00:08.680]  就是大家有互動的時間
[00:00:08.680 --> 00:00:12.360]  我首先請三位講者坐到台前
[00:00:12.360 --> 00:00:14.760]  我們有一個預備
[00:00:14.760 --> 00:00:18.480]  在這個對答的時間中間有一支咪
[00:00:18.480 --> 00:00:21.080]  大家遵守一些原則
[00:00:21.080 --> 00:00:24.680]  大概每人用一分鐘的時間
[00:00:24.680 --> 00:00:26.680]  你不用分享太多
[00:00:26.680 --> 00:00:30.160]  大概點出你想問的問題
[00:00:30.160 --> 00:00:36.280]  然後如果有人在問問題的時候
[00:00:36.280 --> 00:00:39.320]  其他有的時候亦可以在中間的時間
[00:00:39.320 --> 00:00:41.040]  Hello, I am Johnny
[00:00:41.040 --> 00:00:42.680]  I graduated from this school
[00:00:42.680 --> 00:00:45.640]  Thank you speakers for all the contribution
[00:00:45.640 --> 00:00:48.320]  I would like to ask a question for Dr. Moon
[00:00:48.320 --> 00:00:49.760]  我是這裡的畢業生
[00:00:49.760 --> 00:00:51.280]  很感謝三位講員
[00:00:51.280 --> 00:00:55.840]  You mentioned eating is also a thing that we can do
[00:00:55.840 --> 00:00:59.840]  你剛才提到吃東西也是我們可以做的一個行動
[00:00:59.840 --> 00:01:03.440]  Dr. Moon, you mentioned that we can eat less meat
[00:01:03.440 --> 00:01:06.440]  你看到我們可以吃少一點肉
[00:01:06.440 --> 00:01:10.440]  你是否推動我們要吃素呢?
[00:01:10.440 --> 00:01:14.440]  Inevitably seen in this consumer world
[00:01:14.440 --> 00:01:18.440]  unless we stay at home making food from raw material
[00:01:18.440 --> 00:01:21.440]  So for example, when we go to the market
[00:01:21.440 --> 00:01:26.440]  除了我們沒有辦法的一定會犯罪
[00:01:26.440 --> 00:01:30.440]  除非我們是自己在家裏做農夫
[00:01:30.440 --> 00:01:32.440]  從原始的東西出來
[00:01:32.440 --> 00:01:35.440]  否則所有東西都是被處理過的
[00:01:35.440 --> 00:01:37.440]  例如我買東西喝
[00:01:37.440 --> 00:01:41.440]  全部都是塑膠的瓶裝
[00:01:41.440 --> 00:01:45.440]  其實都非常困難
[00:01:45.440 --> 00:01:47.440]  不識喝
[00:01:47.440 --> 00:01:49.440]  我們這個細小的個人
[00:01:49.440 --> 00:01:52.440]  如何能夠做到這件事呢?
[00:01:52.440 --> 00:01:58.440]  世界是沒有辦法避免的
[00:01:58.440 --> 00:02:00.440]  一定會越來越差
[00:02:00.440 --> 00:02:04.440]  多謝你的提問
[00:02:04.440 --> 00:02:06.440]  我想你所說的
[00:02:06.440 --> 00:02:12.440]  其實我們都是在不同的系統裏面居住
[00:02:12.440 --> 00:02:16.440]  而這個系統都給予很多限制我們
[00:02:16.440 --> 00:02:19.440]  我不想我們做的就是
[00:02:19.440 --> 00:02:21.440]  我們很想去
[00:02:21.440 --> 00:02:23.440]  如何去
[00:02:23.440 --> 00:02:26.440]  吃東西是如何特別到
[00:02:26.440 --> 00:02:27.440]  我們忘記了
[00:02:27.440 --> 00:02:31.440]  是要慶祝神給我們的食物
[00:02:31.440 --> 00:02:33.440]  這件事本身
[00:02:33.440 --> 00:02:35.440]  有一個新的吃東西的方法
[00:02:35.440 --> 00:02:37.440]  不應該是一個條文主義
[00:02:37.440 --> 00:02:41.440]  所以我們需要去明白
[00:02:41.440 --> 00:02:43.440]  其實很多人都有限制
[00:02:43.440 --> 00:02:47.440]  我很幸運地
[00:02:47.440 --> 00:02:48.440]  我居住的地方
[00:02:48.440 --> 00:02:53.440]  有很多地方可以選擇如何去吃
[00:02:53.440 --> 00:02:56.440]  但就算在我居住的國家裏面
[00:02:56.440 --> 00:02:58.440]  都不是每個人都可以選擇
[00:02:58.440 --> 00:03:00.440]  有些人可能要吃很多是
[00:03:00.440 --> 00:03:02.440]  處理過的食物
[00:03:02.440 --> 00:03:06.440]  已經是被處理過的食物
[00:03:06.440 --> 00:03:08.440]  而不是一些有益的食物
[00:03:08.440 --> 00:03:12.440]  所以我們是需要在整個系統裏面去做
[00:03:12.440 --> 00:03:15.440]  例如如何看待農作物系統等等
[00:03:15.440 --> 00:03:19.440]  例如我不知道香港是怎樣
[00:03:19.440 --> 00:03:21.440]  但很容易地
[00:03:21.440 --> 00:03:23.440]  我們去問你的食物是從哪裏來
[00:03:23.440 --> 00:03:24.440]  例如我自己
[00:03:24.440 --> 00:03:26.440]  我的背景裏面
[00:03:26.440 --> 00:03:28.440]  我所想的
[00:03:28.440 --> 00:03:30.440]  因為我的信念
[00:03:30.440 --> 00:03:33.440]  所以我在家裏真的不多吃肉
[00:03:33.440 --> 00:03:35.440]  如果我在家裏吃肉的時候
[00:03:35.440 --> 00:03:37.440]  我會知道那些肉是從哪裏來
[00:03:37.440 --> 00:03:39.440]  是甚麼農場
[00:03:39.440 --> 00:03:44.440]  農夫是怎樣去對待土地等等
[00:03:44.440 --> 00:03:45.440]  我們說肉
[00:03:45.440 --> 00:03:48.440]  因為我們知道養一隻牛
[00:03:48.440 --> 00:03:50.440]  其實有很多的資源
[00:03:50.440 --> 00:03:52.440]  很多的碳排放
[00:03:52.440 --> 00:03:58.440]  所以其實對我們很多人來說
[00:03:58.440 --> 00:04:00.440]  去少吃牛肉
[00:04:00.440 --> 00:04:03.440]  已經是幫助碳排放
[00:04:03.440 --> 00:04:04.440]  我們吃的時候
[00:04:04.440 --> 00:04:06.440]  去想有甚麼後果呢
[00:04:08.440 --> 00:04:10.440]  其實對美國人來說
[00:04:10.440 --> 00:04:14.440]  可能好像是一些犧牲來講
[00:04:14.440 --> 00:04:16.440]  其實可能是一個更加
[00:04:16.440 --> 00:04:18.440]  有益健康的生活方式
[00:04:18.440 --> 00:04:21.440]  去令到食飯本身是一個
[00:04:21.440 --> 00:04:22.440]  很感恩
