
[00:00:00.000 --> 00:00:06.560]  香港過去20年發生了很多事情
[00:00:06.560 --> 00:00:09.560]  如果我想簡單地形容
[00:00:09.560 --> 00:00:15.280]  你覺得過去20年是一種進步還是一種退步?
[00:00:15.280 --> 00:00:20.560]  基本上中港關係和我們互動是退步的
[00:00:20.560 --> 00:00:23.800]  負面的比較多
[00:00:23.800 --> 00:00:26.520]  這是很可惜的
[00:00:26.520 --> 00:00:32.920]  我覺得一個很重要的事件是23條的處理
[00:00:32.920 --> 00:00:35.680]  我用今天的眼光回看以前
[00:00:35.680 --> 00:00:36.880]  很明顯是一種退步
[00:00:36.880 --> 00:00:40.160]  最重要的是我們開始發現
[00:00:40.160 --> 00:00:44.760]  我們香港的政府都不是為香港的人著想
[00:00:44.760 --> 00:00:49.720]  這一點是本土最根本最起初的一個想法
[00:00:49.720 --> 00:00:53.520]  我自己的經驗是覺得某程度上是退步
[00:00:53.520 --> 00:00:56.840]  而這個退步不只是溝通的問題
[00:00:56.840 --> 00:01:01.440]  是整個北京政府態度的問題
[00:01:01.440 --> 00:01:04.960]  我自己的感覺是2001至2003年回來的時候
[00:01:04.960 --> 00:01:07.960]  我自己的感覺是2001至2003年回來的時候
[00:01:07.960 --> 00:01:12.960]  我自己的感覺是2001至2003年回來的時候

