
[00:00:00.000 --> 00:00:05.200]  好,我就想請兩位講者再一次上到台前
[00:00:05.200 --> 00:00:08.600]  我們進入到Q&A的時間
[00:00:08.600 --> 00:00:12.000]  我們請洪亮博士和宋坤博士
[00:00:12.000 --> 00:00:15.200]  按照忠臣的傳統
[00:00:15.200 --> 00:00:19.200]  我們會設置咪高峰在會議室的中間
[00:00:19.200 --> 00:00:23.600]  各位來賓和同學千萬不要客氣
[00:00:23.600 --> 00:00:27.200]  通常忠臣的群體都是比較慢熱的
[00:00:27.200 --> 00:00:30.000]  到最後就很遺憾了
[00:00:30.000 --> 00:00:32.200]  想問的時候就發現沒有時間
[00:00:32.200 --> 00:00:34.400]  所以大家可以想一想
[00:00:34.400 --> 00:00:36.200]  你有沒有什麼想問的
[00:00:36.200 --> 00:00:37.600]  我們有個規矩的
[00:00:37.600 --> 00:00:41.600]  就是你出來不是發表另一篇論文
[00:00:41.600 --> 00:00:44.800]  所以你出來是問一個問題
[00:00:44.800 --> 00:00:47.600]  就只問一個問題就好了
[00:00:47.600 --> 00:00:50.200]  還有請你盡量簡潔你的問題
[00:00:50.200 --> 00:00:53.600]  以致其他的會眾
[00:00:53.600 --> 00:01:00.600]  有更多機會跟講員有互動交流的時間
[00:01:00.600 --> 00:01:04.600]  我想首先給洪亮博士時間
[00:01:04.600 --> 00:01:11.600]  因為剛才宋坤博士也提出了一些對於這個訊息的回應
[00:01:11.600 --> 00:01:14.600]  我想看看洪亮博士會不會有什麼
[00:01:14.600 --> 00:01:17.600]  你想首先跟他回應一下
[00:01:17.600 --> 00:01:22.200]  我大概有兩個想說的東西
[00:01:22.200 --> 00:01:24.600]  第一個就是大家有沒有注意到
[00:01:24.600 --> 00:01:28.200]  他在這個回應當中提到了一個基本的區別
[00:01:28.200 --> 00:01:32.600]  一個是十字架之道和歷史中的十字架
[00:01:32.600 --> 00:01:35.400]  這也是大家如果你看那個文本的話
[00:01:35.400 --> 00:01:39.800]  你會發現我在那裡很強調兩個之間要分開
[00:01:39.800 --> 00:01:42.400]  實際上這可能是
[00:01:42.400 --> 00:01:47.800]  我覺得是我的寫作還沒有到一個純熟的境界
[00:01:47.800 --> 00:01:54.400]  因為顯然十字架之道和歷史的十字架之間是不能做割裂的
[00:01:54.400 --> 00:02:01.200]  如果我們用一種二元論的角度去理解十字架之道和歷史的十字架
[00:02:01.200 --> 00:02:04.600]  或者歷史事件和對歷史的解釋
[00:02:04.600 --> 00:02:11.000]  那麼我們就我覺得在方法的路上就走錯了
[00:02:11.000 --> 00:02:15.200]  對於理解十字架我們可以知道特別著名的經文
[00:02:15.200 --> 00:02:19.400]  它會講對希臘人為魚濁
[00:02:19.400 --> 00:02:22.400]  對猶太人為絆腳石
[00:02:22.400 --> 00:02:26.200]  但是對於理解十字架內涵的人來說
[00:02:26.200 --> 00:02:29.400]  那是上帝的拯救的真理
[00:02:29.400 --> 00:02:34.000]  因為如果沒有基督的靈的幫助
[00:02:34.000 --> 00:02:39.600]  我們是不可能了解這個所謂的歷史事件的意義的
[00:02:39.600 --> 00:02:44.200]  這兩者是一個不可分離的議題
[00:02:44.200 --> 00:02:49.600]  之所以強調所謂的歷史中的十字架
[00:02:49.600 --> 00:02:53.600]  還是這背後有一個關切
[00:02:53.600 --> 00:03:02.800]  就是大家知道在我們去做教育學和系統神學的探索的時候
[00:03:02.800 --> 00:03:05.600]  那麼經常你會面對這樣一個局面
[00:03:05.600 --> 00:03:07.200]  就是有一個問題
[00:03:07.200 --> 00:03:10.800]  你的前輩其實已經做過很多很多的研究了
[00:03:10.800 --> 00:03:18.200]  這樣的話有的時候會導致我們在去進行探索的時候
[00:03:18.200 --> 00:03:22.800]  第一步我們需要講清楚別人在這個歷史過程當中
[00:03:22.800 --> 00:03:24.800]  究竟講了哪些東西
[00:03:24.800 --> 00:03:27.200]  這是我們的傳統和基礎
[00:03:27.200 --> 00:03:29.200]  但是在此之外
[00:03:29.200 --> 00:03:31.400]  之所以叫神學探索
[00:03:31.400 --> 00:03:35.000]  那麼一定是我們要進入到一個新的無知之境
[00:03:35.000 --> 00:03:39.000]  那麼進入到這種無知之境最重要的一個要點
[00:03:39.000 --> 00:03:44.000]  就在於我們需要找到一個自己去論述的起點
[00:03:44.000 --> 00:03:49.800]  那麼歷史中的十字架就是一個非常好的可以切入的起點
