
[00:00:00.000 --> 00:00:07.000]  鄧博士 胡博士 各位弟兄姊妹 晚安
[00:00:07.000 --> 00:00:13.000]  謹代表中國神學研究院感謝大家今晚勃勇參加今晚的講座
[00:00:13.000 --> 00:00:18.000]  創傷的呼喊 無情的哉 如無言的痛
[00:00:18.000 --> 00:00:26.000]  我是今晚大會的司儀 中國神學研究院輔導科畢業生 王愛琪 Gabriel
[00:00:26.000 --> 00:00:34.000]  我相信今晚大家都帶著不同的心情和疑問來到今晚這個講座
[00:00:34.000 --> 00:00:40.000]  很想在聖經和神話的對話當中找到一些亮光
[00:00:40.000 --> 00:00:46.000]  幫助我們去面對眼前的處境 回應我們身邊的人的需要
[00:00:46.000 --> 00:00:52.000]  很感謝主差派了兩位講員今天來到我們當中
[00:00:52.000 --> 00:00:59.000]  今晚的主講是中國神學研究院聖經科助理教授 胡俊聯博士
[00:00:59.000 --> 00:01:04.000]  他會帶領我們一起從約伯記的角度去思考
[00:01:04.000 --> 00:01:10.000]  聖經如何去承載我們的哀痛和哀傷
[00:01:10.000 --> 00:01:16.000]  我們都很榮幸可以邀請到香港浸信會神學院基督教思想
[00:01:16.000 --> 00:01:22.000]  神學院文化教授 鄧紹光博士作為我們回應的講員
[00:01:22.000 --> 00:01:28.000]  幫助我們繼續盡心展開經文的對話
[00:01:28.000 --> 00:01:35.000]  在我們兩位講完訊息和回應之後 我們會有一個答問的時間
[00:01:35.000 --> 00:01:42.000]  在講座開始的時間之前 我們現在一起低頭有個禱告
[00:01:43.000 --> 00:01:50.000]  我們在天上的阿爸父 感謝你
[00:01:50.000 --> 00:01:56.000]  今晚招聚了我們這班熟悉你的子民 一同來到這個空間去仰望你
[00:01:56.000 --> 00:02:04.000]  求主你親自帶領這個聚會 回應我們各人內心的掙扎和需要
[00:02:04.000 --> 00:02:11.000]  求主預備我們的心去聆聽 讓你的道進入我們的生命裏面
[00:02:11.000 --> 00:02:16.000]  成為我們在黑暗裏面繼續走下去的力量和盼望
[00:02:16.000 --> 00:02:23.000]  我們恭敬將今晚的時間交上 求主願你與我們同在
[00:02:23.000 --> 00:02:28.000]  以上的禱告是奉我主耶穌的名祈求 阿們
[00:02:28.000 --> 00:02:33.000]  現在這個時間我們就交給我們的主講 有請胡博士
[00:02:39.000 --> 00:02:41.000]  頂尖的晚安
[00:02:41.000 --> 00:02:47.000]  我想過去兩個多星期 對於很多香港人來說都是不容易的時間
[00:02:47.000 --> 00:02:52.000]  一場在大埔雲復縣的火災
[00:02:52.000 --> 00:02:57.000]  我們每一次想起的時候都感覺到一種無言的痛
[00:02:57.000 --> 00:03:01.000]  我想我們過去兩個多星期都有不同的感受
[00:03:01.000 --> 00:03:09.000]  我們對於災難 或是想到當中一些人面對的苦傷的時候
[00:03:09.000 --> 00:03:14.000]  不知道這些會不會是我們現在還有的一些感受
[00:03:14.000 --> 00:03:24.000]  我們感到哀傷 感到受苦 感到悲動 難過 沉重
[00:03:24.000 --> 00:03:34.000]  無力 無奈 無助 或者搬隨著憤慨 憤怒
[00:03:34.000 --> 00:03:38.000]  我們可能有很多不同的感受 不同的情緒
[00:03:38.000 --> 00:03:46.000]  有時候我們都可能問 作為信徒我們怎麼說 我們怎麼言說呢
[00:03:46.000 --> 00:03:51.000]  神學有句話說 信仰尋求理解
[00:03:51.000 --> 00:03:57.000]  有時候我們很想去言說 很想去說 可能都是尋求某種的理解
[00:03:57.000 --> 00:04:05.000]  一種的認知 怎麼梳理這件事 怎麼梳理苦難 怎麼梳理創傷
[00:04:05.000 --> 00:04:12.000]  不過對於苦傷 有時候聖經更加確切地說
[00:04:12.000 --> 00:04:16.000]  不是從上而下對我們說
