
[00:00:00.000 --> 00:00:06.000]  多謝Dr. Mool和胡牧師
[00:00:06.000 --> 00:00:14.000]  他們分享了很多聖經或神學上對這個議題的討論
[00:00:14.000 --> 00:00:18.000]  我就跳開這個層面
[00:00:18.000 --> 00:00:21.000]  我想今天用少許時間去回應
[00:00:21.000 --> 00:00:27.000]  或者從一個世界的角度去看這個議題究竟發生了甚麼事
[00:00:27.000 --> 00:00:31.000]  我會探討兩點
[00:00:31.000 --> 00:00:33.000]  剛才Jonathan也提到
[00:00:33.000 --> 00:00:41.000]  第一點是關愛受造世界和貧窮的關係
[00:00:41.000 --> 00:00:47.000]  第二點是關愛受造世界和福音的關係
[00:00:47.000 --> 00:00:50.000]  剛才提到這是福音的一部分
[00:00:50.000 --> 00:00:52.000]  是整全福音的一部分
[00:00:52.000 --> 00:00:55.000]  我也會回應這兩點
[00:00:55.000 --> 00:01:01.000]  首先我想從關愛受造世界和貧窮的關係開始說
[00:01:01.000 --> 00:01:05.000]  這樣我才能解釋我今天站在這裡
[00:01:05.000 --> 00:01:10.000]  因為施達就是做扶貧救災的工作
[00:01:10.000 --> 00:01:14.000]  首先我想進入的時候
[00:01:14.000 --> 00:01:20.000]  就用詩篇19篇12節進入
[00:01:20.000 --> 00:01:25.000]  大衛的這個禱告就算不常常
[00:01:25.000 --> 00:01:28.000]  我們久不久也會說
[00:01:28.000 --> 00:01:33.000]  求主耶穌去寬恕我們一些隱然未見的罪
[00:01:33.000 --> 00:01:41.000]  隱然未見的罪是過犯得罪了上帝得罪了人
[00:01:41.000 --> 00:01:43.000]  Jonathan提到
[00:01:43.000 --> 00:01:46.000]  我們不可以只說愛人愛神
[00:01:46.000 --> 00:01:51.000]  但不愛我們的世界
[00:01:51.000 --> 00:01:53.000]  我們在日常生活裡
[00:01:53.000 --> 00:01:57.000]  事實上很多時候我們有意無意地
[00:01:57.000 --> 00:01:59.000]  我們在破壞我們的環境
[00:01:59.000 --> 00:02:01.000]  破壞我們的生態
[00:02:01.000 --> 00:02:03.000]  從上帝創造的角度
[00:02:03.000 --> 00:02:05.000]  當然我們這樣破壞的時候
[00:02:05.000 --> 00:02:07.000]  無論我刻意也好
[00:02:07.000 --> 00:02:08.000]  不覺意也好
[00:02:08.000 --> 00:02:11.000]  或者完全做了也不知道也好
