
[00:00:00.000 --> 00:00:02.400]  現在政府是在推動
[00:00:02.400 --> 00:00:05.300]  無論香港政府 內地政府都想推動這件事
[00:00:05.300 --> 00:00:11.600]  但事實上香港有很多人是很反感這種路向
[00:00:11.600 --> 00:00:15.100]  你覺得在這種張力之下
[00:00:15.100 --> 00:00:17.500]  香港社會有沒有出路呢
[00:00:17.500 --> 00:00:21.500]  我想其實我們又覺得中港融合未至於
[00:00:21.500 --> 00:00:23.500]  我們要成為敵對
[00:00:23.500 --> 00:00:24.400]  未必的
[00:00:24.400 --> 00:00:26.400]  如果我們真的覺得要敵對的話
[00:00:26.400 --> 00:00:28.900]  我們就會覺得其實太困難
[00:00:28.900 --> 00:00:31.700]  你這麼近 我們這麼小
[00:00:31.700 --> 00:00:34.500]  國家機器所有資源這麼大
[00:00:34.500 --> 00:00:37.700]  我想在這個融合上
[00:00:37.700 --> 00:00:40.500]  正如鍾神經常說的
[00:00:40.500 --> 00:00:42.000]  Unity in diversity
[00:00:42.000 --> 00:00:45.500]  那種diversity我們可以怎樣保存得好些
[00:00:45.500 --> 00:00:48.700]  我經常有一句說話就是
[00:00:48.700 --> 00:00:52.000]  勉強就沒有幸福
[00:00:52.000 --> 00:00:54.400]  剛才我們開場的時候都說到
[00:00:54.400 --> 00:01:00.400]  其實香港為什麼會搞到這樣
[00:01:00.400 --> 00:01:04.900]  就是因為在過程當中有幾次硬銷
[00:01:04.900 --> 00:01:08.900]  如果共融的話都是硬銷的話
[00:01:08.900 --> 00:01:10.900]  那就先這樣
[00:01:10.900 --> 00:01:14.900]  在尋求共融的過程當中
[00:01:14.900 --> 00:01:18.400]  我覺得最重要的一件事就是什麼
[00:01:18.400 --> 00:01:19.900]  尊重
[00:01:19.900 --> 00:01:21.900]  不要小看我們
[00:01:21.900 --> 00:01:27.900]  我們都是其中一股改革的動力
[00:01:27.900 --> 00:01:30.900]  最初你開始的時候
[00:01:30.900 --> 00:01:34.900]  你講到香港當時都有一個期望
[00:01:34.900 --> 00:01:37.900]  就是我們可以成為一個中國
[00:01:37.900 --> 00:01:40.900]  改革的一個力量
[00:01:40.900 --> 00:01:43.900]  我覺得我們不能夠放棄
[00:01:43.900 --> 00:01:48.900]  這種願望和理想
[00:01:48.900 --> 00:01:50.900]  MING PAO CANADA | MING PAO TORONTO
[00:01:51.900 --> 00:01:53.900]  MING PAO CANADA | MING PAO TORONTO
[00:01:53.900 --> 00:01:56.900]  (字幕由 Amara.org 社群提供)

