
[00:00:00.000 --> 00:00:02.000]  大家好 我叫Gloria
[00:00:02.000 --> 00:00:04.800]  我在九龍五重寺會中侍奉
[00:00:04.800 --> 00:00:06.100]  現在侍奉了13年
[00:00:06.100 --> 00:00:09.000]  我剛來的時候是做青少年傳道
[00:00:09.000 --> 00:00:11.000]  現在是教會堂主任牧師
[00:00:11.000 --> 00:00:13.000]  大家好 我是凱琪
[00:00:13.000 --> 00:00:17.000]  我在教會裏面做清晨傳道
[00:00:17.000 --> 00:00:18.400]  主要服侍即興
[00:00:18.400 --> 00:00:21.400]  我現在服侍了兩年零一個月
[00:00:21.400 --> 00:00:24.400]  我本身不是這間教會
[00:00:24.400 --> 00:00:27.600]  所以來到時也慢慢認識這裏的團隊
[00:00:27.600 --> 00:00:29.400]  我當時做青少年傳道
[00:00:29.400 --> 00:00:34.400]  她是這裏的會友和青少年的導師
[00:00:34.400 --> 00:00:36.400]  其實她不是很主動
[00:00:36.400 --> 00:00:40.400]  但我覺得這個人有點認真
[00:00:40.400 --> 00:00:43.400]  但她是認真地搞笑
[00:00:43.400 --> 00:00:46.400]  咦 這麼搞笑的這個人
[00:00:46.400 --> 00:00:48.400]  無端端會說一些冷笑話
[00:00:48.400 --> 00:00:50.400]  這是初時的印象
[00:00:50.400 --> 00:00:54.400]  我第一次的時候以為Gloria和我的年紀差不多
[00:00:54.400 --> 00:01:00.400]  她是教會很難得來到的年輕和有活力的傳道人
[00:01:00.400 --> 00:01:04.400]  她會跟我們一起參會
[00:01:04.400 --> 00:01:07.400]  我覺得她很衛生和很分身
[00:01:07.400 --> 00:01:11.400]  其實她是一個很有溫度和有情的人
[00:01:11.400 --> 00:01:14.400]  從她在教會這麼多年的成長
[00:01:14.400 --> 00:01:17.400]  可能她也有些弟兄姊妹一起成長
[00:01:17.400 --> 00:01:19.400]  也不是在這間教會
[00:01:19.400 --> 00:01:23.400]  也未必會衛生在一個崗位裏面侍奉
[00:01:23.400 --> 00:01:28.400]  甚至乎畢業後不一定要回教會
[00:01:28.400 --> 00:01:30.400]  也可以有很多選擇
[00:01:30.400 --> 00:01:35.400]  但我覺得她選擇回來教會服侍也是一份情
[00:01:35.400 --> 00:01:37.400]  其中一個令我回來教會的原因
[00:01:37.400 --> 00:01:41.400]  是因為Gloria牧師在讀神學的過程裏
[00:01:41.400 --> 00:01:44.400]  也會問自己我想跟從怎樣的領袖
[00:01:44.400 --> 00:01:47.400]  怎樣的牧者在她身上有好的學習
