
[00:00:00.000 --> 00:00:04.800]  我們會有一些問答的時間
[00:00:04.800 --> 00:00:08.100]  我們也會鼓勵我們的大英姐妹
[00:00:08.100 --> 00:00:14.400]  如果剛才聽了雷牧師或朱牧師的分享
[00:00:14.400 --> 00:00:17.800]  或者加上今早如果你有來我們研討會
[00:00:17.800 --> 00:00:21.000]  你心裏面可能有些問題開始醞釀
[00:00:21.000 --> 00:00:23.800]  或者很想和大家一起分享
[00:00:23.800 --> 00:00:25.200]  一起集思廣益
[00:00:25.200 --> 00:00:29.000]  也很鼓勵大家可以來到
[00:00:29.000 --> 00:00:31.400]  我們會預備一支咪
[00:00:31.400 --> 00:00:35.800]  大家可以出來和大家一起分享你的問題
[00:00:35.800 --> 00:00:41.800]  但因為我想給大英姐妹多些機會發問
[00:00:41.800 --> 00:00:45.200]  所以每位大英姐妹如果發問
[00:00:45.200 --> 00:00:48.800]  就問一條問題和盡量精簡
[00:00:48.800 --> 00:00:51.400]  因為以往的公開講座
[00:00:51.400 --> 00:00:54.200]  通常一條會分開好幾條
[00:00:54.200 --> 00:00:57.400]  即是一條問題但我有十條的sub questions
[00:00:57.400 --> 00:01:00.800]  盡量是一條的問題
[00:01:00.800 --> 00:01:04.600]  一分鐘內問得到的那些叫做一條的問題
[00:01:04.600 --> 00:01:10.800]  作為主持通常有一個優先發問的機會
[00:01:10.800 --> 00:01:15.000]  我也很想在這裏聽完兩位的分享
[00:01:15.000 --> 00:01:19.400]  也想有一條問題想請教兩位
[00:01:19.400 --> 00:01:24.200]  剛才朱牧也提到有一個商腦的問題
[00:01:24.200 --> 00:01:29.000]  無論是照顧者或被照顧的都是老人家
[00:01:29.000 --> 00:01:31.400]  如果大家還記得的話
[00:01:31.400 --> 00:01:36.200]  香港的城市之前也發生過
[00:01:36.200 --> 00:01:40.600]  一宗老人家無力去照顧老伴
[00:01:40.600 --> 00:01:45.600]  最後是養成一個家庭的悲劇
[00:01:45.600 --> 00:01:51.400]  在這裏我一直聽到小雷牧師說的時候
[00:01:51.400 --> 00:01:56.600]  他說到老年生命也可以有另一種精彩
[00:01:56.600 --> 00:02:00.600]  另一種豐盛在主的恩典
[00:02:00.600 --> 00:02:03.600]  但似乎在我們的城市裏面
[00:02:03.600 --> 00:02:07.200]  有很多人是感受不到這一點的
[00:02:07.200 --> 00:02:12.600]  他們真的面對著很多的艱難等等
[00:02:12.600 --> 00:02:15.400]  想請教兩位
[00:02:15.400 --> 00:02:18.600]  你覺得教會作為一個群體
[00:02:18.600 --> 00:02:22.600]  或是在我們社會裏面的成員
[00:02:22.600 --> 00:02:24.000]  一份子
[00:02:24.000 --> 00:02:29.000]  如何在我們的社區裏面
[00:02:29.000 --> 00:02:34.000]  成為我們鄰社的一些可以幫助到他
[00:02:34.000 --> 00:02:38.800]  或是如何在當中讓大家經歷到
[00:02:38.800 --> 00:02:42.800]  例如小雷剛才所說的活出老年的豐盛
[00:02:42.800 --> 00:02:46.600]  特別是在我們當中的無依無靠
[00:02:46.600 --> 00:02:49.600]  或是他未必能夠進入教會
[00:02:49.600 --> 00:02:52.200]  或是未必能夠出現在我們教會的人
[00:02:52.200 --> 00:02:56.600]  兩位有沒有什麼可以和我們分享?
