
[00:00:00.000 --> 00:00:07.600]  新博士將新約對於權柄和信服
[00:00:07.600 --> 00:00:13.000]  對於政權的一個概括的看法和我們分享
[00:00:13.000 --> 00:00:18.600]  今天我會和大家來看彼得前書這本書
[00:00:18.600 --> 00:00:27.000]  從一本書來看有關權柄和信服的主題
[00:00:27.000 --> 00:00:29.600]  如果我們看彼得前書的時候
[00:00:29.600 --> 00:00:32.600]  很多時候我們看書信
[00:00:32.600 --> 00:00:36.200]  可能會忽視一開始的時候的捲手語
[00:00:36.200 --> 00:00:39.600]  但其實捲手語是很重要的
[00:00:39.600 --> 00:00:41.600]  一開始的時候彼得前書
[00:00:41.600 --> 00:00:46.600]  告訴我們我們作為信徒有雙重的身份
[00:00:46.600 --> 00:00:48.200]  在一章一節說
[00:00:48.200 --> 00:00:53.400]  耶穌基督的使徒彼得寫信給那些被揀選
[00:00:53.400 --> 00:00:57.000]  分散到本都、加拉泰、加伯多加、亞細亞
[00:00:57.000 --> 00:01:01.400]  和被推離寄居的人
[00:01:01.400 --> 00:01:05.400]  這裡說到收信的人有兩個身份
[00:01:05.400 --> 00:01:08.200]  第一個身份他是被揀選的
[00:01:08.200 --> 00:01:11.600]  第二個身份就是他是寄居者
[00:01:11.600 --> 00:01:15.200]  這個是和修的翻譯
[00:01:15.200 --> 00:01:22.600]  這個比老和的翻譯是比較好的
[00:01:22.600 --> 00:01:25.000]  這裡解釋到我們有兩個身份
[00:01:25.000 --> 00:01:26.600]  一個是被揀選
[00:01:26.600 --> 00:01:31.000]  另一個是寄居者的身份
[00:01:31.000 --> 00:01:32.200]  被揀選是什麼呢?
[00:01:32.200 --> 00:01:34.400]  其實是用舊約裡面說到
[00:01:34.400 --> 00:01:37.000]  以色列民他們同樣是被揀選的
[00:01:37.000 --> 00:01:39.400]  是屬上帝的子民
[00:01:39.400 --> 00:01:41.400]  現在新約的時候透過耶穌基督
[00:01:41.400 --> 00:01:45.800]  我們是蒙上帝所揀選成為神的子民
[00:01:45.800 --> 00:01:47.400]  在第二章他更加說到
[00:01:47.400 --> 00:01:49.600]  耶穌基督就是被揀選的
[00:01:49.600 --> 00:01:52.200]  是上帝所寶貴的活著
[00:01:52.200 --> 00:01:57.400]  同樣我們也被揀選成為活石
[00:01:57.400 --> 00:02:02.600]  然後一同被建造成為屬靈的聖殿
[00:02:02.600 --> 00:02:06.800]  我們透過耶穌基督能夠繼承上帝所應許的
[00:02:06.800 --> 00:02:09.000]  就好像第一章所說的
[00:02:09.000 --> 00:02:10.800]  我們能夠得到的是不能扭壞
[00:02:10.800 --> 00:02:12.600]  不能玷污 不能衰殘
[00:02:12.600 --> 00:02:16.200]  為我們存留在天上的基業
[00:02:16.200 --> 00:02:19.800]  我們蒙揀選成為神的子民
[00:02:19.800 --> 00:02:22.800]  承受應許
[00:02:22.800 --> 00:02:25.600]  但是蒙揀選被揀選同樣是在說
[00:02:25.600 --> 00:02:29.800]  我們這一群被揀選的人是有一種特性的
[00:02:29.800 --> 00:02:33.600]  我就用信服的字
[00:02:33.600 --> 00:02:36.200]  用作信服君王
[00:02:36.200 --> 00:02:38.200]  我這裡用另外一個字
[00:02:38.200 --> 00:02:42.200]  剛才因為新莫善用這個字去說信服
[00:02:42.200 --> 00:02:47.600]  不過我這裡用另外一個字是服從這個字
[00:02:47.600 --> 00:02:52.200]  一章二字說到我們被揀選
[00:02:52.200 --> 00:02:56.200]  以致我們可以服從耶穌基督
[00:02:56.200 --> 00:03:00.200]  所以被揀選是神的子民其中一個很重要的特性
[00:03:00.200 --> 00:03:03.200]  就是我們會服從耶穌基督
[00:03:03.200 --> 00:03:09.400]  或者一章十四字說到我們是作順命的兒女
[00:03:09.400 --> 00:03:11.600]  這裡其實也用到服從這個字
[00:03:11.600 --> 00:03:13.800]  我們是作服從的兒女
[00:03:13.800 --> 00:03:16.400]  另外第二章二十二字說到
[00:03:16.400 --> 00:03:19.400]  神的子民是服從真理
[00:03:19.400 --> 00:03:21.400]  Obedience這個字
[00:03:21.400 --> 00:03:27.400]  是和後面所用的信服Submission這個字是不同的
[00:03:27.400 --> 00:03:31.200]  另外也說到我們作為上帝的子民
[00:03:31.200 --> 00:03:35.400]  我們對上帝有絕對的效忠
[00:03:35.400 --> 00:03:40.600]  我們要全敬畏各位按公義審判人的父
[00:03:40.600 --> 00:03:42.800]  我們有這一種敬畏的心
[00:03:42.800 --> 00:03:46.200]  來度在世寄居的日子
[00:03:46.200 --> 00:03:48.200]  所以對上帝有絕對的忠誠
[00:03:48.200 --> 00:03:49.600]  要服從上帝
[00:03:49.600 --> 00:03:53.000]  然後我們對這位審判我們的主
[00:03:53.000 --> 00:03:55.200]  要存著敬畏的心
[00:03:55.200 --> 00:03:59.600]  另外第二個身份
[00:03:59.600 --> 00:04:01.000]  我們是寄居者
[00:04:01.000 --> 00:04:05.000]  你會說很奇怪
[00:04:05.000 --> 00:04:11.200]  因為這裡是用一種比喻的方式來說
[00:04:11.200 --> 00:04:14.800]  我們信徒每一個人都是寄居者
[00:04:14.800 --> 00:04:17.800]  就好像我,我是香港出生的
[00:04:17.800 --> 00:04:19.600]  但是我信了耶穌之後
[00:04:19.600 --> 00:04:22.400]  我竟然不是本土的香港人
[00:04:22.400 --> 00:04:26.600]  我變成了一個異鄉人
[00:04:26.600 --> 00:04:29.000]  我變成了一個過客
[00:04:29.000 --> 00:04:31.600]  這是我們突然意識到
[00:04:31.600 --> 00:04:36.200]  原來我們真正的身份是哪一個
[00:04:36.200 --> 00:04:38.800]  我們原來是屬於上帝的國度
[00:04:38.800 --> 00:04:42.800]  上帝的國度是將來完全顯現的國度
[00:04:42.800 --> 00:04:45.000]  因此我們在地上
[00:04:45.000 --> 00:04:48.000]  地上的生活
[00:04:48.000 --> 00:04:54.200]  對我們來說突然出現一種奇怪的感覺
[00:04:54.200 --> 00:04:56.200]  開始變得陌生
[00:04:56.200 --> 00:05:00.600]  這種陌生是因為我們原來有的價值開始轉變了
[00:05:00.600 --> 00:05:02.400]  我們是屬於上帝的子民
[00:05:02.400 --> 00:05:04.200]  我們對上帝有絕對的效忠
[00:05:04.200 --> 00:05:06.200]  這個以前是我們沒有的
[00:05:06.200 --> 00:05:09.800]  我們的生命,生命的焦點
[00:05:09.800 --> 00:05:11.800]  甚至我們的命運都變了
[00:05:11.800 --> 00:05:13.400]  以前我們生活在地上
[00:05:13.400 --> 00:05:17.200]  可能我們所看的,所盼望的
[00:05:17.200 --> 00:05:18.400]  再給我多一本前書
[00:05:18.400 --> 00:05:21.800]  我們所盼望的就是有層樓
[00:05:21.800 --> 00:05:23.800]  趕快做樓奴
[00:05:23.800 --> 00:05:27.800]  但原來不是的
[00:05:27.800 --> 00:05:29.800]  我們生活在這個世界上
[00:05:29.800 --> 00:05:33.200]  上帝給我們有更加崇高的目的
[00:05:33.200 --> 00:05:36.400]  讓我們在地上知道怎樣活出
[00:05:36.400 --> 00:05:40.800]  上帝要我們活出的那種生命
[00:05:40.800 --> 00:05:44.200]  因此我們在地上成為過客
[00:05:44.200 --> 00:05:46.800]  有人稱之為過客活世論
[00:05:46.800 --> 00:05:48.400]  過客活世論是不好的
[00:05:48.400 --> 00:05:52.600]  因為我們經常想我們是更美的家鄉
[00:05:52.600 --> 00:05:56.000]  我們會去到那裡
[00:05:56.000 --> 00:06:00.400]  所以我們會忽視現今地上的責任
[00:06:00.400 --> 00:06:02.800]  但彼得前書的說法是
[00:06:02.800 --> 00:06:07.000]  如果我們不肯定自己是過客的時候
[00:06:07.000 --> 00:06:10.400]  我們就不肯定我們在地上應該有的責任
[00:06:10.400 --> 00:06:14.200]  唯有我們看到我們向上帝交代
[00:06:14.200 --> 00:06:16.400]  原來最終基督會復臨
[00:06:16.400 --> 00:06:19.400]  原來最終我們要面對的是那位審判的主
[00:06:19.400 --> 00:06:22.000]  我們在地上就更加知道
[00:06:22.000 --> 00:06:24.400]  應該怎樣醒醒定定地生活
[00:06:24.400 --> 00:06:29.800]  因此我們知道
[00:06:29.800 --> 00:06:32.200]  我們作為上帝的子民
[00:06:32.200 --> 00:06:38.400]  在地上反而更加知道我們有什麼責任
[00:06:38.400 --> 00:06:40.800]  我們的生命的見證
[00:06:40.800 --> 00:06:44.800]  是要顯露出我們已經脫離罪惡的捆綁
[00:06:44.800 --> 00:06:47.200]  因為整個救恩就是要我們
[00:06:47.200 --> 00:06:51.800]  從罪惡裡面來到得以自由釋放出來
[00:06:51.800 --> 00:06:56.800]  而且讓我們的生命裡面有好行為的表現
[00:06:56.800 --> 00:06:59.600]  讓其他的人能夠得到祝福
[00:06:59.600 --> 00:07:02.200]  這也是彼得前書屢次說的
[00:07:02.200 --> 00:07:04.800]  我們是要祝福我們周圍的人
[00:07:04.800 --> 00:07:07.800]  我們是要祝福我們周圍的人
[00:07:07.800 --> 00:07:10.800]  我們是要祝福我們周圍的人
[00:07:10.800 --> 00:07:13.800]  我們是要祝福我們周圍的人
[00:07:13.800 --> 00:07:16.800]  我們是要祝福我們周圍的人
[00:07:16.800 --> 00:07:19.800]  我們是要祝福我們周圍的人
[00:07:19.800 --> 00:07:22.800]  我們是要祝福我們周圍的人
[00:07:22.800 --> 00:07:25.800]  我們是要祝福我們周圍的人
[00:07:25.800 --> 00:07:28.800]  我們是要祝福我們周圍的人
[00:07:28.800 --> 00:07:31.800]  我們是要祝福我們周圍的人
[00:07:31.800 --> 00:07:37.800]  其實我們是由將來去決定我們現在的行動
