
[00:00:00.000 --> 00:00:23.240]  大家好,歡迎來到職場行者網的聚會
[00:00:23.240 --> 00:00:27.080]  我們都有一段時間沒有辦公開聚會了
[00:00:27.080 --> 00:00:32.080]  之前我們計劃這個聚會的時候
[00:00:32.080 --> 00:00:34.080]  本來都是想辦實體的
[00:00:34.080 --> 00:00:38.080]  不過世事的事情每天都在變化中
[00:00:38.080 --> 00:00:44.080]  疫情嚴峻,加上最近的戰火都非常無情
[00:00:44.080 --> 00:00:46.080]  都令到我們都很不開心
[00:00:46.080 --> 00:00:50.080]  不過我們都堅持想在網上和大家聊聊天
[00:00:50.080 --> 00:00:55.080]  早前有一套電視劇叫IT狗
[00:00:55.080 --> 00:00:57.080]  不知道大家有沒有看過
[00:00:57.080 --> 00:01:03.080]  主角最初是在銀行的IT部做一個團隊的團頭
[00:01:03.080 --> 00:01:10.080]  他為人覺得好聽一點就是正直、有義氣、勤奮
[00:01:10.080 --> 00:01:13.080]  說得難聽一點就是一個爛好人
[00:01:13.080 --> 00:01:17.080]  經常被下屬來哭,被人利用
[00:01:17.080 --> 00:01:23.080]  幾天後HR部門就跟他說公司要裁員
[00:01:23.080 --> 00:01:27.080]  要解僱所有IT部的人
[00:01:27.080 --> 00:01:30.080]  剩下他自己一個就沒有被解僱
[00:01:30.080 --> 00:01:33.080]  這位主角就覺得不太忍心
[00:01:33.080 --> 00:01:37.080]  不公平的,IT部經常被人針對
[00:01:37.080 --> 00:01:40.080]  於是他就想辦法建議公司
[00:01:40.080 --> 00:01:45.080]  不如公平起見我們建立一個員工的評分系統
[00:01:45.080 --> 00:01:49.080]  所有員工之間可以互相評分
[00:01:49.080 --> 00:01:53.080]  最低分的一個才可以留下
[00:01:53.080 --> 00:01:56.080]  HR部門就同意
[00:01:56.080 --> 00:02:01.080]  IT部門的兄弟們就日以繼夜
[00:02:01.080 --> 00:02:04.080]  很快就做了一個系統
[00:02:04.080 --> 00:02:07.080]  終於都做好了
[00:02:07.080 --> 00:02:09.080]  公司果然都很滿意
