
[00:00:00.000 --> 00:00:02.000]   (Music)
[00:00:02.000 --> 00:00:21.080]   >> Good morning. Welcome, everyone.
[00:00:21.080 --> 00:00:24.120]   Michael Chu here.
[00:00:24.120 --> 00:00:27.240]   It's great to have so many people, hundreds of people here
[00:00:27.240 --> 00:00:29.240]   in our lecture.
[00:00:29.240 --> 00:00:31.240]   I'm very happy to be here with you all.
[00:00:31.240 --> 00:00:34.540]   I'm Michael Chu, the president of the
[00:00:34.540 --> 00:00:37.640]   American Society of Black and Asian
[00:00:37.640 --> 00:00:40.720]   people, and this morning we continue to host our Josephine
[00:00:40.720 --> 00:00:42.720]   So lecture week, and today is the third lecture.
[00:00:42.720 --> 00:00:48.020]   It's a great honor to have Dr.
[00:00:48.020 --> 00:00:51.100]   Mark Leperton to be our keynote speaker.
[00:00:51.100 --> 00:00:54.160]   Dr. Leperton has spoken to us on the
[00:00:54.160 --> 00:00:57.260]   overall title, the crisis of American white evangelicalism.
[00:00:58.180 --> 00:01:00.180]   And I'm very impressed by the way he
[00:01:00.180 --> 00:01:03.280]   has been able to provide us with a
[00:01:03.280 --> 00:01:06.580]   very deep and deep insight, and Mark
[00:01:06.580 --> 00:01:09.680]   walks us through the American history
[00:01:09.680 --> 00:01:13.380]   and outline the specific perspective on
[00:01:13.380 --> 00:01:17.060]   the American culture, and Mark also
[00:01:17.060 --> 00:01:20.740]   highlights the certain deficiency of
[00:01:20.740 --> 00:01:23.820]   evangelism or even the deficiency of
[00:01:23.940 --> 00:01:25.940]   the American culture, and I'm very impressed by his work.
[00:01:25.940 --> 00:01:32.140]   And I'm very impressed by Mark's
[00:01:32.140 --> 00:01:36.320]   honesty and courage in the path of self-critique.
[00:01:36.320 --> 00:01:41.220]   Mark, if you don't mind, I would like to
[00:01:41.220 --> 00:01:44.320]   address you by your first name, because I
[00:01:44.320 --> 00:01:47.400]   feel after these two lectures, I feel so close to you.
[00:01:47.400 --> 00:01:51.720]   We are just like good old friends.
[00:01:51.720 --> 00:01:53.720]   So, I would like to ask you to share your
[00:01:53.720 --> 00:01:56.820]   perspective on the American culture.
[00:01:56.820 --> 00:02:00.120]   And then, I would like to ask you to
[00:02:00.120 --> 00:02:03.220]   share your perspective on the American culture.
[00:02:03.220 --> 00:02:06.520]   And then, I would like to ask you to share your perspective on
[00:02:06.520 --> 00:02:09.620]   the American culture.
