
[00:00:00.000 --> 00:00:04.000]  (主席) 各位警子們晚安 (警察) 晚安
[00:00:04.000 --> 00:00:09.000]  (主席) 首先歡迎各位出席今天的忠臣公開講座
[00:00:09.000 --> 00:00:13.000]  (主席) 我們在開始之前一起低頭做一個禱告
[00:00:13.000 --> 00:00:19.000]  (主席) 至聖尊榮的上主,我們的天父
[00:00:19.000 --> 00:00:22.000]  (主席) 你是一切美善的源頭
[00:00:22.000 --> 00:00:25.000]  (主席) 你的智慧無法測度
[00:00:25.000 --> 00:00:28.000]  (主席) 所以我們今晚聚集在這裡
[00:00:28.000 --> 00:00:31.000]  (主席) 我們說要去談論你的知先
[00:00:31.000 --> 00:00:35.000]  (主席) 我們必須謙卑苦伏在你的面前
[00:00:35.000 --> 00:00:37.000]  (主席) 承認我們的貧乏
[00:00:37.000 --> 00:00:41.000]  (主席) 我們懇求你因著你愛子耶穌基督的緣故
[00:00:41.000 --> 00:00:45.000]  (主席) 賜下你的聖靈運行在我們當中
[00:00:45.000 --> 00:00:47.000]  (主席) 洗淨我們的心思
[00:00:47.000 --> 00:00:52.000]  (主席) 將我們的思想和言語都分別出來
[00:00:52.000 --> 00:00:55.000]  (主席) 完完全全為你所用
[00:00:55.000 --> 00:00:59.000]  (主席) 讓我們能夠清楚地認識你
[00:00:59.000 --> 00:01:02.000]  (主席) 更加真摯地愛你
[00:01:02.000 --> 00:01:05.000]  (主席) 又能夠更加緊緊地跟隨你
[00:01:05.000 --> 00:01:08.000]  (主席) 天父求你幫助我們
[00:01:08.000 --> 00:01:13.000]  (主席) 以言語和行為向我們的淪陷顯明
[00:01:13.000 --> 00:01:17.000]  (主席) 你自己是多麼奇妙高深的上帝
[00:01:17.000 --> 00:01:21.000]  (主席) 你對我們的愛又是多麼的好大
[00:01:21.000 --> 00:01:24.000]  (主席) 我們感謝你給我們今晚有這樣的時間
[00:01:24.000 --> 00:01:27.000]  (主席) 我們禱告、交託、感恩
[00:01:27.000 --> 00:01:30.000]  (主席) 奉耶穌基督的名求 阿們
[00:01:30.000 --> 00:01:33.000]  (主席) 首先在這裡我們介紹一下
[00:01:33.000 --> 00:01:35.000]  (主席) 我們今晚的講員
[00:01:35.000 --> 00:01:40.000]  (主席) 我們今天的訊息講員是本院的榮休院長
[00:01:40.000 --> 00:01:45.000]  (主席) 主恩澤森傑出研究教授 余達森博士
[00:01:45.000 --> 00:01:48.000]  (主席) 他會跟我們分享的訊息是
[00:01:48.000 --> 00:01:53.000]  (主席) 極端仁慈的上帝 從苦難看三一真體
[00:01:53.000 --> 00:01:58.000]  (主席) 然後我們會有兩位回應講員
[00:01:58.000 --> 00:02:03.000]  (主席) 分別會是本院的神學科助理教授 洪亮博士
[00:02:03.000 --> 00:02:08.000]  (主席) 和本院的神學科副教授 雷敬業博士
[00:02:08.000 --> 00:02:14.000]  (主席) 我們整個的程序會首先由余牧師
[00:02:14.000 --> 00:02:17.000]  (主席) 為我們分享這個訊息
[00:02:17.000 --> 00:02:22.000]  (主席) 然後接著會由洪亮博士為我們回應
[00:02:22.000 --> 00:02:27.000]  (主席) 接著會由雷牧師為我們有第二次的回應
[00:02:27.000 --> 00:02:32.000]  (主席) 在這裡我們將時間交給余達森博士
[00:02:32.000 --> 00:02:37.000]  (掌聲)
[00:02:38.000 --> 00:02:44.000]  我離開了香港兩個多月 住在杭州
[00:02:44.000 --> 00:02:50.000]  遠離香港最近有很刺激的事情
[00:02:50.000 --> 00:02:57.000]  有得有失 得就是我可以繼續安靜地讀書寫作
[00:02:57.000 --> 00:03:02.000]  失就是失去了一個機會和你們一同掙扎
[00:03:02.000 --> 00:03:09.000]  想到香港近期所發生的種種事情
[00:03:09.000 --> 00:03:18.000]  社會的撕裂 心裡的確是有一些不安的感覺
[00:03:18.000 --> 00:03:22.000]  不過我們做神學工作的
[00:03:22.000 --> 00:03:29.000]  我們都不可以一天到晚只看著我們的社會發生什麼事
[00:03:29.000 --> 00:03:41.000]  我們總要rise above 超越實際的處境
[00:03:41.000 --> 00:04:01.000]  希望能夠在一個比較高的角度去反省很多發生在我們身上的事情
[00:04:01.000 --> 00:04:06.000]  今晚能否做到呢 我自己也很有懷疑 我嘗試
[00:04:06.000 --> 00:04:14.000]  不過我相信因為時間 因為表達的能力
[00:04:14.000 --> 00:04:20.000]  我只能夠很隱約地做到一點點的事情
[00:04:20.000 --> 00:04:27.000]  另一方面我想在這裡表示歉意 或者請大家原諒
[00:04:27.000 --> 00:04:34.000]  我的分題就是從苦難到三一
[00:04:34.000 --> 00:04:37.000]  今晚我剛剛把它調轉過來
[00:04:37.000 --> 00:04:44.000]  我不按照我自己寫的那本書 極端仁慈的上帝的進路
[00:04:44.000 --> 00:04:51.000]  由苦難到十字架 挑戰哲學家的上帝
[00:04:51.000 --> 00:04:54.000]  再進入到三一的上帝
[00:04:54.000 --> 00:04:58.000]  而是反過來先講三一
[00:04:58.000 --> 00:05:11.000]  然後再進入到從三一的角度 我們怎麼看我們在這個世界裡經歷的種種苦難呢
[00:05:11.000 --> 00:05:15.000]  三一這個課題其實困擾了我很久
[00:05:15.000 --> 00:05:21.000]  我初信主還不到一年就已經被我的聖經老師
[00:05:21.000 --> 00:05:26.000]  我當時在一間聖公會的中學讀書
[00:05:26.000 --> 00:05:30.000]  就被他挑戰 點了我出來
[00:05:30.000 --> 00:05:34.000]  拿一支粉筆問我這裡有多少支粉筆
[00:05:34.000 --> 00:05:37.000]  我只有一支 他一拋上去 掉下來
[00:05:37.000 --> 00:05:40.000]  就剛剛好掉成三支
[00:05:40.000 --> 00:05:43.000]  他這個把戲做了很多次
[00:05:43.000 --> 00:05:47.000]  然後說基督徒
[00:05:47.000 --> 00:05:50.000]  You Christian 他是英國來的
[00:05:50.000 --> 00:05:55.000]  你麻煩你把這三支粉筆合起來做一支
[00:05:55.000 --> 00:05:57.000]  我做不到
[00:05:57.000 --> 00:06:01.000]  你做不到你為什麼信三為一體
[00:06:01.000 --> 00:06:03.000]  那時候我明白了 我開始明白了
[00:06:03.000 --> 00:06:06.000]  為什麼他拋一支粉筆
[00:06:06.000 --> 00:06:13.000]  的確三一的教義
[00:06:13.000 --> 00:06:17.000]  是令到很多人覺得很難理解的
[00:06:17.000 --> 00:06:28.000]  我前年我在國內一間非常高等的神學院校
[00:06:28.000 --> 00:06:32.000]  在晚飯期間一個教授
[00:06:32.000 --> 00:06:34.000]  向我挑戰
[00:06:34.000 --> 00:06:37.000]  一個歐洲來的教授向我挑戰
[00:06:37.000 --> 00:06:41.000]  問我你教這個教義神學
[00:06:41.000 --> 00:06:47.000]  為什麼在現在這個時代還講教義呢
[00:06:47.000 --> 00:06:49.000]  有什麼意義在這個時代講教義
[00:06:49.000 --> 00:06:50.000]  我嚇了一跳
[00:06:50.000 --> 00:06:53.000]  我完全沒有預備他這樣問
[00:06:53.000 --> 00:06:57.000]  他繼續說 比如三為一體這樣的教義
[00:06:57.000 --> 00:06:58.000]  又講不明白
[00:06:58.000 --> 00:07:01.000]  又好像對我們沒有relevance
[00:07:01.000 --> 00:07:02.000]  沒有什麼色切性
[00:07:02.000 --> 00:07:04.000]  講來做什麼呢
[00:07:04.000 --> 00:07:05.000]  為什麼還需要講呢
[00:07:05.000 --> 00:07:07.000]  我嚇了一跳
[00:07:07.000 --> 00:07:09.000]  第二天我走了
[00:07:09.000 --> 00:07:14.000]  送我去機場的是一個年輕的教授
[00:07:14.000 --> 00:07:15.000]  無獨有偶
[00:07:15.000 --> 00:07:18.000]  他同樣地問同樣的問題
[00:07:18.000 --> 00:07:21.000]  在這個時候還需要講教義嗎
[00:07:21.000 --> 00:07:25.000]  例如三為一體這樣的教義
[00:07:25.000 --> 00:07:27.000]  既然又講不明白
[00:07:27.000 --> 00:07:28.000]  又不是很色切
[00:07:28.000 --> 00:07:35.000]  為什麼還需要講呢
[00:07:35.000 --> 00:07:37.000]  我們需要講
[00:07:37.000 --> 00:07:40.000]  因為三為一體這個教義
[00:07:40.000 --> 00:07:43.000]  是我們整個基督教信仰
[00:07:43.000 --> 00:07:50.000]  兩大支柱其中一個非常重要的支柱
[00:07:50.000 --> 00:07:52.000]  事實上三一這個教義
[00:07:52.000 --> 00:07:58.000]  對我們的思維充滿挑戰性
[00:07:58.000 --> 00:08:00.000]  不單對我們的思維充滿挑戰性
[00:08:00.000 --> 00:08:04.000]  其實對我們的生命也充滿挑戰性
[00:08:04.000 --> 00:08:08.000]  希望我們待會討論的時候
[00:08:08.000 --> 00:08:11.000]  能夠帶出這方面
[00:08:11.000 --> 00:08:15.000]  思考三一的教義其實相當困難
[00:08:15.000 --> 00:08:18.000]  三為一體看起來
[00:08:18.000 --> 00:08:21.000]  其實是一個非常突兀的表達
[00:08:21.000 --> 00:08:23.000]  但看深一點
[00:08:23.000 --> 00:08:27.000]  其實它是極具革命性的
[00:08:27.000 --> 00:08:32.000]  如果我們真的了解三一這個教義
