
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹們好
[00:00:02.000 --> 00:00:04.000]  很開心能夠在網上的地方
[00:00:04.000 --> 00:00:06.000]  和大家交流
[00:00:06.000 --> 00:00:09.000]  一個我覺得對我來說是一個很重要的題目
[00:00:09.000 --> 00:00:13.000]  就是一個中國教會的社會服事的題目
[00:00:13.000 --> 00:00:15.000]  我今天的題目叫做
[00:00:15.000 --> 00:00:18.000]  「接地同行 破舊立新」
[00:00:18.000 --> 00:00:22.000]  是講到近代的中國教會的社會服事的
[00:00:22.000 --> 00:00:25.000]  開始之前我想和大家一起祈禱
[00:00:25.000 --> 00:00:28.000]  天父多謝你給我們機會在疫情的時刻
[00:00:28.000 --> 00:00:32.000]  仍然繼續有機會一起去研讀
[00:00:32.000 --> 00:00:38.000]  一起去看我們前人所做的所有事情
[00:00:38.000 --> 00:00:40.000]  和檢討我們今天所做的
[00:00:40.000 --> 00:00:42.000]  最後我求你帶領我們
[00:00:42.000 --> 00:00:44.000]  求聖靈在這裡
[00:00:44.000 --> 00:00:48.000]  雖然是一個像網絡的傳播
[00:00:48.000 --> 00:00:50.000]  但也知道聖靈在我們當中
[00:00:50.000 --> 00:00:54.000]  願祢掌管 願祢名得榮耀
[00:00:54.000 --> 00:00:56.000]  願祢感動
[00:00:56.000 --> 00:00:58.000]  奉主的宿命祈禱 阿們
[00:00:58.000 --> 00:01:03.000]  很開心和大家討論這個題目
[00:01:03.000 --> 00:01:05.000]  為什麼會講這個題目呢
[00:01:05.000 --> 00:01:08.000]  為什麼會講教會的社會服事呢
[00:01:08.000 --> 00:01:11.000]  就是其實在過去的日子當中
[00:01:11.000 --> 00:01:14.000]  當我在這裡去教宣教學
[00:01:14.000 --> 00:01:17.000]  或者講到教會的使命的時候
[00:01:17.000 --> 00:01:20.000]  我就經常在近年來
[00:01:20.000 --> 00:01:23.000]  都經常講這個整全使命的課題
[00:01:23.000 --> 00:01:24.000]  其實整全使命這個課題
[00:01:24.000 --> 00:01:27.000]  在最近半個世紀開始有人講的
[00:01:27.000 --> 00:01:29.000]  現在越講越廣泛
[00:01:29.000 --> 00:01:31.000]  我想特別講講
[00:01:31.000 --> 00:01:33.000]  整全使命是什麼呢
[00:01:33.000 --> 00:01:36.000]  我就用最簡單最簡單的方法去形容
[00:01:36.000 --> 00:01:38.000]  我很喜歡Andrew Wals
[00:01:38.000 --> 00:01:42.000]  Andrew Wals是現今的宣教歷史學者
[00:01:42.000 --> 00:01:44.000]  老人家九十多歲了
[00:01:44.000 --> 00:01:49.000]  仍然繼續在大學裡去講宣教的歷史
[00:01:49.000 --> 00:01:51.000]  他用一個很簡單的方法
[00:01:51.000 --> 00:01:54.000]  一本書叫做《21世紀的宣教》
[00:01:54.000 --> 00:01:56.000]  暫時沒有中文的翻譯
[00:01:56.000 --> 00:01:59.000]  他講到其實全球的使命
[00:01:59.000 --> 00:02:02.000]  一教會的使命有五個標誌
[00:02:02.000 --> 00:02:05.000]  他五個標誌我很簡單的去講
[00:02:05.000 --> 00:02:10.000]  就是宣講福音 培育門徒 愛心服事
[00:02:10.000 --> 00:02:13.000]  社會轉化和保育地球
[00:02:13.000 --> 00:02:15.000]  我用更簡單的方法去看
