
[00:00:00.000 --> 00:00:12.000]  歡迎各位今早來到中國神學研究院的公開培靈講座
[00:00:12.000 --> 00:00:20.000]  你可以當今天是一個端午節的淑齡盛宴
[00:00:20.000 --> 00:00:24.000]  有九道菜加甜品
[00:00:24.000 --> 00:00:30.000]  在上星期初的時候
[00:00:30.000 --> 00:00:42.000]  我們的電腦報名註冊已經停在1800人的那一刻
[00:00:42.000 --> 00:00:44.000]  就額滿即止
[00:00:44.000 --> 00:00:50.000]  但其實今早不單止是香港的弟兄姊妹和我們一起
[00:00:50.000 --> 00:00:58.000]  在美國紐約和休斯敦有兩個教會的弟兄姊妹
[00:00:58.000 --> 00:01:00.000]  他們是星期五晚上
[00:01:00.000 --> 00:01:05.000]  紐約和我們一樣九點鐘十二個小時時差
[00:01:05.000 --> 00:01:09.000]  休斯敦就八點鐘他們團契
[00:01:09.000 --> 00:01:12.000]  原來紐約的團契是九點到十一點
[00:01:12.000 --> 00:01:14.000]  感謝神
[00:01:14.000 --> 00:01:21.000]  也透過互聯網的直播歡迎北美的弟兄姊妹
[00:01:21.000 --> 00:01:27.000]  和我們只是今早上午頭一個的片段
[00:01:27.000 --> 00:01:30.000]  他們會和我們一起
[00:01:30.000 --> 00:01:37.000]  人生上半場這個題目
[00:01:37.000 --> 00:01:46.000]  讓我想起以撒創世紀的人物
[00:01:46.000 --> 00:01:50.000]  舊約聖經有一句很特別的話
[00:01:50.000 --> 00:01:58.000]  就是當上帝向摩西顯現在春埃及記第三章
[00:01:58.000 --> 00:02:00.000]  你有聖經你可以偷看
[00:02:00.000 --> 00:02:01.000]  沒有聖經不要緊
[00:02:01.000 --> 00:02:03.000]  你寫下回去慢慢看
[00:02:03.000 --> 00:02:08.000]  春埃及記第三章三次重覆
[00:02:08.000 --> 00:02:11.000]  上帝介紹他自己
[00:02:11.000 --> 00:02:15.000]  他說我是阿伯拉罕的神
[00:02:15.000 --> 00:02:18.000]  以撒的神
[00:02:18.000 --> 00:02:21.000]  瓦國的神
[00:02:21.000 --> 00:02:24.000]  我們不是這樣說的
[00:02:24.000 --> 00:02:28.000]  我們說上帝是阿伯拉罕以撒瓦國的神
[00:02:28.000 --> 00:02:30.000]  省下重覆三次
[00:02:30.000 --> 00:02:34.000]  但猶太的拉比就注意到
[00:02:34.000 --> 00:02:38.000]  為何上帝三次重覆介紹他自己
[00:02:38.000 --> 00:02:45.000]  都分開三個人名來這樣說呢?
[00:02:45.000 --> 00:02:47.000]  拉比說
[00:02:47.000 --> 00:02:54.000]  這就證明阿伯拉罕、以撒和瓦國
[00:02:54.000 --> 00:03:00.000]  在上帝的眼中同樣重要
[00:03:00.000 --> 00:03:02.000]  這是拉比的聖經
[00:03:02.000 --> 00:03:04.000]  沒有甚麼根據
[00:03:04.000 --> 00:03:08.000]  只是根據一句這麼特別的話
[00:03:08.000 --> 00:03:13.000]  重覆出現了三次
[00:03:13.000 --> 00:03:15.000]  如果我們讀《創世紀》
[00:03:15.000 --> 00:03:17.000]  我們馬上就會留意到
[00:03:17.000 --> 00:03:20.000]  《創世紀》有很長的篇幅
[00:03:20.000 --> 00:03:23.000]  記載阿伯拉罕
[00:03:23.000 --> 00:03:25.000]  從十一章
