
[00:00:00.000 --> 00:00:05.600]  在白話最後那句
[00:00:05.600 --> 00:00:07.600]  我們愛我們的國家
[00:00:07.600 --> 00:00:09.600]  國家愛不愛我
[00:00:09.600 --> 00:00:11.600]  打了一個很大的問號在雪地裏
[00:00:11.600 --> 00:00:15.600]  有一種欲哭無淚的感覺
[00:00:15.600 --> 00:00:17.600]  當時的感覺是
[00:00:17.600 --> 00:00:21.600]  無論再差的都是自己的國家
[00:00:21.600 --> 00:00:23.600]  我是其中一份子
[00:00:23.600 --> 00:00:25.600]  我不可以逃避
[00:00:25.600 --> 00:00:27.600]  我是有責任的
[00:00:27.600 --> 00:00:29.600]  現在我們所面對種種的困難
[00:00:29.600 --> 00:00:31.600]  我將它拋開
[00:00:31.600 --> 00:00:33.600]  好像與我無關
[00:00:33.600 --> 00:00:35.600]  我有我自己的路要走
[00:00:35.600 --> 00:00:37.600]  怎可以這樣
[00:00:37.600 --> 00:00:39.600]  我覺得你有你的路
[00:00:39.600 --> 00:00:41.600]  我有我的路
[00:00:41.600 --> 00:00:43.600]  我有深感受
[00:00:43.600 --> 00:00:45.600]  剛才余福利說了很多話
[00:00:45.600 --> 00:00:47.600]  黃河
[00:00:47.600 --> 00:00:49.600]  我從來沒有提過黃河
[00:00:49.600 --> 00:00:51.600]  他提的
[00:00:51.600 --> 00:00:53.600]  中國的神州大地
[00:00:53.600 --> 00:00:55.600]  我都沒有提過中國的神州大地
[00:00:55.600 --> 00:00:57.600]  那種土地情懷
[00:00:57.600 --> 00:01:01.600]  我自己的感受是
[00:01:01.600 --> 00:01:05.600]  我們只看到的地圖是香港
[00:01:05.600 --> 00:01:09.600]  我可能對城門河會有些感情
[00:01:09.600 --> 00:01:11.600]  因為我住沙田從小住到大
[00:01:11.600 --> 00:01:13.600]  可能對維多利亞港的感情會更深
[00:01:13.600 --> 00:01:15.600]  對於香港人的感覺
[00:01:15.600 --> 00:01:17.600]  我要回到那裏
[00:01:17.600 --> 00:01:19.600]  我要去了解那裏
[00:01:19.600 --> 00:01:21.600]  原來我要去給回鄉證
[00:01:21.600 --> 00:01:23.600]  所以很多時候
[00:01:23.600 --> 00:01:25.600]  那種土地的情懷
[00:01:25.600 --> 00:01:27.600]  我只住到那個地方
[00:01:27.600 --> 00:01:29.600]  去到一個比較遠的地方
[00:01:29.600 --> 00:01:31.600]  雖然現在交通方便了
[00:01:31.600 --> 00:01:33.600]  但那種感覺是真的遠
[00:01:33.600 --> 00:01:35.600]  你都要好像去外國一樣
[00:01:35.600 --> 00:01:37.600]  對
[00:01:37.600 --> 00:01:39.600]  我是香港人
[00:01:39.600 --> 00:01:41.600]  你是中國人
[00:01:41.600 --> 00:01:43.600]  我要你認可我
[00:01:43.600 --> 00:01:45.600]  你要一國兩制
[00:01:45.600 --> 00:01:47.600]  你不要一國兩制就不用
[00:01:47.600 --> 00:01:49.600]  問題是我們選擇了什麼
[00:01:49.600 --> 00:01:51.600]  你說如果我們
[00:01:51.600 --> 00:01:53.600]  不要九龍
[00:01:53.600 --> 00:01:57.600]  不要這樣的安排的話
[00:01:57.600 --> 00:02:01.600]  即是說大陸可以一千萬人湧入來
[00:02:01.600 --> 00:02:03.600]  我們都不應該擋住
[00:02:03.600 --> 00:02:07.600]  我們都要這樣去看
[00:02:07.600 --> 00:02:09.600]  你覺得是好事嗎
[00:02:09.600 --> 00:02:13.600]  一千萬人可以湧入來香港
[00:02:13.600 --> 00:02:15.600]  這件事我不知道
[00:02:15.600 --> 00:02:17.600]  我真的不知道
[00:02:17.600 --> 00:02:19.600]  那個的意義是什麼
[00:02:19.600 --> 00:02:21.600]  我不知道
[00:02:21.600 --> 00:02:23.600]  不過我肯定不同意
[00:02:23.600 --> 00:02:25.600]  你的手不用顫抖
[00:02:25.600 --> 00:02:27.600]  我沒有留意我的手在顫抖
[00:02:27.600 --> 00:02:29.600]  無論如何不是因為你
[00:02:29.600 --> 00:02:31.600]  無論如何不是因為你
[00:02:31.600 --> 00:02:33.600]  多謝您收睇時局新聞,再會!
[00:02:33.600 --> 00:02:35.600]  多謝您收睇時局新聞,再會!
[00:02:35.600 --> 00:02:38.600]  (字幕由 Amara.org 社群提供)

