
[00:00:00.000 --> 00:00:07.000]  最近有機會在學院教科關於人際關係
[00:00:07.000 --> 00:00:11.000]  在人際關係的建立裏面
[00:00:11.000 --> 00:00:14.000]  有一個很重要的過程
[00:00:14.000 --> 00:00:17.000]  當我和不同的人接觸的時候
[00:00:17.000 --> 00:00:22.000]  我會將那個人的好處、特點
[00:00:22.000 --> 00:00:28.000]  或者我欣賞的地方認同
[00:00:28.000 --> 00:00:32.000]  然後慢慢將他的特質
[00:00:32.000 --> 00:00:34.000]  內化在自己的生命裏面
[00:00:34.000 --> 00:00:36.000]  所以一幅圖畫就是
[00:00:36.000 --> 00:00:40.000]  原來我們在生命裏面遇過的人
[00:00:40.000 --> 00:00:44.000]  他們的特點、好處
[00:00:44.000 --> 00:00:49.000]  很有機會都會成為我們自己生命裏面的一部份
[00:00:49.000 --> 00:00:52.000]  今天這個下午
[00:00:52.000 --> 00:00:56.000]  有機會嘗試找一些
[00:00:56.000 --> 00:01:00.000]  數出來哪些人物比較影響我
[00:01:00.000 --> 00:01:07.000]  我想有一個少少可惜的發現就是
[00:01:07.000 --> 00:01:13.000]  大多數影響我的人物是書本裏面的作者
[00:01:13.000 --> 00:01:17.000]  多於在現實生活裏面的人
[00:01:17.000 --> 00:01:21.000]  或者人與人之間真的很緊密
[00:01:21.000 --> 00:01:24.000]  接觸而一起生活
[00:01:24.000 --> 00:01:29.000]  然後受他影響的片段機會真的很少
[00:01:29.000 --> 00:01:33.000]  而數回影響我的作者裏面
[00:01:33.000 --> 00:01:35.000]  我發覺都有一個特點
[00:01:35.000 --> 00:01:37.000]  譬如數一下
[00:01:37.000 --> 00:01:39.000]  我看得多他們的書
[00:01:39.000 --> 00:01:42.000]  包括《羅魂神父》
[00:01:42.000 --> 00:01:45.000]  我呼籲一位老師叫Louis Smith
[00:01:45.000 --> 00:01:49.000]  他寫的書叫《Forgive and Forget》
[00:01:49.000 --> 00:01:51.000]  譬如Eugene Peterson
[00:01:51.000 --> 00:01:55.000]  他牧羊的書我都看得多
[00:01:55.000 --> 00:01:58.000]  還有一位基督教教育家
[00:01:58.000 --> 00:02:00.000]  Parker Palmer的書
[00:02:00.000 --> 00:02:05.000]  我都深受他教學的理念影響
[00:02:05.000 --> 00:02:09.000]  還有心理學界的David Benner
[00:02:09.000 --> 00:02:12.000]  他是由一個臨床心理學家
[00:02:12.000 --> 00:02:17.000]  轉去做一些spiritual direction
[00:02:17.000 --> 00:02:20.000]  即是屬靈導人
[00:02:20.000 --> 00:02:23.000]  我看回這幾位人物
[00:02:23.000 --> 00:02:25.000]  他們寫書的過程裏面
[00:02:25.000 --> 00:02:27.000]  都有一個特色
[00:02:27.000 --> 00:02:30.000]  他們都會樂意分享自己的故事
[00:02:30.000 --> 00:02:32.000]  分享自己的掙扎
[00:02:32.000 --> 00:02:35.000]  所以透過看他們的書
[00:02:35.000 --> 00:02:39.000]  好像跟一個朋友有認識有接觸
[00:02:39.000 --> 00:02:42.000]  而他們的生命見證
[00:02:42.000 --> 00:02:48.000]  都成為了我學習或者追求的一個目標
[00:02:48.000 --> 00:02:50.000]  譬如Henry Lowen
[00:02:50.000 --> 00:02:54.000]  他那種無私的服侍
[00:02:54.000 --> 00:02:58.000]  他在教牧心理學上的心得
[00:02:58.000 --> 00:03:03.000]  自己屬靈操練的那種獨處反思
[00:03:03.000 --> 00:03:07.000]  用文字去捕捉自己的掙扎
[00:03:07.000 --> 00:03:10.000]  這些都是我喜歡的元素
[00:03:10.000 --> 00:03:12.000]  又或者Parker Palmer
[00:03:12.000 --> 00:03:15.000]  作為一個基督教的教育家
[00:03:15.000 --> 00:03:18.000]  他很看重一個人
[00:03:18.000 --> 00:03:20.000]  即是老師這個人
[00:03:20.000 --> 00:03:26.000]  怎樣跟學生之間有一個平等
[00:03:26.000 --> 00:03:28.000]  一起去學習
[00:03:28.000 --> 00:03:30.000]  一個這樣的素質
[00:03:30.000 --> 00:03:35.000]  他寫了很多自己裏面的一些心得
[00:03:35.000 --> 00:03:39.000]  我發覺原來所有影響我比較深
[00:03:39.000 --> 00:03:42.000]  我都很想在他們的生命裏面
[00:03:42.000 --> 00:03:44.000]  吸取一些養分的人
[00:03:44.000 --> 00:03:48.000]  都是樂意分享自己的生命故事
[00:03:48.000 --> 00:03:52.000]  我想這個都是很值得我們反思
[00:03:52.000 --> 00:03:56.000]  同樣我們很受耶穌基督的影響
[00:03:56.000 --> 00:03:58.000]  就是在四福音裏面
[00:03:58.000 --> 00:04:01.000]  他有很多故事
[00:04:01.000 --> 00:04:03.000]  很多生平的東西
[00:04:03.000 --> 00:04:05.000]  吸引我們
[00:04:05.000 --> 00:04:09.000]  令我們樂意去追隨他
[00:04:09.000 --> 00:04:13.000]  所以今日我們如果想發揮
[00:04:13.000 --> 00:04:19.000]  這個生命影響生命的一個影響力的話
[00:04:19.000 --> 00:04:22.000]  我相信樂意打開自己的生命
[00:04:22.000 --> 00:04:26.000]  樂意跟你認識的人
[00:04:26.000 --> 00:04:28.000]  去分享你自己的生命故事
[00:04:28.000 --> 00:04:32.000]  可以說是一個不二的發援
[00:04:32.000 --> 00:04:34.000]  是一個很好的途徑
[00:04:34.000 --> 00:04:36.000]  謝謝大家
[00:04:36.000 --> 00:04:38.000]  字幕:J Chong
[00:04:38.000 --> 00:04:41.000]  由 Amara.org 社群提供的字幕
[00:04:41.000 --> 00:04:44.000]  (字幕由 Amara.org 社群提供)

