
[00:00:00.000 --> 00:00:08.000]  多謝Kevin和特政的分享
[00:00:08.000 --> 00:00:21.000]  我很少見到我的朋友和學生工作者那種深情的感情分享
[00:00:21.000 --> 00:00:29.000]  我一直都很欣賞在下大學課室的弟妹和學生
[00:00:29.000 --> 00:00:33.000]  今早我祈禱的時候就在想
[00:00:33.000 --> 00:00:36.000]  今晚是哪些人會來這些工作
[00:00:36.000 --> 00:00:44.000]  所以我就用我的想像去想你的心是想著什麼
[00:00:44.000 --> 00:00:48.000]  這種想法就令我不是一種恐懼
[00:00:48.000 --> 00:00:53.000]  我反而感受到今晚你會來這個工作
[00:00:53.000 --> 00:00:56.000]  你正在探索一些東西
[00:00:56.000 --> 00:01:06.000]  而且你的確是正在思考一些對你的重要的生命中的反思
[00:01:06.000 --> 00:01:09.000]  未必能回答你的問題
[00:01:09.000 --> 00:01:13.000]  但以下我要分享的可能就是我這兩年多
[00:01:13.000 --> 00:01:18.000]  我自己在香港的處境
[00:01:18.000 --> 00:01:22.000]  我的成長感觸和反思
[00:01:22.000 --> 00:01:27.000]  在雨傘運動期間和之後兩年多的歲月
[00:01:27.000 --> 00:01:32.000]  我對香港的感情應該這樣說就是更加深
[00:01:32.000 --> 00:01:35.000]  我從來都不感受自己是落地的
[00:01:35.000 --> 00:01:39.000]  讀靈修學的人都是飄在天空
[00:01:39.000 --> 00:01:43.000]  但現在雨傘運動就把我打到地上
[00:01:43.000 --> 00:01:52.000]  這樣的運動令我自己的研究對於靈性
[00:01:52.000 --> 00:02:00.000]  對於靈命培育有一種是從生命的轉變
[00:02:00.000 --> 00:02:04.000]  處境的變化的角度去思考
[00:02:04.000 --> 00:02:09.000]  如何去研究靈命培育和靈修學
[00:02:09.000 --> 00:02:13.000]  更加貼切現在香港教會的需要
[00:02:13.000 --> 00:02:21.000]  我拍了二千多張的照片
[00:02:21.000 --> 00:02:24.000]  在這九十多天的裏面
[00:02:24.000 --> 00:02:30.000]  其實我為什麼會在金鐘走來走去
[00:02:30.000 --> 00:02:36.000]  是因為第一場講座是叫做「抗爭與靈性」
[00:02:36.000 --> 00:02:42.000]  我在場聽由中大的兩位老師去講的
[00:02:42.000 --> 00:02:48.000]  就是這個題目令我第一次踏足金鐘
[00:02:48.000 --> 00:02:55.000]  我想為什麼在香港有人思考「抗爭與靈性」
[00:02:55.000 --> 00:02:58.000]  你看到前面是「抗爭」
[00:02:58.000 --> 00:03:02.000]  他們就把「抗」命「佢」「爭」命「性」
[00:03:02.000 --> 00:03:08.000]  在這些九十天裏面有很多的symbol
[00:03:08.000 --> 00:03:14.000]  旁邊那張正正就是很多很重要的人物
[00:03:14.000 --> 00:03:17.000]  那晚在那裏撐衣裳
[00:03:17.000 --> 00:03:19.000]  這個是Umbrella Man
[00:03:19.000 --> 00:03:20.000]  都是我拍的
[00:03:20.000 --> 00:03:22.000]  因為我覺得他挺漂亮的
[00:03:22.000 --> 00:03:25.000]  特別是晚上喜歡拍照的人
[00:03:25.000 --> 00:03:29.000]  打燈是會用不同的角度去拍他的
[00:03:29.000 --> 00:03:33.000]  裏面有很多的wish
[00:03:33.000 --> 00:03:34.000]  很多的願望
[00:03:34.000 --> 00:03:36.000]  是在那個雨傘裏面
[00:03:36.000 --> 00:03:41.000]  他的身上前面那裏都是貼著
[00:03:41.000 --> 00:03:43.000]  很多對香港的期待
[00:03:43.000 --> 00:03:45.000]  對這個土地的愛
[00:03:45.000 --> 00:03:47.000]  他讀的時候是很感動的
[00:03:47.000 --> 00:03:50.000]  這個是Lennon Wall
[00:03:50.000 --> 00:03:52.000]  如果有去貼紙的人
[00:03:52.000 --> 00:03:54.000]  我猜上面應該有貼了
[00:03:54.000 --> 00:03:59.000]  你對這個土地這個時代的那份的心
[00:03:59.000 --> 00:04:02.000]  這個被列為雨傘運動裏面
[00:04:02.000 --> 00:04:07.000]  很重要的一個藝術的一個創作在裏面
[00:04:07.000 --> 00:04:10.000]  這個是十一國慶
[00:04:10.000 --> 00:04:14.000]  介乎中環和金鐘裏面
[00:04:14.000 --> 00:04:19.000]  那晚我是和一班朋友走在天橋上
[00:04:19.000 --> 00:04:22.000]  我第一次感覺香港有點像嘉年華
[00:04:22.000 --> 00:04:25.000]  那些人是吃東西
[00:04:25.000 --> 00:04:26.000]  聊天
[00:04:26.000 --> 00:04:27.000]  放音樂
[00:04:27.000 --> 00:04:29.000]  其實一點都不像佔領
[00:04:29.000 --> 00:04:30.000]  雨傘運動
[00:04:30.000 --> 00:04:32.000]  不是那回事
[00:04:32.000 --> 00:04:35.000]  那晚我吃了一個挺好的燒賣
[00:04:35.000 --> 00:04:39.000]  後來吃了之後有點後悔
[00:04:39.000 --> 00:04:41.000]  因為有一個很漂亮的
[00:04:41.000 --> 00:04:43.000]  很有禮貌的中學生
[00:04:43.000 --> 00:04:44.000]  被我說「依依」
[00:04:44.000 --> 00:04:46.000]  他竟然叫我依依
[00:04:48.000 --> 00:04:50.000]  你要不要吃燒賣
[00:04:50.000 --> 00:04:51.000]  我當然說好
[00:04:51.000 --> 00:04:53.000]  那麼可愛的小朋友
[00:04:53.000 --> 00:04:55.000]  這個是十一國慶
[00:04:55.000 --> 00:04:59.000]  這個是金鐘的天橋地
[00:04:59.000 --> 00:05:03.000]  那晚是有宣誓的大會
[00:05:03.000 --> 00:05:05.000]  這個是旺角
[00:05:05.000 --> 00:05:08.000]  那天我下班去拍攝
[00:05:08.000 --> 00:05:09.000]  我看到這些警察
[00:05:09.000 --> 00:05:10.000]  看到我的軸性
[00:05:10.000 --> 00:05:12.000]  那種款式
[00:05:12.000 --> 00:05:14.000]  就想一下這個人來這裏幹什麼
[00:05:14.000 --> 00:05:15.000]  我又對著他拍照
[00:05:15.000 --> 00:05:17.000]  他又不夠膽惡我
[00:05:17.000 --> 00:05:25.000]  但是今晚我想將這兩個類別澄清一下
[00:05:25.000 --> 00:05:30.000]  主張用抗爭與靈性擺位的人
[00:05:30.000 --> 00:05:36.000]  會說怎樣用抗爭去做一個靈修的操練
[00:05:36.000 --> 00:05:40.000]  但我的擺位是靈性與抗爭
[00:05:40.000 --> 00:05:43.000]  靈性是一生的事
[00:05:43.000 --> 00:05:49.000]  而靈性怎樣在抗爭裏面有轉化有成就
[00:05:49.000 --> 00:05:51.000]  才是今晚的重點
[00:05:51.000 --> 00:05:56.000]  我們的拓展部很好
[00:05:56.000 --> 00:05:57.000]  用「end」
[00:05:57.000 --> 00:06:02.000]  所以由我自己重新組合這兩個類別
[00:06:02.000 --> 00:06:03.000]  這兩個的範疇
[00:06:03.000 --> 00:06:05.000]  所以今晚會很快的
[00:06:05.000 --> 00:06:08.000]  用四個焦點
[00:06:08.000 --> 00:06:12.000]  就是究竟抗爭的光譜是怎樣的
[00:06:12.000 --> 00:06:15.000]  做一個靈修學的研究
[00:06:15.000 --> 00:06:18.000]  我是怎樣看靈修的作版
[00:06:18.000 --> 00:06:20.000]  以及抗爭的運動裏面
[00:06:20.000 --> 00:06:23.000]  他怎樣去思考抗爭
[00:06:23.000 --> 00:06:25.000]  以及靈性的轉化
[00:06:25.000 --> 00:06:28.000]  究竟焦點在哪裏
[00:06:28.000 --> 00:06:33.000]  如果我們說靈性是一生的事
[00:06:33.000 --> 00:06:34.000]  在抗爭裏面
[00:06:34.000 --> 00:06:37.000]  特別我們要注意的是什麼樣的轉化
[00:06:37.000 --> 00:06:40.000]  最後我想說的是
[00:06:40.000 --> 00:06:42.000]  雖然做靈修科老師
[00:06:42.000 --> 00:06:44.000]  我自己是一個牧者
[00:06:44.000 --> 00:06:47.000]  甚至是一個宣教士
[00:06:47.000 --> 00:06:48.000]  很多年來
[00:06:48.000 --> 00:06:51.000]  人是我最大的重點
[00:06:51.000 --> 00:06:53.000]  而一個人的成長
[00:06:53.000 --> 00:06:54.000]  一個人的尊嚴
[00:06:54.000 --> 00:06:56.000]  才是我看靈命培育
[00:06:56.000 --> 00:07:00.000]  最後的那種關注所在
[00:07:00.000 --> 00:07:02.000]  所以最後一點
[00:07:02.000 --> 00:07:03.000]  我會說多一點
[00:07:03.000 --> 00:07:05.000]  你們不用擔心
[00:07:05.000 --> 00:07:07.000]  我的廣東話不是很準
[00:07:07.000 --> 00:07:09.000]  但是在快要九點鐘的時候
[00:07:09.000 --> 00:07:11.000]  這種廣東話是有語錄性的
[00:07:11.000 --> 00:07:13.000]  你是比較不會睡覺的
[00:07:13.000 --> 00:07:17.000]  我講不清楚今天抗爭
[00:07:17.000 --> 00:07:20.000]  影響政治的呼召有沒有打折
[00:07:20.000 --> 00:07:21.000]  有沒有的
[00:07:21.000 --> 00:07:22.000]  不知道
[00:07:22.000 --> 00:07:23.000]  總之買一本
[00:07:23.000 --> 00:07:24.000]  我講不清楚
[00:07:24.000 --> 00:07:25.000]  那些拿去買一本
[00:07:25.000 --> 00:07:26.000]  就會清楚
[00:07:26.000 --> 00:07:32.000]  抗爭的光譜是翻譯的問題
[00:07:32.000 --> 00:07:34.000]  為了這個字
[00:07:34.000 --> 00:07:36.000]  我就和我們主辦單位
[00:07:36.000 --> 00:07:37.000]  爭論了很久
[00:07:37.000 --> 00:07:40.000]  我說這個是中文的問題
[00:07:40.000 --> 00:07:43.000]  其實光譜是很闊的
[00:07:43.000 --> 00:07:47.000]  你可以說那種很極端的革命
[00:07:47.000 --> 00:07:48.000]  和對抗
