
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:19.000]   - Welcome, ladies and gentlemen.
[00:00:19.000 --> 00:00:22.080]   Good morning to those of you who are in Hong Kong,
[00:00:22.080 --> 00:00:25.680]   and good evening, Dr. Mark Labberton,
[00:00:25.680 --> 00:00:28.880]   and welcome those of you who are viewing this
[00:00:28.880 --> 00:00:30.820]   at home on the internet.
[00:00:30.820 --> 00:00:32.240]   Welcome to the second day
[00:00:32.240 --> 00:00:34.800]   of the China Graduate School of Theology,
[00:00:34.800 --> 00:00:38.360]   Josephine Zou Culture and Ethics Lecture Week.
[00:00:38.360 --> 00:00:43.360]   We had a very fruitful and sharing discussion yesterday.
[00:00:43.360 --> 00:00:46.400]   If this is the first day that you joined the lecture,
[00:00:46.400 --> 00:00:48.680]   I would like to welcome you to the second day
[00:00:48.680 --> 00:00:50.640]   of our lecture on the crisis
[00:00:50.640 --> 00:00:53.280]   of American white evangelicalism.
[00:00:53.280 --> 00:00:56.440]   So just a housekeeping item,
[00:00:56.440 --> 00:00:59.840]   if you would like to view the lecture in Cantonese
[00:00:59.840 --> 00:01:02.880]   or Mandarin, you can scroll down to the webpage
[00:01:02.880 --> 00:01:07.880]   to the bottom, and you can find the respective language,
[00:01:07.880 --> 00:01:12.000]   so either in English, Cantonese, or Mandarin.
[00:01:12.000 --> 00:01:14.480]   So today, we are honored and fortunate
[00:01:14.480 --> 00:01:17.580]   to have Dr. Mark Labberton with us again
[00:01:17.580 --> 00:01:21.360]   to share with us about Christology and our culture.
[00:01:21.360 --> 00:01:23.920]   And the title of today's lecture is
[00:01:23.920 --> 00:01:27.280]   The Battle of American White Evangelicalism
[00:01:27.280 --> 00:01:32.120]   that Exalts its Christology While its Culture Itself.
[00:01:32.120 --> 00:01:35.860]   And without further ado, let's welcome Dr. Mark Labberton.
[00:01:35.860 --> 00:01:38.760]   - Thank you very much.
[00:01:38.760 --> 00:01:43.920]   It's my great privilege and honor to be with you again.
[00:01:43.920 --> 00:01:46.640]   And as we go through our lecture tonight
[00:01:46.640 --> 00:01:49.000]   and then have opportunities for questions
[00:01:49.000 --> 00:01:51.720]   and discussion later, I look forward to that,
[00:01:51.720 --> 00:01:53.040]   as well as the respondents
[00:01:53.040 --> 00:01:55.320]   that are going to comment as well.
[00:01:55.320 --> 00:01:59.640]   So Christology and our culture,
[00:01:59.640 --> 00:02:01.640]   we will reflect on the battle
[00:02:01.640 --> 00:02:04.640]   of American white evangelicalism
[00:02:04.640 --> 00:02:08.960]   that exalts its Christology while its culture eats its soul.
[00:02:08.960 --> 00:02:15.600]   In 2004, at the height of George W. Bush's administration
[00:02:15.600 --> 00:02:20.160]   and new waves of the press exploring the meaning
[00:02:20.160 --> 00:02:23.440]   and character of evangelicalism,
[00:02:23.440 --> 00:02:26.680]   David Brooks, a New York Times columnist,
[00:02:26.680 --> 00:02:31.040]   wrote an article entitled, "Who is John Stott?"
[00:02:31.040 --> 00:02:34.760]   It was a brief article,
