
[00:00:00.000 --> 00:00:03.720]  各位忠臣的朋友,你們好
[00:00:03.720 --> 00:00:06.520]  無論你在香港、北美或其他地方
[00:00:06.520 --> 00:00:13.240]  在疫情之下,我們都有空間一起學習課題
[00:00:13.240 --> 00:00:15.680]  今天想和大家分享一個課題
[00:00:15.680 --> 00:00:18.160]  叫做「雙翼齊飛」
[00:00:18.160 --> 00:00:20.800]  信仰和正向心理學
[00:00:20.800 --> 00:00:24.800]  如何幫助我們跨越疫情和疫情
[00:00:24.800 --> 00:00:28.160]  我也想為這個題目點題
[00:00:28.160 --> 00:00:30.760]  什麼是雙翼呢?
[00:00:30.760 --> 00:00:34.800]  我是指信仰和正向心理學
[00:00:34.800 --> 00:00:40.000]  我本身是在忠臣教輔導
[00:00:40.000 --> 00:00:47.800]  我發覺心理學和信仰有很多整合的機會
[00:00:47.800 --> 00:00:52.960]  現在面對疫情和疫情之下
[00:00:52.960 --> 00:00:56.280]  信仰發揮了很重要的元素
[00:00:56.280 --> 00:01:00.200]  而我自己在研究心理學的過程中
[00:01:00.200 --> 00:01:02.440]  有一個叫正向的心理學
[00:01:02.440 --> 00:01:06.240]  它和一般的心理學有些少不同
[00:01:06.240 --> 00:01:13.160]  它比較著重我們人有一種內在想好的動力
[00:01:13.160 --> 00:01:19.760]  在疫情之下,如何正向面對前面的問題呢?
[00:01:19.760 --> 00:01:24.120]  今天我會從兩方面和大家分享
[00:01:24.120 --> 00:01:27.360]  先談談疫情
[00:01:27.360 --> 00:01:32.760]  在疫情之下,如何仍然有盼望呢?
[00:01:32.760 --> 00:01:37.320]  下半段我會和大家分享關於疫情
[00:01:37.320 --> 00:01:41.720]  在疫情要家居隔離
[00:01:41.720 --> 00:01:50.880]  或者在不太自由的狀況下
[00:01:50.880 --> 00:01:53.240]  我們的情緒也會受到影響
[00:01:53.240 --> 00:01:58.840]  在疫情之下,如何調適好自己的情緒呢?
[00:01:58.840 --> 00:02:01.320]  我們也有很多憂慮
[00:02:01.320 --> 00:02:06.400]  希望透過心理學和聖經
[00:02:06.400 --> 00:02:12.040]  讓大家在這方面有出路
[00:02:12.040 --> 00:02:18.760]  我先和大家分享關於逆境
[00:02:18.760 --> 00:02:24.840]  逆境在心理學中會看為
[00:02:24.840 --> 00:02:28.360]  當我們面對巨大的壓力時
[00:02:28.360 --> 00:02:32.760]  我們原本能夠面對困難的能力
[00:02:32.760 --> 00:02:35.120]  突然間好像掉了一圈
[00:02:35.120 --> 00:02:37.120]  如果大家看這幅圖
[00:02:37.120 --> 00:02:40.120]  左手邊是壓力和逆境
[00:02:40.120 --> 00:02:46.680]  一出現的時候,就好像掉進了一個低谷
[00:02:46.680 --> 00:02:50.960]  如何才能從低谷上來呢?
[00:02:50.960 --> 00:02:59.280]  這就是研究逆境,抗逆力
[00:02:59.280 --> 00:03:03.320]  在我們看逆境的過程中
[00:03:03.320 --> 00:03:06.440]  一個人被一件事衝擊而掉下來
[00:03:06.440 --> 00:03:11.160]  其實有一種反彈,站起來的能力
[00:03:11.160 --> 00:03:21.280]  在逆境中,我們有三個被逆境打擊後的可能性結局
[00:03:21.280 --> 00:03:24.200]  有些人會一蹶不振
[00:03:24.200 --> 00:03:33.720]  被逆境打擊,令他情緒和精神出現困難
[00:03:33.720 --> 00:03:41.040]  很多時候都回不去原本能力的狀態
[00:03:41.040 --> 00:03:46.520]  有些人在逆境完結後,回復了水平
[00:03:46.520 --> 00:03:50.040]  和逆境之前沒有分別
[00:03:50.040 --> 00:03:56.160]  但有些人經過逆境後,可以提升自己
[00:03:56.160 --> 00:03:59.600]  我們稱為「經一事長一智」
[00:03:59.600 --> 00:04:05.040]  我們希望在逆境中能夠
[00:04:05.040 --> 00:04:12.400]  跨越後,增強自己面對困難和逆境的能力
