
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹大家好
[00:00:02.000 --> 00:00:04.720]  我回想起十年前
[00:00:04.720 --> 00:00:06.080]  好像大家一樣
[00:00:06.080 --> 00:00:08.880]  都去參加神學院的導向日
[00:00:08.880 --> 00:00:09.920]  獻身營
[00:00:09.920 --> 00:00:14.720]  記得當時心情有些忐忑和掙扎
[00:00:14.720 --> 00:00:17.920]  一方面內心也有一份感動
[00:00:17.920 --> 00:00:19.920]  要去回應神的呼召
[00:00:19.920 --> 00:00:21.440]  但另一方面
[00:00:21.440 --> 00:00:24.480]  又會猶豫著不知如何做抉擇
[00:00:24.480 --> 00:00:27.840]  我想面對現在香港的處境
[00:00:27.840 --> 00:00:31.440]  我相信去想讀神學這件事
[00:00:31.440 --> 00:00:33.280]  比起十年前的我
[00:00:33.280 --> 00:00:35.280]  要面對更大的挑戰
[00:00:35.280 --> 00:00:38.240]  在這個變局之下
[00:00:38.240 --> 00:00:40.640]  我們如何思考讀神學
[00:00:40.640 --> 00:00:43.360]  這個為主擺上的抉擇呢?
[00:00:43.360 --> 00:00:46.560]  我想起一段經文
[00:00:46.560 --> 00:00:50.240]  在《馬學福音》14章1至11節
[00:00:50.240 --> 00:00:53.200]  它裏面描述一個女子
[00:00:53.200 --> 00:00:55.120]  將一瓶極貴的香膏
[00:00:55.120 --> 00:00:57.360]  敲在耶穌身上的片段
[00:00:57.360 --> 00:01:00.320]  我們可以藉著這段經文
[00:01:00.320 --> 00:01:05.840]  去思考如何在變局中奉獻毀身
[00:01:05.840 --> 00:01:08.720]  如何踏上神學之旅
[00:01:08.720 --> 00:01:11.440]  在當中的挑戰和意義
[00:01:11.440 --> 00:01:15.040]  在這段經文我們首先看到
[00:01:15.040 --> 00:01:17.600]  這個獻情的行動
[00:01:17.600 --> 00:01:22.320]  正值在一個外憂內患的時刻發生
[00:01:22.320 --> 00:01:24.880]  14章1節描述
[00:01:24.880 --> 00:01:29.680]  祭司長和文士正在想辦法
[00:01:29.680 --> 00:01:32.960]  去捉拿耶穌,要去殺祂
[00:01:32.960 --> 00:01:35.760]  第10至11節
[00:01:35.760 --> 00:01:38.800]  就是交代十二門徒之一的猶大
[00:01:38.800 --> 00:01:41.040]  他已經去見祭司長
[00:01:41.040 --> 00:01:44.240]  準備去賣耶穌
[00:01:44.240 --> 00:01:46.400]  將耶穌交給他們
[00:01:46.400 --> 00:01:48.400]  可以看到
[00:01:48.400 --> 00:01:51.760]  這是一個非常嚴峻的局面
[00:01:51.760 --> 00:01:54.640]  外憂祭司長文士
[00:01:54.640 --> 00:01:56.640]  已經殺氣騰騰
[00:01:56.640 --> 00:01:59.760]  挖空心思去捉拿耶穌
[00:01:59.760 --> 00:02:03.600]  而內有叛徒猶大
[00:02:03.600 --> 00:02:06.960]  他已經和祭司長達成協議
[00:02:06.960 --> 00:02:09.840]  準備告密出賣主
[00:02:09.840 --> 00:02:11.920]  從中獲利
[00:02:11.920 --> 00:02:15.760]  但是又正正在這兩段
[00:02:15.760 --> 00:02:17.920]  講外憂內患的經文
