
[00:00:00.000 --> 00:00:04.000]  什麼時代 什麼僕人
[00:00:04.000 --> 00:00:07.000]  在這個時代背景中
[00:00:07.000 --> 00:00:11.000]  上帝就是把我們放在這個時空
[00:00:11.000 --> 00:00:13.000]  上帝把我們放在中晨
[00:00:13.000 --> 00:00:17.000]  我就和一班老師 同工 校友 同學
[00:00:17.000 --> 00:00:20.000]  一起要問一個問題
[00:00:20.000 --> 00:00:22.000]  什麼中晨
[00:00:22.000 --> 00:00:26.000]  我會用十多分鐘來分享中晨
[00:00:26.000 --> 00:00:30.000]  對應著這個時代的回應
[00:00:30.000 --> 00:00:34.000]  中晨是一場神學教育運動
[00:00:34.000 --> 00:00:37.000]  我們創校以來經歷了不少改變
[00:00:37.000 --> 00:00:42.000]  我們都不斷努力對應著時代不同的變遷
[00:00:42.000 --> 00:00:45.000]  正如大家走進來中晨
[00:00:45.000 --> 00:00:49.000]  你就會見到學院一樓掛著的「恩典」兩個字
[00:00:49.000 --> 00:00:53.000]  我們一直都是只有依賴上帝的恩典
[00:00:53.000 --> 00:00:55.000]  祂的帶領來到前行
[00:00:55.000 --> 00:00:57.000]  作為神學教育運動
[00:00:57.000 --> 00:01:00.000]  我看回我們創校的前輩
[00:01:00.000 --> 00:01:04.000]  他們由一開始已經有一個宏觀的視野
[00:01:04.000 --> 00:01:09.000]  中晨看的不單止是研究院的科目或課程
[00:01:09.000 --> 00:01:14.000]  也包括面向整個華人教會群體的服事
[00:01:14.000 --> 00:01:19.000]  所以我們不單止在神學和研究本身
[00:01:19.000 --> 00:01:22.000]  我們都一直堅持著嚴謹認真
[00:01:22.000 --> 00:01:28.000]  我們更加想透過我們在上主面前的領袖和服事
[00:01:28.000 --> 00:01:35.000]  不斷思考我們如何繼續參與神學教育
[00:01:35.000 --> 00:01:37.000]  培育神國的僕人
[00:01:37.000 --> 00:01:38.000]  在這個過程中
[00:01:38.000 --> 00:01:44.000]  我們很需要和教會群體在座的你一起去協作
[00:01:44.000 --> 00:01:47.000]  我們很想見到整個教會的生態
[00:01:47.000 --> 00:01:51.000]  在上帝的恩典中可以持續更新改變
[00:01:51.000 --> 00:01:53.000]  正如剛才所說
[00:01:53.000 --> 00:01:56.000]  我們要有反思、能夠協作
[00:01:56.000 --> 00:02:02.000]  能夠對應一個如此紛亂和多變的世代
[00:02:02.000 --> 00:02:05.000]  中晨的本業就是神學教育
[00:02:05.000 --> 00:02:08.000]  這是我們不斷思考的事
[00:02:08.000 --> 00:02:10.000]  我們今天的中晨群體
[00:02:10.000 --> 00:02:14.000]  包括歷年的師生和校友
[00:02:14.000 --> 00:02:16.000]  可能在座的你也是其中一位
[00:02:16.000 --> 00:02:19.000]  我們的人數是越來越多
[00:02:19.000 --> 00:02:22.000]  學院的制度越來越漸進
[00:02:22.000 --> 00:02:30.000]  但我們卻同時要保持神學教育運動的動力和變化特質
[00:02:30.000 --> 00:02:33.000]  其實這並不容易
[00:02:33.000 --> 00:02:37.000]  但我們覺得這是我們要持守的特質
[00:02:37.000 --> 00:02:39.000]  所以我們說笑地說
[00:02:39.000 --> 00:02:41.000]  其實也是真的
[00:02:41.000 --> 00:02:46.000]  中晨從來都是不停地改變
[00:02:46.000 --> 00:02:49.000]  我們的課程五年一小改
[00:02:49.000 --> 00:02:51.000]  十年一個大改
[00:02:51.000 --> 00:02:53.000]  目的都是回應當下
[00:02:53.000 --> 00:02:58.000]  過去幾年我們的教授團不斷思考這個問題
[00:02:58.000 --> 00:03:04.000]  我們集合了每一年在校同學給我們的課程意見
[00:03:04.000 --> 00:03:07.000]  我們問了不同年代的校友
[00:03:07.000 --> 00:03:08.000]  有些我們用問卷
[00:03:08.000 --> 00:03:11.000]  有些我們叫他們回來和我們討論
[00:03:11.000 --> 00:03:16.000]  我們參考了教育界最新的理念和設計
[00:03:16.000 --> 00:03:20.000]  我們也與不同的群體包括我們的董事交流
[00:03:20.000 --> 00:03:26.000]  我們決定要做一個比較全面的檢視
[00:03:26.000 --> 00:03:30.000]  所以我們由中晨的使命宣言開始
[00:03:30.000 --> 00:03:33.000]  我們重新整理我們的願景
[00:03:33.000 --> 00:03:37.000]  為我們研究院的課程做了一個全面的改革
[00:03:37.000 --> 00:03:40.000]  新的中晨使命宣言的願景
[00:03:40.000 --> 00:03:43.000]  中晨是一個教學相長
[00:03:43.000 --> 00:03:46.000]  富有活力的聖徒群體
[00:03:46.000 --> 00:03:49.000]  以傳承基督福音信仰為經
[00:03:49.000 --> 00:03:52.000]  關切當下時代處境為委
[00:03:52.000 --> 00:03:55.000]  致力拓展神學教育運動
[00:03:55.000 --> 00:03:57.000]  裝備神國僕人
[00:03:57.000 --> 00:04:01.000]  與華人教會協力承擔整全使命
[00:04:01.000 --> 00:04:04.000]  遍傳福音轉化世界
[00:04:04.000 --> 00:04:07.000]  教學相長富有活力
[00:04:07.000 --> 00:04:12.000]  我們當時想到的形容詞是Dynamic Learning Community
[00:04:12.000 --> 00:04:17.000]  有一個互動多變不斷更新的意思
[00:04:17.000 --> 00:04:21.000]  動力活力甚至創意
[00:04:21.000 --> 00:04:24.000]  代表著我們持續更新的決心
[00:04:24.000 --> 00:04:28.000]  我們改變不代表以往的無價值
[00:04:28.000 --> 00:04:31.000]  反而正正因為我們以往的工作
[00:04:31.000 --> 00:04:35.000]  給我們不少經驗和參考
[00:04:35.000 --> 00:04:37.000]  而且每個時代的神學教育
[00:04:37.000 --> 00:04:40.000]  都需要對應當代的處境
[00:04:40.000 --> 00:04:42.000]  四十多年來
[00:04:42.000 --> 00:04:46.000]  中晨建立了一班校友群體
[00:04:46.000 --> 00:04:49.000]  我們散落在不同的場景和崗位裏
[00:04:49.000 --> 00:04:52.000]  甚至是世界的每一個角落
[00:04:52.000 --> 00:04:55.000]  中晨大家庭網絡對我來說
