
[00:00:00.000 --> 00:00:04.000]  
[00:00:04.000 --> 00:00:10.000]  歡迎大家今晚來到中國神學研究院信仰及公共價值研究中心
[00:00:10.000 --> 00:00:11.600]  舉辦的公開講座
[00:00:11.600 --> 00:00:12.880]  講座的題目是
[00:00:12.880 --> 00:00:18.080]  「流離安身,從舊約被擄,反思當下處境」
[00:00:18.080 --> 00:00:19.520]  這個公開講座
[00:00:19.520 --> 00:00:23.120]  我想當香港回歸將近二十年
[00:00:23.120 --> 00:00:26.480]  本土或者身份這些問題
[00:00:26.480 --> 00:00:28.480]  都成為我們很多人的關注
[00:00:28.480 --> 00:00:30.560]  我們都很需要在聖經
[00:00:30.560 --> 00:00:31.760]  在神學裡面
[00:00:31.760 --> 00:00:36.000]  去反省一下聖經對我們今天有什麼啟示
[00:00:36.000 --> 00:00:38.880]  今天很開心我們有兩位教授
[00:00:38.880 --> 00:00:40.320]  跟大家分享
[00:00:40.320 --> 00:00:46.240]  首先是聖經科教授
[00:00:46.240 --> 00:00:47.840]  黃嘉良博士
[00:00:47.840 --> 00:00:50.560]  他將會用一段時間
[00:00:50.560 --> 00:00:53.120]  跟大家分享一下這個主題
[00:00:53.120 --> 00:00:56.880]  接下來就是神學科副教授
[00:00:56.880 --> 00:01:00.320]  信仰及公共價值研究中心主任
[00:01:00.320 --> 00:01:01.680]  李耀君博士Daniel
[00:01:01.680 --> 00:01:03.280]  他會作一些簡單的回應
[00:01:03.280 --> 00:01:05.280]  今天你的反應其實很好
[00:01:05.280 --> 00:01:07.680]  有很多弟兄姊妹都報名了
[00:01:07.680 --> 00:01:10.080]  所以我們的禮堂都坐滿了
[00:01:10.080 --> 00:01:14.320]  所以都歡迎外面的平台
[00:01:14.320 --> 00:01:16.320]  或者待會更加樓下
[00:01:16.320 --> 00:01:18.080]  或者後面的課室
[00:01:18.080 --> 00:01:19.760]  都有一些來賓
[00:01:19.760 --> 00:01:22.080]  來跟我們一起共聚
[00:01:22.080 --> 00:01:25.200]  一會兒兩位主要講員
[00:01:25.200 --> 00:01:27.200]  分享之後
[00:01:27.200 --> 00:01:29.760]  也有一段時間是答問的
[00:01:29.760 --> 00:01:33.680]  所以大家如果聽到有什麼想問的時候
[00:01:33.680 --> 00:01:35.280]  大家就有機會的
[00:01:35.280 --> 00:01:37.760]  不過待會答問的環節
[00:01:37.760 --> 00:01:39.280]  流程是怎樣呢
[00:01:39.280 --> 00:01:41.360]  待會兩位分享完之後
[00:01:41.360 --> 00:01:42.720]  我才會跟大家解釋
[00:01:42.720 --> 00:01:44.000]  事不宜遲
[00:01:44.000 --> 00:01:48.240]  不如首先將時間交給黃嘉良博士去分享
[00:01:48.720 --> 00:01:55.360]  (掌聲)
[00:01:55.360 --> 00:01:56.960]  各位弟兄姊妹晚安
[00:01:56.960 --> 00:01:58.320]  (晚安)
[00:01:58.320 --> 00:02:00.880]  今天跟大家分享的訊息是
[00:02:00.880 --> 00:02:05.680]  「流離安身,從舊約秘魯反思當下處境」
[00:02:05.680 --> 00:02:11.120]  香港回歸正如剛才提及
[00:02:11.120 --> 00:02:13.600]  已經差不多二十年的歷史
[00:02:13.600 --> 00:02:17.040]  但是在過去五年所產生的變化
[00:02:17.040 --> 00:02:20.400]  可以說是比過去最初十五年的變化
[00:02:20.400 --> 00:02:21.600]  還要大
[00:02:21.600 --> 00:02:23.120]  還要強
[00:02:23.120 --> 00:02:24.640]  當我們目睹
[00:02:24.640 --> 00:02:28.880]  香港一處處盛載本土歷史文化的地區
[00:02:28.880 --> 00:02:33.040]  因著種種不同的原因被拆毀重建
[00:02:33.040 --> 00:02:35.920]  當我們見到香港一些的核心價值
[00:02:35.920 --> 00:02:39.120]  例如自由、平等、法治
[00:02:39.120 --> 00:02:42.000]  屢受到破壞、消耗
[00:02:42.000 --> 00:02:46.480]  所以我們雖然仍然好像在香港這個地方當中
[00:02:46.480 --> 00:02:50.960]  但是我們彷彿好像經歷到秘魯的處境
[00:02:50.960 --> 00:02:54.400]  感覺到疏離和割裂
[00:02:54.400 --> 00:02:57.120]  我們如何可以在這樣的環境之下
[00:02:57.120 --> 00:03:00.320]  去安身作為回應呢?
[00:03:00.320 --> 00:03:04.640]  今晚希望藉著跟大家分享以色列書的一些部分內容
[00:03:04.640 --> 00:03:09.280]  能夠跟大家對這個問題有一點點的反思
[00:03:09.280 --> 00:03:15.440]  這個問題以流離、秘魯作為開始
[00:03:15.440 --> 00:03:20.240]  以色列國經歷了索羅、大衛和所羅門王的統治之後
[00:03:20.240 --> 00:03:23.280]  分為南國和北國
[00:03:23.280 --> 00:03:25.440]  稍為熟悉在以色列歷史的時候
[00:03:25.440 --> 00:03:31.680]  你就會知道北國在公元前722年被亞述國所滅
[00:03:31.680 --> 00:03:35.840]  當時北國的人被擄到不同的地方
[00:03:35.840 --> 00:03:41.600]  甚至完全不聽聞有什麼存在
[00:03:41.600 --> 00:03:46.320]  其後亞述帝國被巴比倫帝國所取代
[00:03:46.320 --> 00:03:49.520]  而在公元前597年
[00:03:49.520 --> 00:03:54.640]  巴比倫王尼布格尼薩王統領大軍攻入耶路撒冷
[00:03:54.640 --> 00:04:00.160]  擄去了當時只是上任三個月的皇帝約瓦根
[00:04:00.160 --> 00:04:05.120]  和貴就一班的首領到巴比倫
[00:04:05.120 --> 00:04:08.880]  公元前597年成為以色列人
[00:04:08.880 --> 00:04:14.000]  第一次被巴比倫王所擄掠的時期
[00:04:14.000 --> 00:04:17.200]  其後十年之後
[00:04:17.200 --> 00:04:21.520]  當以色列人還認為秘魯只是一個很短暫的時期
[00:04:21.520 --> 00:04:25.280]  但是十年之後到公元前587年
[00:04:25.280 --> 00:04:29.040]  巴比倫王再次圍困耶路撒冷
[00:04:29.040 --> 00:04:32.000]  攻陷耶路撒冷
[00:04:32.000 --> 00:04:38.080]  歷時四百年的大衛王朝終於結束了
[00:04:38.080 --> 00:04:40.000]  什麼是秘魯呢?
[00:04:40.000 --> 00:04:44.480]  我們提及到北國的秘魯、南國的秘魯
[00:04:44.480 --> 00:04:47.360]  但是什麼是秘魯呢?
[00:04:47.360 --> 00:04:51.200]  過去二十年有不少學者從不同的角度
