
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:17.840]   - Good evening, ladies and gentlemen,
[00:00:17.840 --> 00:00:20.400]   fellow sisters and brothers in Christ.
[00:00:20.400 --> 00:00:23.760]   Welcome back to the fourth and final lecture
[00:00:23.760 --> 00:00:28.760]   of this year's Josephine So Culture and Ethics lectures.
[00:00:29.280 --> 00:00:32.720]   In this session, our distinguished speaker,
[00:00:32.720 --> 00:00:34.960]   Reverend Dr. Christopher Wright,
[00:00:34.960 --> 00:00:39.280]   Langham's Global Ambassador and Ministry Director,
[00:00:39.280 --> 00:00:41.440]   will continue to speak to us
[00:00:41.440 --> 00:00:45.440]   on the relevance of the Old Testament to our Christian faith.
[00:00:45.440 --> 00:00:48.580]   In the previous three lectures,
[00:00:48.580 --> 00:00:52.520]   he finally elucidated for us how the Old Testament
[00:00:52.520 --> 00:00:56.800]   may bear on our understanding of our Christian identity,
[00:00:56.800 --> 00:00:59.760]   missions, and ethics.
[00:00:59.760 --> 00:01:04.280]   Tonight, he'll stretch our horizon a bit forward
[00:01:04.280 --> 00:01:07.560]   and cast a look into the future.
[00:01:07.560 --> 00:01:11.760]   Tonight's topic is the Old Testament and Christian hope,
[00:01:11.760 --> 00:01:13.820]   where will it all end?
[00:01:13.820 --> 00:01:17.600]   Over the dinner, I confessed to Dr. Wright
[00:01:17.600 --> 00:01:21.320]   that the Chinese translation are written by me.
[00:01:22.760 --> 00:01:26.980]   So all the distortions and mistakes were on me.
[00:01:26.980 --> 00:01:32.600]   Accompanying our speaker on stage tonight
[00:01:32.600 --> 00:01:36.160]   is our Emeritus President, Dr. Stephen Lee.
[00:01:36.160 --> 00:01:41.960]   Dr. Lee shares the same enthusiasm as our speaker
[00:01:41.960 --> 00:01:45.340]   in helping Christians to reckon the Old Testament
[00:01:45.340 --> 00:01:49.760]   as an indismissible part of their faith.
[00:01:49.760 --> 00:01:52.440]   Some 20-odd years ago,
[00:01:52.440 --> 00:01:56.360]   I listened to one of his talks on the cassette tape.
[00:01:56.360 --> 00:01:59.520]   Do you know cassette tapes ever existed on this earth?
[00:01:59.520 --> 00:02:00.360]   No, okay.
[00:02:00.360 --> 00:02:04.840]   And the title of his talk is
[00:02:04.840 --> 00:02:09.080]   A Bible with Only the Upper but No Ground Floor.
[00:02:09.080 --> 00:02:12.440]   (speaking in foreign language)
[00:02:12.440 --> 00:02:15.200]   In which he explained that our Christian faith
[00:02:15.200 --> 00:02:19.600]   is grounded in both the Old and the New Testament.
[00:02:19.600 --> 00:02:24.560]   As for tonight, Drs. Wright and Dr. Lee
[00:02:24.560 --> 00:02:28.640]   will have a dialogue on this interesting topic,
[00:02:28.640 --> 00:02:31.560]   Old Testament and Christian hope.
[00:02:31.560 --> 00:02:35.400]   Dr. Wright will give his first lecture,
[00:02:35.400 --> 00:02:39.920]   will give the lecture first, a 25-minute speech,
[00:02:39.920 --> 00:02:44.720]   followed by Dr. Lee's response of about the same length.
[00:02:44.720 --> 00:02:48.080]   Then, they'll further exchange their views
[00:02:48.080 --> 00:02:50.520]   for another half an hour,
[00:02:50.520 --> 00:02:55.320]   and then the discussion will be open to the floor.
[00:02:55.320 --> 00:02:58.640]   So for the time being, you may ask our ushers
[00:02:58.640 --> 00:03:02.080]   for a piece of paper or a piece of note
[00:03:02.080 --> 00:03:04.280]   to write down your questions or thoughts.
[00:03:04.280 --> 00:03:10.120]   And without further ado, let's welcome Dr. Wright.
[00:03:10.120 --> 00:03:13.480]   (audience applauding)
[00:03:14.480 --> 00:03:19.320]   - Thank you so much, Simon, Dr. Chung, and welcome again.
[00:03:19.320 --> 00:03:22.200]   And if you have been with me all through these four,
[00:03:22.200 --> 00:03:23.680]   well done.
[00:03:23.680 --> 00:03:26.320]   It's kind of a marathon for all of us,
