
[00:00:00.000 --> 00:00:06.640]  我們來到第三個分享
[00:00:06.640 --> 00:00:08.840]  第三個分享就是黃國偉博士
[00:00:08.840 --> 00:00:17.760]  我知道他這段時間都密集地思考土地神學的問題
[00:00:17.760 --> 00:00:21.280]  所以在121裏面我們請了他來思考
[00:00:21.280 --> 00:00:26.480]  我知道他遲些在忠臣裏面也會繼續和我們思考
[00:00:26.480 --> 00:00:30.960]  特別是我們一班基督徒去關心這個課題
[00:00:30.960 --> 00:00:36.000]  所以我覺得這個神學的反省是特別重要的
[00:00:36.000 --> 00:00:38.840]  我希望待會你聽的時候
[00:00:38.840 --> 00:00:44.400]  也帶給你一些信仰的元素和看東西的角度
[00:00:44.400 --> 00:00:46.720]  我想現在將時間交給國偉了
[00:00:46.720 --> 00:00:50.040]  謝謝偉蓮
[00:00:50.040 --> 00:00:51.640]  叫我Bernard也可以
[00:00:51.640 --> 00:00:53.320]  同學也這樣叫我
[00:00:55.320 --> 00:01:02.160]  我負責做一個土地神學的想像
[00:01:02.160 --> 00:01:04.280]  神學聽起來是什麼呢?
[00:01:04.280 --> 00:01:05.800]  其實神學也是講故事
[00:01:05.800 --> 00:01:08.560]  因為耶穌講他的神學也是透過很多故事
[00:01:08.560 --> 00:01:11.400]  剛才我們聽了兩位自己的親身故事
[00:01:11.400 --> 00:01:15.080]  我今天的責任是講聖經
[00:01:15.080 --> 00:01:17.760]  究竟如何去講土地的故事
[00:01:17.760 --> 00:01:18.960]  從幾個角度
[00:01:18.960 --> 00:01:21.000]  從創造的記載
[00:01:21.000 --> 00:01:22.160]  舊約、新約
[00:01:22.160 --> 00:01:24.880]  耶穌的年代和教會
[00:01:24.880 --> 00:01:26.400]  一個連串的故事
[00:01:26.400 --> 00:01:28.360]  究竟土地的課題是怎樣呢?
[00:01:28.360 --> 00:01:29.840]  在教會裡面很少聽到
[00:01:29.840 --> 00:01:32.440]  因為教會裡面我們通常覺得
[00:01:32.440 --> 00:01:34.040]  整本聖經是關於人
[00:01:34.040 --> 00:01:35.240]  關於上帝
[00:01:35.240 --> 00:01:36.960]  土地好像沒有什麼角色
[00:01:36.960 --> 00:01:38.520]  但我們認真去看
[00:01:38.520 --> 00:01:41.960]  其實不是這樣的現象
[00:01:41.960 --> 00:01:45.960]  我們一打開聖經看創世紀的時候
[00:01:45.960 --> 00:01:47.720]  一張九折地就出現了
[00:01:47.720 --> 00:01:49.520]  即是上帝創造地
[00:01:49.520 --> 00:01:50.720]  有趣的地方
[00:01:50.720 --> 00:01:52.280]  這裡其實是告訴我們
[00:01:52.280 --> 00:01:54.880]  有地才有人
[00:01:54.880 --> 00:01:58.360]  大家覺得沒問題
[00:01:58.360 --> 00:02:00.920]  不過我們今天的態度
[00:02:00.920 --> 00:02:02.520]  其實不覺得是這樣
[00:02:02.520 --> 00:02:06.600]  我們不覺得要依靠土地去生活
[00:02:06.600 --> 00:02:08.400]  剛才耀光分享
[00:02:08.400 --> 00:02:09.760]  他下去就知道了
[00:02:09.760 --> 00:02:11.880]  不過對我們一般城市人來說
[00:02:11.880 --> 00:02:14.080]  我們有多可接觸地呢?
[00:02:14.080 --> 00:02:17.200]  我們經常覺得地就是我們可以買賣
[00:02:17.200 --> 00:02:18.360]  我們可以操控
[00:02:18.360 --> 00:02:21.000]  但聖經一開始已經跟我們說
[00:02:21.000 --> 00:02:24.840]  人一定要靠地才能夠生存
[00:02:24.840 --> 00:02:27.000]  有地才有人
[00:02:27.000 --> 00:02:29.360]  但地可以沒有人
[00:02:29.360 --> 00:02:30.320]  都在這裡
[00:02:30.320 --> 00:02:32.840]  其實倚靠是倒轉的
[00:02:32.840 --> 00:02:36.480]  我們要靠地才能夠去生活
[00:02:36.480 --> 00:02:37.520]  才能夠生存
[00:02:37.520 --> 00:02:39.360]  第二,接下來
[00:02:39.360 --> 00:02:40.720]  OK,做人了
[00:02:40.720 --> 00:02:42.920]  創世紀裡面強調
[00:02:42.920 --> 00:02:46.680]  用地上的塵土去做人
[00:02:46.680 --> 00:02:49.120]  第三章再講一次
[00:02:49.120 --> 00:02:51.720]  上帝跟亞當說的是塵土
[00:02:51.720 --> 00:02:53.280]  你仍然歸於塵土
[00:02:53.280 --> 00:02:54.960]  本質上是塵土
[00:02:54.960 --> 00:02:57.120]  在希伯來文裡面
[00:02:57.120 --> 00:03:00.600]  地就是adamai
[00:03:00.600 --> 00:03:02.400]  人呢?是亞當
[00:03:02.400 --> 00:03:06.840]  其實是反映一種人的本質
[00:03:06.840 --> 00:03:09.520]  跟地是相當之近的
[00:03:09.520 --> 00:03:11.040]  我們不要覺得
[00:03:11.040 --> 00:03:13.640]  我們跟地不同
[00:03:13.640 --> 00:03:14.640]  你看旁邊那個
[00:03:14.640 --> 00:03:16.200]  其實是泥土
