
[00:00:00.000 --> 00:00:11.000]  今天很感謝信仰及公共價值研究中心
[00:00:11.000 --> 00:00:13.000]  有很好的安排
[00:00:13.000 --> 00:00:15.000]  由上天到地
[00:00:15.000 --> 00:00:17.000]  今天下午應該要到地
[00:00:17.000 --> 00:00:21.000]  今天會開始講目的問題
[00:00:21.000 --> 00:00:24.000]  我覺得這個設計相當有意思
[00:00:24.000 --> 00:00:25.000]  Danny不在嗎?
[00:00:25.000 --> 00:00:28.000]  在啊,謝謝你
[00:00:28.000 --> 00:00:30.000]  很特別的安排
[00:00:30.000 --> 00:00:34.000]  今天不需要多說
[00:00:34.000 --> 00:00:36.000]  我想問我們當中有多少是目者?
[00:00:36.000 --> 00:00:41.000]  有多少將來是目者?
[00:00:41.000 --> 00:00:46.000]  有多少是祭司?
[00:00:46.000 --> 00:00:54.000]  究竟信徒和祭司是否每個都是祭司?
[00:00:54.000 --> 00:01:00.000]  今天是萬常人教育講座第四講
[00:01:00.000 --> 00:01:04.000]  我昨晚突然找到一本書
[00:01:04.000 --> 00:01:07.000]  就是萬常人牧師的紀念集
[00:01:07.000 --> 00:01:13.000]  當年萬牧師離世的時候
[00:01:13.000 --> 00:01:16.000]  他在1991年7月1日安息主懷
[00:01:16.000 --> 00:01:20.000]  我看了裡面的一篇文章
[00:01:20.000 --> 00:01:22.000]  其中一段我想讀給大家聽
[00:01:22.000 --> 00:01:25.000]  讓我們重溫萬常人牧師的生命
[00:01:25.000 --> 00:01:28.000]  他回來終神有這樣的寫法
[00:01:28.000 --> 00:01:30.000]  他說在未來的日子
[00:01:30.000 --> 00:01:35.000]  我的抱負就是靠著主家的力量
[00:01:35.000 --> 00:01:39.000]  努力為中國教會訓練教牧工人
[00:01:39.000 --> 00:01:43.000]  在這時代中成為蒙神喜悅無愧的工人
[00:01:43.000 --> 00:01:47.000]  按照正義分解真理的道
[00:01:47.000 --> 00:01:51.000]  我觀察到不論在香港或北美的華人教會
[00:01:51.000 --> 00:01:57.000]  我們作傳道人的在港道上還要下很大的功夫
[00:01:57.000 --> 00:02:01.000]  今天的工人若不在港台及生活中
[00:02:01.000 --> 00:02:04.000]  忠心的教導及實踐神的話
[00:02:04.000 --> 00:02:10.000]  今天的教會就不能站穩前進
[00:02:10.000 --> 00:02:15.000]  其次我也盼望能藉著延伸課程
[00:02:15.000 --> 00:02:18.000]  推動及訓練評訓徒領袖
[00:02:18.000 --> 00:02:21.000]  在教會有效地參與侍奉
[00:02:21.000 --> 00:02:23.000]  從而建立基督的身體
[00:02:23.000 --> 00:02:25.000]  使萬民作主的門徒
[00:02:25.000 --> 00:02:27.000]  完成他的使命
[00:02:27.000 --> 00:02:30.000]  這是萬牧師回來香港時
[00:02:30.000 --> 00:02:33.000]  他自己分享信中的一段說話
[00:02:33.000 --> 00:02:35.000]  我相信對萬牧師來說
[00:02:35.000 --> 00:02:39.000]  他是很忠於他自己在牧職的呼召
[00:02:39.000 --> 00:02:42.000]  今天的題目是牧職何在
[00:02:42.000 --> 00:02:46.000]  信徒佳濟師與牧職的權柄
[00:02:46.000 --> 00:02:51.000]  分享的講員是我的師兄朱光華牧師
[00:02:51.000 --> 00:02:54.000]  他在1992年已經畢業
[00:02:54.000 --> 00:02:55.000]  比我早一年
[00:02:55.000 --> 00:02:57.000]  所以他是我師兄
[00:02:57.000 --> 00:02:59.000]  今天他會先分享這個課題
[00:02:59.000 --> 00:03:03.000]  然後我的上師李色清博士會回應
[00:03:03.000 --> 00:03:06.000]  今天我純粹來做主持
[00:03:06.000 --> 00:03:08.000]  現在交時間給朱牧師
[00:03:12.000 --> 00:03:17.000]  我想在這次萬聖人教務學講座
[00:03:17.000 --> 00:03:19.000]  四位講者之中
[00:03:19.000 --> 00:03:22.000]  我是唯一一位
[00:03:22.000 --> 00:03:26.000]  曾經受教於萬牧師的門下
[00:03:26.000 --> 00:03:31.000]  28年前我曾經有機會
[00:03:31.000 --> 00:03:33.000]  在萬牧師的課堂受教
[00:03:33.000 --> 00:03:36.000]  也有幾次在他的辦公室裡
[00:03:36.000 --> 00:03:39.000]  聽他的分享
[00:03:39.000 --> 00:03:42.000]  為我代禱 為我祝福
[00:03:42.000 --> 00:03:45.000]  我覺得萬牧師是一個很有熱誠
[00:03:45.000 --> 00:03:46.000]  教學熱誠
[00:03:46.000 --> 00:03:49.000]  還有一個很牧者心腸的一位牧師
[00:03:49.000 --> 00:03:53.000]  其實是萬牧師鼓勵我
