
[00:00:00.000 --> 00:00:05.000]  歡迎大家再次來到「亦有嘢學」延伸在線
[00:00:05.000 --> 00:00:08.000]  五月份的主日為課堂打頭陣的
[00:00:08.000 --> 00:00:14.000]  是忠臣實踐科的訪問教授 莫陳榮恩博士
[00:00:14.000 --> 00:00:18.000]  榮恩姐是一位宣教學的實踐型老師
[00:00:18.000 --> 00:00:20.000]  在忠臣侍奉這二十年
[00:00:20.000 --> 00:00:25.000]  她一直致力於推動和實踐跨文化宣教
[00:00:25.000 --> 00:00:27.000]  以及城市宣教
[00:00:27.000 --> 00:00:30.000]  榮恩姐今日教的課題是
[00:00:30.000 --> 00:00:36.000]  「貼地同行 破舊立新 近代中國教會的社會服事」
[00:00:36.000 --> 00:00:39.000]  求主使用榮恩姐的教導
[00:00:39.000 --> 00:00:42.000]  讓我們對近代中國教會的社會服事
[00:00:42.000 --> 00:00:47.000]  有更多的了解並且從中得到鼓勵
[00:00:47.000 --> 00:00:49.000]  各位弟兄姊妹你好
[00:00:49.000 --> 00:00:54.000]  很開心能夠在網上的地方和大陸交流
[00:00:54.000 --> 00:00:57.000]  一個對我來說很重要的題目
[00:00:57.000 --> 00:01:01.000]  就是中國教會的社會服事的題目
[00:01:01.000 --> 00:01:06.000]  我今日的題目叫做「貼地同行 破舊立新」
[00:01:06.000 --> 00:01:10.000]  是講到近代中國教會的社會服事
[00:01:10.000 --> 00:01:13.000]  開始之前我想和大家一起祈禱
[00:01:13.000 --> 00:01:16.000]  天父多謝你給我們機會在疫情的時刻
[00:01:16.000 --> 00:01:20.000]  仍然繼續有機會一起去研讀
[00:01:20.000 --> 00:01:26.000]  一起去看我們前人所做的所有事情
[00:01:26.000 --> 00:01:28.000]  以及檢討我們今日所做的
[00:01:28.000 --> 00:01:30.000]  我求你也帶領我們
[00:01:30.000 --> 00:01:36.000]  求聖靈在這裡雖然是一個網絡的傳播
[00:01:36.000 --> 00:01:40.000]  但也知道聖靈在我們當中願你掌管
[00:01:40.000 --> 00:01:44.000]  願你名得榮耀 願你感動
[00:01:44.000 --> 00:01:47.000]  奉主的宿命祈禱 阿們
[00:01:47.000 --> 00:01:50.000]  很開心和大家討論這個題目
[00:01:50.000 --> 00:01:52.000]  為什麼會講這個題目呢
[00:01:52.000 --> 00:01:55.000]  為什麼會講教會的社會服事呢
[00:01:55.000 --> 00:01:58.000]  就是在過去的日子當中
[00:01:58.000 --> 00:02:04.000]  當我在教宣教學 或是教會使命的時候
[00:02:04.000 --> 00:02:10.000]  近年來我經常講這個整全使命的課題
[00:02:10.000 --> 00:02:12.000]  其實整全使命這個課題
[00:02:12.000 --> 00:02:14.000]  在最近半個世紀開始有人講
[00:02:14.000 --> 00:02:16.000]  現在越講越廣泛
[00:02:16.000 --> 00:02:20.000]  我想特別講講整全使命是什麼東西
[00:02:20.000 --> 00:02:23.000]  我就用最簡單的方法去形容
[00:02:23.000 --> 00:02:25.000]  我很喜歡Andrew Wals
[00:02:25.000 --> 00:02:29.000]  Andrew Wals是現今的宣教歷史學者
[00:02:29.000 --> 00:02:31.000]  老人家九十多歲
[00:02:31.000 --> 00:02:37.000]  仍然繼續在大學裡講宣教的歷史
[00:02:37.000 --> 00:02:39.000]  他用一個很簡單的方法
[00:02:39.000 --> 00:02:42.000]  一本書叫做《21世紀的宣教》
[00:02:42.000 --> 00:02:44.000]  暫時沒有中文翻譯
[00:02:44.000 --> 00:02:46.000]  他講到全球的使命
[00:02:46.000 --> 00:02:49.000]  教會的使命有五個標誌
[00:02:49.000 --> 00:02:51.000]  他五個標誌
[00:02:51.000 --> 00:02:53.000]  我很簡單地講
[00:02:53.000 --> 00:02:58.000]  宣講福音 培育門徒 愛心服事
[00:02:58.000 --> 00:03:01.000]  社會轉化和保育地球
[00:03:01.000 --> 00:03:03.000]  我用更簡單的方法去看
[00:03:03.000 --> 00:03:06.000]  宣講門訓 服事改革和環保
[00:03:06.000 --> 00:03:09.000]  如果這些全部包在一起
[00:03:09.000 --> 00:03:12.000]  就是我所講的整全使命
[00:03:12.000 --> 00:03:16.000]  教會的使命是很多元化的
[00:03:16.000 --> 00:03:20.000]  我今次想講什麼呢
[00:03:20.000 --> 00:03:23.000]  我希望能夠從歷史
[00:03:23.000 --> 00:03:24.000]  看近代中國教會
[00:03:24.000 --> 00:03:27.000]  如何實踐教會在社會上的使命
[00:03:27.000 --> 00:03:29.000]  我們說名古珠金
[00:03:29.000 --> 00:03:32.000]  讓我們明白福音的社會意義
[00:03:32.000 --> 00:03:36.000]  另一方面我們從前人的過失和成功
[00:03:36.000 --> 00:03:37.000]  兩方面都有
[00:03:37.000 --> 00:03:38.000]  獲取教訓
[00:03:38.000 --> 00:03:41.000]  懂得怎樣衡量我們目前的方向
[00:03:41.000 --> 00:03:45.000]  我所說的近代中國教會是指什麼呢
[00:03:45.000 --> 00:03:49.000]  我是指19世紀初至20世紀中的教會
[00:03:49.000 --> 00:03:53.000]  特別是19世紀中至20世紀中
[00:03:53.000 --> 00:03:55.000]  那一百年的時間
[00:03:55.000 --> 00:03:57.000]  這裡有個圖畫
[00:03:57.000 --> 00:04:01.000]  中間是以前教會的圖畫
[00:04:01.000 --> 00:04:02.000]  一個相片
[00:04:02.000 --> 00:04:05.000]  在19世紀中國教會的門口
[00:04:05.000 --> 00:04:07.000]  有一道對聯
[00:04:07.000 --> 00:04:11.000]  一邊寫著送診醫藥
[00:04:11.000 --> 00:04:13.000]  一邊是宣傳聖道
[00:04:13.000 --> 00:04:16.000]  原來它是教堂
[00:04:16.000 --> 00:04:17.000]  又是診所
[00:04:17.000 --> 00:04:19.000]  下面的圖畫
[00:04:19.000 --> 00:04:24.000]  是教會的地方用來辦學
[00:04:24.000 --> 00:04:29.000]  特別留心看的是一些女孩子接受教育
[00:04:29.000 --> 00:04:34.000]  教會辦學將西方的教育引進中國
[00:04:34.000 --> 00:04:37.000]  如果你想一下
[00:04:37.000 --> 00:04:39.000]  我有什麼資料可以跟進
[00:04:39.000 --> 00:04:44.000]  其實這段時間的中國教會歷史是很多很多的
[00:04:44.000 --> 00:04:45.000]  我建議你
[00:04:45.000 --> 00:04:47.000]  如果你要選的話
[00:04:47.000 --> 00:04:50.000]  這本書我都相當不錯的
[00:04:50.000 --> 00:04:51.000]  是羅偉雄著的
[00:04:51.000 --> 00:04:56.000]  中國基督教新教史
[00:04:56.000 --> 00:04:58.000]  是在上海人民出版社出版
[00:04:58.000 --> 00:05:00.000]  2014年出版的
[00:05:00.000 --> 00:05:04.000]  這本書我都寫得相當不錯
[00:05:04.000 --> 00:05:06.000]  是羅偉雄教授寫的
[00:05:06.000 --> 00:05:11.000]  我今天主要不是一個很全面系統性的講述
[00:05:11.000 --> 00:05:13.000]  我真的這樣講都不相信
