
[00:00:00.000 --> 00:00:09.600]  (你會用三個形容詞來形容你過去兩年的心境?)
[00:00:09.600 --> 00:00:12.400]  同在、同苦、同苦
[00:00:12.400 --> 00:00:19.200]  很空虛、很不明白、很忐忑
[00:00:19.200 --> 00:00:23.600]  適應中很迷惘、很迷失
[00:00:23.600 --> 00:00:28.800]  傷心、失望
[00:00:28.800 --> 00:00:32.000]  掙扎、痛心、迷茫
[00:00:32.000 --> 00:00:36.000]  無力、要到何時
[00:00:36.000 --> 00:00:40.800]  經常會問上帝你去了哪裡
[00:00:40.800 --> 00:00:46.000]  可能見到社會很大的轉變
[00:00:46.000 --> 00:00:48.800]  我會問我的角色會是什麼
[00:00:48.800 --> 00:00:52.000]  (這兩年來,神讓我看到這一切)
[00:00:52.000 --> 00:00:54.800]  (究竟是想跟我說什麼?)
[00:00:54.800 --> 00:00:59.600]  我會想究竟香港是一個怎樣的城市、社會
[00:00:59.600 --> 00:01:01.600]  (在這個世代,作為基督徒)
[00:01:01.600 --> 00:01:06.800]  (應該怎樣很貼地去回應這個社會?)
[00:01:06.800 --> 00:01:12.000]  我會經常問基督徒怎樣在這個世代裡虔誠信仰
[00:01:12.000 --> 00:01:17.800]  怎樣跟自己模樣的青少年一起在這個社會裡同行
[00:01:17.800 --> 00:01:22.800]  就在想在神的國裡,究竟我是誰
[00:01:22.800 --> 00:01:26.800]  究竟上帝在這個世代怎麼參與,我怎樣跟隨他
[00:01:26.800 --> 00:01:31.600]  (還有怎樣在苦難裡也看到有那份盼望)
[00:01:31.600 --> 00:01:36.800]  掙扎就是究竟作為這個世代的基督徒
[00:01:36.800 --> 00:01:38.800]  究竟要做些什麼
[00:01:38.800 --> 00:01:41.800]  怎樣才能成為好的跟隨者
[00:01:42.800 --> 00:01:47.800]  《我愛你》 詞:陳家麗 曲:陳志遠
[00:02:05.800 --> 00:02:14.800]  看疾病與苦困 寄放中溫逆裡
[00:02:14.800 --> 00:02:22.800]  看憤怒和懼怕 在蔓延神理
[00:02:22.800 --> 00:02:29.800]  定會憐憫傾聽 贖你自問同心禱告
[00:02:29.800 --> 00:02:39.800]  願你的旨意成就在這裡榮耀得彰顯
[00:02:39.800 --> 00:02:48.800]  求你細聽 哭泣與那喊聲
[00:02:48.800 --> 00:02:56.800]  漆黑絕望的都市 渴望你憐憫難再
[00:02:56.800 --> 00:03:04.800]  榮與降下 苦幹的都市能轉化
[00:03:04.800 --> 00:03:11.800]  求主帶領從軟弱裡興起
[00:03:11.800 --> 00:03:17.800]  求主細聽 哭泣與那喊聲
[00:03:17.800 --> 00:03:26.800]  漆黑絕望的都市 渴望你憐憫難再
[00:03:26.800 --> 00:03:34.800]  榮與降下 苦幹的心在你因手足力變化
[00:03:34.800 --> 00:03:45.800]  憑公義可憐憫 全掩蔽的心答主重恩
[00:03:46.800 --> 00:03:57.800]  (音樂)
[00:03:57.800 --> 00:04:06.800]  啊 疾病與苦困 寄放中溫逆裡
[00:04:06.800 --> 00:04:13.800]  看憤怒和懼怕 在蔓延時
[00:04:13.800 --> 00:04:21.800]  你定會憐憫傾聽 贖你自問同心禱告
[00:04:21.800 --> 00:04:31.800]  願你的旨意成就在這裡榮耀得彰顯
[00:04:33.800 --> 00:04:40.800]  求你細聽 哭泣與那喊聲
[00:04:40.800 --> 00:04:48.800]  漆黑絕望的都市 渴望你憐憫難再
