
[00:00:00.000 --> 00:00:02.800]  在日常生活中,我們碰到朋友
[00:00:02.800 --> 00:00:04.600]  第一句會問的就是
[00:00:04.600 --> 00:00:07.520]  「你最近忙些甚麼?」
[00:00:07.520 --> 00:00:10.080]  又或者他預計你會很忙
[00:00:10.080 --> 00:00:13.440]  「你會很忙的,其實是嗎?」
[00:00:13.440 --> 00:00:15.720]  我試過告訴別人
[00:00:15.720 --> 00:00:18.960]  「其實我也不是太忙」
[00:00:18.960 --> 00:00:20.440]  「我也可以…」
[00:00:20.440 --> 00:00:22.760]  「OK的」
[00:00:22.760 --> 00:00:26.960]  他們會有一種很愕然的反應
[00:00:26.960 --> 00:00:29.160]  其實我們看忙碌
[00:00:29.680 --> 00:00:36.120]  現在很多時候是作為自己身份的象徵
[00:00:36.120 --> 00:00:40.440]  忙好像是有人找你
[00:00:40.440 --> 00:00:42.000]  你有價值
[00:00:42.000 --> 00:00:44.520]  你有用
[00:00:44.520 --> 00:00:46.880]  其實忙這東西
[00:00:46.880 --> 00:00:50.480]  有時也會成為我們一種防衛機制
[00:00:50.480 --> 00:00:53.160]  當有人想找你做一些事
[00:00:53.160 --> 00:00:57.840]  其實你有原因不想去做
[00:00:57.840 --> 00:01:01.560]  最容易解釋或推人的就是
[00:01:01.560 --> 00:01:04.360]  「你不見我現在很忙嗎?」
[00:01:04.360 --> 00:01:06.200]  「最近真的不行」
[00:01:06.200 --> 00:01:08.200]  你就逃避了一個
[00:01:08.200 --> 00:01:09.800]  認真去想想
[00:01:09.800 --> 00:01:12.800]  那件事是否你應該做或不應該做
[00:01:12.800 --> 00:01:16.160]  所以有一位屬靈的大師
[00:01:16.160 --> 00:01:17.640]  Eugene Peterson
[00:01:17.640 --> 00:01:22.640]  在給目者的提示中
[00:01:22.640 --> 00:01:23.720]  我覺得很有意思
[00:01:23.720 --> 00:01:24.440]  他說
[00:01:24.440 --> 00:01:27.880]  「忙」其實是因為「懶」
[00:01:27.880 --> 00:01:29.880]  其實是甚麼意思呢?
[00:01:29.880 --> 00:01:34.720]  他說很多時候我們沒有去做決定
[00:01:34.720 --> 00:01:37.440]  我們懶
[00:01:37.440 --> 00:01:43.320]  所以我們的日程就被其他人佔據了
[00:01:43.320 --> 00:01:44.960]  他們有甚麼要求
[00:01:44.960 --> 00:01:48.280]  我們就照單傳收
[00:01:48.280 --> 00:01:50.280]  不用思考
[00:01:50.280 --> 00:01:53.880]  其實反省回耶穌基督在世界上
[00:01:53.880 --> 00:01:55.520]  祂所做的事
[00:01:55.520 --> 00:01:58.800]  都給我們很多啟示
[00:01:58.800 --> 00:02:00.960]  譬如祂出來傳道時很忙
[00:02:00.960 --> 00:02:02.960]  很多人找祂趕鬼、醫病
[00:02:02.960 --> 00:02:04.960]  但祂也會抽到時間
[00:02:04.960 --> 00:02:09.480]  早上到曠野裡祈禱
[00:02:09.480 --> 00:02:10.760]  祈禱之後
[00:02:10.760 --> 00:02:12.280]  雖然很多人擁戴祂
[00:02:12.280 --> 00:02:13.160]  想祂留下
[00:02:13.160 --> 00:02:15.960]  祂說我要去別處
[00:02:15.960 --> 00:02:17.960]  因為鄰近鄉村
[00:02:17.960 --> 00:02:19.960]  我也好在那裡傳道
[00:02:19.960 --> 00:02:23.760]  祂知道自己的目標
[00:02:23.760 --> 00:02:26.840]  所以我們說「忙」
[00:02:26.840 --> 00:02:29.560]  因為很多時候我們不懂得說「NO」
[00:02:29.560 --> 00:02:31.560]  其實反過來說
[00:02:31.560 --> 00:02:33.560]  如果我們找到一件事
[00:02:33.560 --> 00:02:36.760]  可以說「YES」的話
[00:02:36.760 --> 00:02:39.960]  我們專心做好那些事情的時候
[00:02:39.960 --> 00:02:43.960]  其他的雜亂
[00:02:43.960 --> 00:02:45.960]  或不是真的需要你做的事
[00:02:45.960 --> 00:02:47.960]  你就很容易說「NO」
[00:02:48.160 --> 00:02:50.160]  耶穌的生平裡面
[00:02:50.160 --> 00:02:53.160]  在約翰福音17章4節
[00:02:53.160 --> 00:02:55.160]  我很感動
[00:02:55.160 --> 00:02:57.160]  祂說:我在地上已經榮耀你
[00:02:57.160 --> 00:02:59.160]  你所託付我的事
[00:02:59.160 --> 00:03:01.160]  我已成全了
[00:03:01.160 --> 00:03:03.160]  其實天賦給我們每個人的時間
[00:03:03.160 --> 00:03:05.160]  都是這麼多
[00:03:05.160 --> 00:03:07.160]  我們應該做的事情
[00:03:07.160 --> 00:03:10.160]  其實是有足夠時間去完成的
[00:03:10.160 --> 00:03:12.160]  很在乎我們
[00:03:12.160 --> 00:03:14.160]  說「YES」
[00:03:14.160 --> 00:03:17.160]  向什麼說「NO」
[00:03:17.160 --> 00:03:19.160]  希望大家
[00:03:19.160 --> 00:03:22.160]  將來有人見到你的時候
[00:03:22.160 --> 00:03:24.160]  你也可以問他「忙不忙」
[00:03:24.160 --> 00:03:26.160]  他會說「我都OK」
[00:03:26.160 --> 00:03:28.160]  「我知道自己在做什麼」
[00:03:28.160 --> 00:03:30.160]  那就好了
[00:03:30.160 --> 00:03:32.160]  (字幕製作:貝爾)
[00:03:32.160 --> 00:03:34.160]  (字幕製作:貝爾)
[00:03:34.160 --> 00:03:37.160]  (字幕由 Amara.org 社群提供)
[00:03:37.160 --> 00:03:40.160]  (字幕由 Amara.org 社群提供)

