
[00:00:00.000 --> 00:00:02.000]  (字幕:張志銘)
[00:00:02.000 --> 00:00:07.840]  好,不過最後一場跟你說一下歷史
[00:00:07.840 --> 00:00:10.320]  希望這個不是一個Anti-Climax
[00:00:10.320 --> 00:00:11.080]  我是說歷史
[00:00:11.080 --> 00:00:12.440]  歷史是很有趣的
[00:00:12.440 --> 00:00:13.480]  我教歷史
[00:00:13.480 --> 00:00:15.800]  就是歷史跟小說差不多而已
[00:00:15.800 --> 00:00:18.520]  那麼最後這一場說的東西說什麼呢?
[00:00:18.520 --> 00:00:21.240]  某程度上就是補充一下
[00:00:21.240 --> 00:00:25.400]  Daniel 老師、李耀坤老師今早說的一些背景
[00:00:25.400 --> 00:00:31.880]  然後又回應上午最後那一場Vance老師說的題目
[00:00:31.880 --> 00:00:33.200]  有些前後呼應
[00:00:33.200 --> 00:00:35.760]  所以由歷史說到愛
[00:00:35.760 --> 00:00:39.920]  先說李耀坤老師的部分
[00:00:39.920 --> 00:00:41.120]  說一下改教
[00:00:41.120 --> 00:00:42.840]  為什麼改教呢?
[00:00:42.840 --> 00:00:49.040]  因為昨天發生的事情跟今天發生的事情其實很多東西很相似的
[00:00:49.040 --> 00:00:51.240]  什麼叫改教?
[00:00:51.240 --> 00:00:57.240]  簡而言之,改教就是十六世紀的一個運動
[00:00:57.240 --> 00:01:00.520]  改變了整個歐洲的歷史
[00:01:00.520 --> 00:01:05.000]  我們今天無論你是五旬節的聖潔會
[00:01:05.000 --> 00:01:06.800]  無論你是宣道會
[00:01:06.800 --> 00:01:08.480]  很多所謂的Protestant
[00:01:08.480 --> 00:01:14.200]  都是十六世紀改教運動所帶來的一些果子
[00:01:14.200 --> 00:01:17.920]  那麼這個運動我想告訴你
[00:01:17.920 --> 00:01:21.160]  其實某程度上是一個意外
[00:01:21.160 --> 00:01:23.400]  我們稍後會說馬丁路德的故事
[00:01:23.400 --> 00:01:28.600]  馬丁路德不是他三歲的時候決定要改變這個社會
[00:01:28.600 --> 00:01:29.520]  不是的
[00:01:29.520 --> 00:01:32.560]  甚至他開始改教運動的時候
[00:01:32.560 --> 00:01:36.880]  也不是刻意去改變整個歐洲的
[00:01:36.880 --> 00:01:38.320]  他是信服神
[00:01:38.320 --> 00:01:42.000]  因為他的信服神改變了整個歐洲的歷史
[00:01:42.000 --> 00:01:44.160]  不過說回一點點背景
[00:01:44.160 --> 00:01:45.640]  改教運動的時候
[00:01:45.640 --> 00:01:49.120]  歐洲社會的情況是怎麼樣呢?
[00:01:49.120 --> 00:01:50.720]  有些像今天
[00:01:50.720 --> 00:01:52.000]  像的地方在哪裡呢?
[00:01:52.000 --> 00:01:52.560]  就是說
[00:01:52.560 --> 00:01:55.080]  改教社會就是改了中世紀的社會
[00:01:55.080 --> 00:01:56.720]  那麼中世紀的社會是怎麼樣呢?
[00:01:56.720 --> 00:01:58.440]  基本上中世紀的社會
