
[00:00:00.000 --> 00:00:04.340]  這首詩是由《傳道書》的第一章開始寫的
[00:00:04.340 --> 00:00:08.340]  這首詩是由《傳道書》的第二章開始寫的
[00:00:08.340 --> 00:00:11.340]  《傳道書》的第二章開始寫的
[00:00:11.340 --> 00:00:14.340]  《傳道書》的第三章開始寫的
[00:00:14.340 --> 00:00:17.340]  《傳道書》的第四章開始寫的
[00:00:17.340 --> 00:00:20.340]  《傳道書》的第五章開始寫的
[00:00:20.340 --> 00:00:23.340]  《傳道書》的第六章開始寫的
[00:00:23.340 --> 00:00:26.340]  《傳道書》的第七章開始寫的
[00:00:26.340 --> 00:00:29.340]  《傳道書》的第八章開始寫的
[00:00:29.340 --> 00:00:34.340]  惡人所遭遇的反而照義人所做的
[00:00:34.340 --> 00:00:38.340]  我說這也是虛空
[00:00:38.340 --> 00:00:40.340]  什麼是虛空?
[00:00:40.340 --> 00:00:43.340]  對於傳道者來說,在日光之下
[00:00:43.340 --> 00:00:48.340]  惡人有善暴,善人有惡暴
[00:00:48.340 --> 00:00:51.340]  這是虛空
[00:00:51.340 --> 00:00:57.340]  但傳道者如何教導我們回應這件事情呢?
[00:00:57.340 --> 00:01:02.340]  「我就稱讚快樂,原來人在日光之下
[00:01:02.340 --> 00:01:07.340]  最大的福氣莫過於吃喝快樂
[00:01:07.340 --> 00:01:11.340]  他在日光之下,神賜他一生的日子
[00:01:11.340 --> 00:01:15.340]  要從牢籠中享受所得」
[00:01:15.340 --> 00:01:20.340]  吃喝快樂,傳道者給我們的一個提示
[00:01:20.340 --> 00:01:26.340]  這是一個飽歷世情,看透人生的智者
[00:01:26.340 --> 00:01:28.340]  他給我們一個教導
[00:01:28.340 --> 00:01:31.340]  當然要吃喝快樂,快要死了
[00:01:31.340 --> 00:01:35.340]  當然要吃多點,開心多點
[00:01:35.340 --> 00:01:39.340]  對於你們這一群初出茅廬
[00:01:39.340 --> 00:01:42.340]  滿腔熱誠要服侍上帝的人
[00:01:42.340 --> 00:01:46.340]  有時候看到一些社會不公義的事情
[00:01:46.340 --> 00:01:48.340]  好人沒有好報
[00:01:48.340 --> 00:01:52.340]  惡人偏偏就得到好人所要的
[00:01:52.340 --> 00:01:56.340]  有時候這些事情是近也近不下
[00:01:56.340 --> 00:02:00.340]  究竟在聖經裡還有沒有另一些人
[00:02:00.340 --> 00:02:03.340]  他們的經驗可以讓我們借鏡
[00:02:03.340 --> 00:02:07.340]  當我們面對善有惡報
[00:02:07.340 --> 00:02:11.340]  惡有善報這些虛空的情況的時候
[00:02:11.340 --> 00:02:15.340]  我們可以如何去面對呢?
[00:02:15.340 --> 00:02:20.340]  在詩篇裡有一組詩叫做「智慧詩」
[00:02:20.340 --> 00:02:24.340]  有些人說這些詩是智慧詩
[00:02:24.340 --> 00:02:26.340]  有些人說那些詩是智慧詩
[00:02:26.340 --> 00:02:28.340]  因為這個緣故造就了空間
[00:02:28.340 --> 00:02:31.340]  所以很多人都可以寫什麼是智慧詩
[00:02:31.340 --> 00:02:33.340]  包括我在內
[00:02:33.340 --> 00:02:34.340]  正因為這個緣故
[00:02:34.340 --> 00:02:36.340]  今天我想和你們看一篇
[00:02:36.340 --> 00:02:39.340]  很受智慧文學影響的詩篇
[00:02:39.340 --> 00:02:42.340]  這篇是詩篇73篇
[00:02:42.340 --> 00:02:44.340]  我是屬於那些
[00:02:44.340 --> 00:02:46.340]  當去休息的時候
[00:02:46.340 --> 00:02:49.340]  我就要排隊去廁所的那一個
