
[00:00:00.000 --> 00:00:07.000]  我相信在座的各位都坐了一段時間
[00:00:07.000 --> 00:00:15.000]  聽Dr. Moo講一篇很神學、很理論的講座
[00:00:15.000 --> 00:00:20.000]  這段時間大家起起身,有些伸展
[00:00:20.000 --> 00:00:25.000]  我們去享受上帝的創造,就是我們的身體
[00:00:25.000 --> 00:00:29.000]  所以我們都可以起起身
[00:00:29.000 --> 00:00:31.000]  請大家可以坐下
[00:00:31.000 --> 00:00:49.000]  我剛才大概一點半鐘由九龍塘站走過來的時候
[00:00:49.000 --> 00:00:59.000]  都感受到原來在十一之前,現在過了中秋
[00:00:59.000 --> 00:01:04.000]  原來還是這麼熱的,在熾熱的,當然不是紅太陽
[00:01:04.000 --> 00:01:10.000]  熾熱的太陽下,我由九龍塘站走到中晨
[00:01:10.000 --> 00:01:15.000]  都覺得熱力很驚人
[00:01:15.000 --> 00:01:20.000]  所以在這段簡短的時間裡
[00:01:20.000 --> 00:01:25.000]  特別在現在社會的氛圍裡
[00:01:25.000 --> 00:01:30.000]  今天下午難得有這麼多的教母
[00:01:30.000 --> 00:01:36.000]  弟兄姊妹、同道一起來關心上帝的創造
[00:01:36.000 --> 00:01:38.000]  確實是一件好事
[00:01:38.000 --> 00:01:42.000]  所以我就按著Dr. Moo所分享的
[00:01:42.000 --> 00:01:45.000]  跟大家有一點點的回應
[00:01:45.000 --> 00:01:49.000]  Dr. Moo在他的講論裡有兩個重點
[00:01:49.000 --> 00:01:54.000]  第一個重點就是指到福音派的教會
[00:01:54.000 --> 00:01:58.000]  也不是福音派,教會很多時候忽略了
[00:01:58.000 --> 00:02:02.000]  我們真實的活在現有的地球裡
[00:02:02.000 --> 00:02:05.000]  特別我們華人教會,我相信大家都知道
[00:02:05.000 --> 00:02:11.000]  我們很多時候都是有一種諾斯底主義的熟悉的色彩
[00:02:11.000 --> 00:02:16.000]  我們是鄙視、不喜愛我們的世界
[00:02:16.000 --> 00:02:20.000]  所以如果愛世界就一定是錯的
[00:02:20.000 --> 00:02:26.000]  所以大家就會明白為什麼楊福音在所有華人的譯本裡
[00:02:26.000 --> 00:02:28.000]  特別是三章十六節
[00:02:28.000 --> 00:02:32.000]  一定是神愛世人,不可以是神愛世界
[00:02:32.000 --> 00:02:34.000]  大家明白了,是不是
[00:02:34.000 --> 00:02:38.000]  那裡的希臘文很清楚是神愛世界
[00:02:38.000 --> 00:02:41.000]  但是我們的神學或者翻譯者
[00:02:41.000 --> 00:02:46.000]  是受他很保守的神學思想的影響
[00:02:46.000 --> 00:02:48.000]  是不可以有世界的
[00:02:48.000 --> 00:02:50.000]  我們不可以愛世界的
[00:02:50.000 --> 00:02:52.000]  所以這個就是我們的問題
[00:02:52.000 --> 00:02:54.000]  我最近看了一本書
[00:02:54.000 --> 00:02:57.000]  這本書是講亞倫特的傳記
[00:02:57.000 --> 00:02:58.000]  是一本很厚的書
[00:02:58.000 --> 00:03:00.000]  這本書很吸引我
[00:03:00.000 --> 00:03:01.000]  就是它的書名
[00:03:01.000 --> 00:03:02.000]  它的書名是講什麼
[00:03:02.000 --> 00:03:05.000]  是愛這個世界
[00:03:05.000 --> 00:03:08.000]  For love of the world
[00:03:08.000 --> 00:03:10.000]  他不是一個基督徒
[00:03:10.000 --> 00:03:13.000]  他是一個思想家
[00:03:13.000 --> 00:03:16.000]  但他也說可以愛這個世界
[00:03:16.000 --> 00:03:19.000]  確實叫我們這群作為神的子民
[00:03:19.000 --> 00:03:21.000]  是有一點點慚愧
[00:03:21.000 --> 00:03:23.000]  或者很多的慚愧
[00:03:23.000 --> 00:03:25.000]  當然第二個忽略
[00:03:25.000 --> 00:03:28.000]  在Dr. Moo的講論裡告訴我們
[00:03:28.000 --> 00:03:32.000]  原來整傳福音和使命
[00:03:32.000 --> 00:03:34.000]  是必然是包括
[00:03:34.000 --> 00:03:36.000]  當我們說愛上帝的時候
[00:03:36.000 --> 00:03:40.000]  我們必然愛上帝所創造的世界
[00:03:40.000 --> 00:03:43.000]  就是我們現在所身處的這個地球
[00:03:43.000 --> 00:03:45.000]  今天很多時候
[00:03:45.000 --> 00:03:47.000]  環教會、香港教會
[00:03:47.000 --> 00:03:51.000]  都很受一種錯誤的中末論的影響
[00:03:51.000 --> 00:03:53.000]  於是我們強調
[00:03:53.000 --> 00:03:56.000]  這個世界不是我們的家
[00:03:56.000 --> 00:03:59.000]  我們最好就是一天
[00:03:59.000 --> 00:04:01.000]  我們每個人都是坐太空船羅亞號
[00:04:01.000 --> 00:04:05.000]  接我們去天堂裡
[00:04:05.000 --> 00:04:08.000]  但聖經或者是在Dr. Moo的講論裡
[00:04:08.000 --> 00:04:10.000]  說得很清楚
[00:04:10.000 --> 00:04:14.000]  我們不是救贖脫離這個受造的世界
[00:04:14.000 --> 00:04:16.000]  我們本身是成為夢救贖的
[00:04:16.000 --> 00:04:19.000]  這個受造世界的一部分
[00:04:19.000 --> 00:04:23.000]  所以不是將來整個地球毀滅
[00:04:23.000 --> 00:04:25.000]  這裡已經有很多的神學討論
[00:04:25.000 --> 00:04:27.000]  我就不詳細說
[00:04:27.000 --> 00:04:29.000]  當我有機會出席
[00:04:29.000 --> 00:04:31.000]  2010年
[00:04:31.000 --> 00:04:34.000]  在開普敦舉行第三屆的
[00:04:34.000 --> 00:04:37.000]  這個洛桑世界峰會議的時候
[00:04:37.000 --> 00:04:40.000]  後來就出了這個cap time commitment
[00:04:40.000 --> 00:04:43.000]  在裡面Chris White說得很清楚
[00:04:43.000 --> 00:04:45.000]  整團的使命
[00:04:45.000 --> 00:04:48.000]  就是指導上帝這個好消息
[00:04:48.000 --> 00:04:50.000]  是藉著十字架
[00:04:50.000 --> 00:04:52.000]  和復活的耶穌基督
[00:04:52.000 --> 00:04:56.000]  傳給我們個人、社會
[00:04:56.000 --> 00:05:00.000]  和這個受造之物的好消息
[00:05:00.000 --> 00:05:03.000]  是個人、是社會
[00:05:03.000 --> 00:05:07.000]  和包括這個受造的世界在裡面
[00:05:07.000 --> 00:05:09.000]  而這三方面都是因為罪
[00:05:09.000 --> 00:05:12.000]  帶來破碎和痛苦
[00:05:12.000 --> 00:05:16.000]  而這三方面都需要神的救贖的愛
[00:05:16.000 --> 00:05:18.000]  和使命在裡面
[00:05:18.000 --> 00:05:20.000]  於是這個就成為了神指紋
[00:05:20.000 --> 00:05:23.000]  使命的那個內容
[00:05:23.000 --> 00:05:25.000]  所以在cap time commitment裡面
[00:05:25.000 --> 00:05:29.000]  就說到我們要愛神創造的世界
[00:05:29.000 --> 00:05:31.000]  這裡我就不作太多的論述
[00:05:31.000 --> 00:05:34.000]  這些就因為如果再說
[00:05:34.000 --> 00:05:36.000]  就變成了很學術性
[00:05:36.000 --> 00:05:39.000]  回過頭來看香港教會的現實
[00:05:39.000 --> 00:05:41.000]  最新2019年
[00:05:41.000 --> 00:05:43.000]  教會的數據還沒出
[00:05:43.000 --> 00:05:46.000]  因為我們現在還是收緊那些回卷
[00:05:46.000 --> 00:05:49.000]  但很明顯可以看到環保
[00:05:49.000 --> 00:05:53.000]  是由2009年開始
[00:05:53.000 --> 00:05:56.000]  當時的關注是有13.3
[00:05:56.000 --> 00:05:58.000]  就是說在不同的回應裡面
[00:05:58.000 --> 00:06:00.000]  但去到2014年的時候
[00:06:00.000 --> 00:06:04.000]  你看到那個回應是6.1
[00:06:04.000 --> 00:06:07.000]  盼望經過這次香港會議
[00:06:07.000 --> 00:06:10.000]  和更多的教會關注之後
[00:06:10.000 --> 00:06:12.000]  在未來的日子裡面
[00:06:12.000 --> 00:06:16.000]  有關的這一方面是會提升
[00:06:16.000 --> 00:06:20.000]  當然我不會說是放在第一的優先次序裡面
[00:06:20.000 --> 00:06:22.000]  至少我們都應該學一下聖公會
[00:06:22.000 --> 00:06:25.000]  所以聖公會我是很讚賞
[00:06:25.000 --> 00:06:27.000]  聖公會在他們的使命宣言裡面
[00:06:27.000 --> 00:06:29.000]  至少排第五
[00:06:29.000 --> 00:06:32.000]  排第五也好
[00:06:32.000 --> 00:06:36.000]  排第五就是說他們除了宣講上帝國的好消息
[00:06:36.000 --> 00:06:38.000]  在第五裡面
[00:06:38.000 --> 00:06:42.000]  特別是強調是自力保護受造物的整全性
[00:06:42.000 --> 00:06:44.000]  保護地球的生命
[00:06:44.000 --> 00:06:46.000]  你說他有沒有做?
[00:06:46.000 --> 00:06:47.000]  另一件事
[00:06:47.000 --> 00:06:51.000]  但至少在聖公會的使命宣言裡面
[00:06:51.000 --> 00:06:53.000]  是有包括這一點
[00:06:53.000 --> 00:06:54.000]  請問在座
[00:06:54.000 --> 00:06:56.000]  在你的教會裡面
[00:06:56.000 --> 00:06:58.000]  在你的使命宣言裡面
[00:06:58.000 --> 00:07:01.000]  有沒有這一項在你六點
[00:07:01.000 --> 00:07:02.000]  七點
[00:07:02.000 --> 00:07:03.000]  八點
[00:07:03.000 --> 00:07:05.000]  十五點裡面的其中一點呢?
[00:07:05.000 --> 00:07:07.000]  這個我們就要去思想了
[00:07:07.000 --> 00:07:08.000]  所以今天很簡單
[00:07:08.000 --> 00:07:10.000]  在這十五分鐘的回應裡面
[00:07:10.000 --> 00:07:12.000]  我就嘗試用care這個字
[00:07:12.000 --> 00:07:14.000]  四個層面
[00:07:14.000 --> 00:07:15.000]  作出呼喚
[00:07:15.000 --> 00:07:17.000]  給我們的同工
[00:07:17.000 --> 00:07:19.000]  頂至每一同的思考
[00:07:19.000 --> 00:07:21.000]  第一個我們需要celebrate
[00:07:21.000 --> 00:07:23.000]  就正如剛才說完
[00:07:23.000 --> 00:07:24.000]  Dr. Moo說
[00:07:24.000 --> 00:07:26.000]  他引用Bloombergman所說
[00:07:26.000 --> 00:07:28.000]  安息的慶祝
[00:07:28.000 --> 00:07:32.000]  就是抵抗和另類選擇的行動
[00:07:32.000 --> 00:07:33.000]  是一個行動
[00:07:33.000 --> 00:07:35.000]  這個行動就表示
[00:07:35.000 --> 00:07:39.000]  resistance和另一個alternative
[00:07:39.000 --> 00:07:40.000]  所以第一樣我們需要的
[00:07:40.000 --> 00:07:43.000]  就好像一個在中世紀的
[00:07:43.000 --> 00:07:48.000]  一個修道的一位姊妹
[00:07:48.000 --> 00:07:49.000]  他所分享
[00:07:49.000 --> 00:07:50.000]  Hildegard他所說的
[00:07:50.000 --> 00:07:55.000]  所有創造都是一手向神讚美的思覺
[00:07:55.000 --> 00:07:56.000]  剛剛上個星期
[00:07:56.000 --> 00:07:59.000]  我們有機會有兩次的靜修營
