
[00:00:00.000 --> 00:00:04.000]  我們的Q&A是這樣的
[00:00:04.000 --> 00:00:08.000]  現在我們的同工就設置了咪高峰在中間
[00:00:08.000 --> 00:00:12.000]  如果我們當中的弟兄姊妹有問題
[00:00:12.000 --> 00:00:15.000]  我都邀請大家可以來到前面
[00:00:15.000 --> 00:00:17.000]  用咪高峰發問
[00:00:17.000 --> 00:00:22.000]  我們想爭取時間讓弟兄姊妹多點發問
[00:00:22.000 --> 00:00:25.000]  所以問題盡量簡短
[00:00:25.000 --> 00:00:27.000]  是發問不是發表
[00:00:27.000 --> 00:00:31.000]  一分鐘問一個問題
[00:00:31.000 --> 00:00:34.000]  我把時間交給大家
[00:00:34.000 --> 00:00:48.000]  可以用中文或英文發問
[00:00:48.000 --> 00:01:02.000]  (英文)
[00:01:02.000 --> 00:01:07.000]  (英文)
[00:01:07.000 --> 00:01:11.000]  (英文)
[00:01:11.000 --> 00:01:14.000]  我是在這間實學院教書的
[00:01:14.000 --> 00:01:20.000]  一個很簡單和實際的問題
[00:01:20.000 --> 00:01:25.000]  對很多人來說
[00:01:25.000 --> 00:01:28.000]  用一個很簡單的生活去生活
[00:01:28.000 --> 00:01:32.000]  是非常之難去做得到
[00:01:32.000 --> 00:01:40.000]  我的女兒也會和她的朋友去旅遊
[00:01:40.000 --> 00:01:46.000]  (英文)
[00:01:46.000 --> 00:01:51.000]  比如說香港人吃很多牛肉
[00:01:51.000 --> 00:01:53.000]  但如果要做一個素食者就很困難
[00:01:53.000 --> 00:01:58.000]  (英文)
[00:01:58.000 --> 00:02:04.000]  實際上怎樣去遊說人去環保一點呢
[00:02:04.000 --> 00:02:12.000]  (英文)
[00:02:12.000 --> 00:02:15.000]  其實我應該由其他人去就香港處境回應
[00:02:15.000 --> 00:02:22.000]  我發現在我自己和其他學生的生命中
[00:02:22.000 --> 00:02:31.000]  其實我們以為犧牲自己
[00:02:31.000 --> 00:02:36.000]  但其實我們重新拾回一些基督教的價值
[00:02:36.000 --> 00:02:39.000]  就是我們的快樂和喜樂是從哪裡來的
[00:02:39.000 --> 00:02:43.000]  其實一個更簡單的生活
[00:02:43.000 --> 00:02:47.000]  會更加令我們更加有喜樂
[00:02:47.000 --> 00:02:49.000]  也可能會吸引到其他人加入我們
[00:02:49.000 --> 00:02:52.000]  包括你女兒
[00:02:52.000 --> 00:03:02.000]  (英文)
[00:03:02.000 --> 00:03:05.000]  其實我用中文回應吧
[00:03:05.000 --> 00:03:08.000]  不用同工翻譯
[00:03:08.000 --> 00:03:14.000]  我拿起咪高峰其實沒有答案
[00:03:14.000 --> 00:03:21.000]  不過我們私立做扶貧
[00:03:21.000 --> 00:03:24.000]  我們發現其實是真的
[00:03:24.000 --> 00:03:29.000]  貧窮國家裡的人可能被迫
[00:03:29.000 --> 00:03:33.000]  但他們的生活遠遠比我們簡樸
[00:03:33.000 --> 00:03:36.000]  簡單過我們很多
[00:03:36.000 --> 00:03:41.000]  所以有時候我自己的禱告是很害怕的
[00:03:41.000 --> 00:03:43.000]  (英文)
[00:03:43.000 --> 00:03:47.000]  這樣祈禱也好
[00:03:47.000 --> 00:03:52.000]  但我想我們要一步一步學習
[00:03:52.000 --> 00:03:56.000]  我們從心底開始的時候
[00:03:56.000 --> 00:04:04.000]  我們可以做到一些具體的事情
[00:04:04.000 --> 00:04:06.000]  每個人可能都不一樣
[00:04:06.000 --> 00:04:14.000]  例如剛才Jonathan提到要截斷社交媒體和手機
[00:04:14.000 --> 00:04:19.000]  其實我聽過很多教會近幾年
[00:04:19.000 --> 00:04:22.000]  他們在青少年團體裡都會實踐
[00:04:22.000 --> 00:04:25.000]  例如一晚的retreat
[00:04:25.000 --> 00:04:30.000]  那一晚真的全部充公了
[00:04:30.000 --> 00:04:32.000]  充公之後
[00:04:32.000 --> 00:04:38.000]  原來第二天他們的回應是真的很好
[00:04:38.000 --> 00:04:48.000]  團友之間的交流是真的多了時間
[00:04:48.000 --> 00:04:51.000]  讓他們慢慢體會到
[00:04:51.000 --> 00:04:55.000]  我覺得教會是一個場地
[00:04:55.000 --> 00:04:59.000]  其實是值得開始去走
[00:04:59.000 --> 00:05:04.000]  教會我們怎樣可以去減排呢?
[00:05:04.000 --> 00:05:10.000]  怎樣可以學習在教會的運作裡去愛惜這個世界呢?
[00:05:10.000 --> 00:05:13.000]  有很多張力的,我明白的
[00:05:13.000 --> 00:05:18.000]  一方面我們不想弟兄姊妹崇拜的時候拿手機出來
[00:05:18.000 --> 00:05:21.000]  但另一方面如果我不印周刊
[00:05:21.000 --> 00:05:24.000]  我全部都做QR Code給他們看的時候
[00:05:24.000 --> 00:05:26.000]  他們又要拿手機出來
[00:05:26.000 --> 00:05:28.000]  很多這些問題
[00:05:28.000 --> 00:05:34.000]  但要靠教導讓弟兄姊妹去明白
[00:05:34.000 --> 00:05:38.000]  我覺得我們要一步一步去走
[00:05:38.000 --> 00:05:42.000]  但可以由教會開始
[00:05:42.000 --> 00:05:58.000]  (廣東話)
[00:05:58.000 --> 00:06:01.000]  今天聽到大家的回應
[00:06:01.000 --> 00:06:11.000]  教會如何去實踐關愛創造這件事
[00:06:11.000 --> 00:06:14.000]  但我感覺這個很重要
[00:06:14.000 --> 00:06:16.000]  提醒大家很重要
[00:06:16.000 --> 00:06:20.000]  在個人方面如何去做好工作
[00:06:20.000 --> 00:06:26.000]  但這似乎只是個人的面向
[00:06:26.000 --> 00:06:30.000]  在教會個人生活上的面向
[00:06:30.000 --> 00:06:35.000]  但更大的問題是公共面向的事項
[00:06:35.000 --> 00:06:39.000]  究竟教會或教務同工在這個角色裡
[00:06:39.000 --> 00:06:41.000]  其實我們應該怎樣做
[00:06:41.000 --> 00:06:43.000]  剛才大家提議的方式
[00:06:43.000 --> 00:06:45.000]  我相信二三十年前
[00:06:45.000 --> 00:06:47.000]  我們面對很多情況下
[00:06:47.000 --> 00:06:49.000]  提出很多環保的概念
[00:06:49.000 --> 00:06:54.000]  都是說個人如何去節能
[00:06:54.000 --> 00:06:56.000]  如何做好回收的工作
[00:06:56.000 --> 00:06:58.000]  這些是從個人角度去說
[00:06:58.000 --> 00:07:00.000]  但現在我們面對整個社會
[00:07:00.000 --> 00:07:05.000]  整個世界是很多經濟發展的主導下
[00:07:05.000 --> 00:07:08.000]  令很多政策在破壞這些
[00:07:08.000 --> 00:07:10.000]  我們做多少個人的事
[00:07:10.000 --> 00:07:13.000]  都沒有辦法去補償這些破壞
