
[00:00:00.000 --> 00:00:02.500]  今晚開學崇拜的訊息
[00:00:02.500 --> 00:00:09.580]  是由中國神學研究院天恩洛佑教席神學科的教授
[00:00:09.580 --> 00:00:13.580]  雷敬業牧師為我們宣講
[00:00:13.580 --> 00:00:16.980]  雷牧師的題目
[00:00:16.980 --> 00:00:20.180]  「真係要饒鼠?」
[00:00:20.180 --> 00:00:25.500]  我們將時間公敬交給雷牧師
[00:00:25.500 --> 00:00:28.300]  好
[00:00:29.000 --> 00:00:33.000]  等了十六年才能站在這裡
[00:00:33.000 --> 00:00:35.000]  很辛苦的
[00:00:35.000 --> 00:00:39.340]  我在中神教了十六年
[00:00:39.340 --> 00:00:42.600]  這個開學崇拜是輪流
[00:00:42.600 --> 00:00:46.300]  老師按某些次序去排
[00:00:46.300 --> 00:00:48.900]  詳細情況你問一下院長
[00:00:48.900 --> 00:00:51.600]  總之排了十六年
[00:00:51.600 --> 00:00:55.400]  到底開學崇拜是做什麼的呢?
[00:00:55.400 --> 00:00:57.900]  其實我最初來中神的時候
[00:00:57.900 --> 00:01:01.000]  開學崇拜應該是給一個lecture
[00:01:01.000 --> 00:01:06.000]  就是老師的專長學養
[00:01:06.000 --> 00:01:08.500]  然後不知道什麼時候
[00:01:08.500 --> 00:01:09.300]  我都不記得了
[00:01:09.300 --> 00:01:13.100]  開始變成一篇講道
[00:01:13.100 --> 00:01:15.500]  不過我又在想
[00:01:15.500 --> 00:01:18.600]  如果我今天又做《釋經講道》
[00:01:18.600 --> 00:01:23.300]  其實用我們政教部長李偕青的說法
[00:01:23.300 --> 00:01:27.100]  其實我每個星期早上都去送外賣
[00:01:27.100 --> 00:01:31.900]  所以今天不想又做一個「是朝炒河」給你
[00:01:31.900 --> 00:01:35.900]  我通常喜歡在中神做一些在教會
[00:01:35.900 --> 00:01:37.900]  我沒有膽量做的事情
[00:01:37.900 --> 00:01:39.400]  為什麼沒有膽量做?
[00:01:39.400 --> 00:01:40.700]  另一件事
[00:01:40.700 --> 00:01:44.400]  所以今天我又試試做另一件事
[00:01:44.400 --> 00:01:46.200]  為什麼選擇這個題目呢?
[00:01:46.200 --> 00:01:49.700]  其實這個題目和香港最近發生的事情
[00:01:49.700 --> 00:01:50.900]  都有些關係
