
[00:00:00.000 --> 00:00:02.000]  不知道大家聽到這裡
[00:00:02.000 --> 00:00:06.000]  收不收到上帝想你未來二十年做些什麼呢?
[00:00:06.000 --> 00:00:10.000]  沒錯,我們的信仰是要用行動實踐出來的
[00:00:10.000 --> 00:00:14.000]  不過當你去行動之前
[00:00:14.000 --> 00:00:17.000]  我很想給一個很重要的邀請大家
[00:00:17.000 --> 00:00:20.000]  就是這裡的邀請
[00:00:20.000 --> 00:00:22.000]  來看,come and see
[00:00:22.000 --> 00:00:25.000]  他將一切都更新了
[00:00:25.000 --> 00:00:29.000]  其實這個邀請是上帝發給你的
[00:00:29.000 --> 00:00:31.000]  這張卡已經發給你了
[00:00:31.000 --> 00:00:34.000]  你有沒有上他facebook查一下
[00:00:34.000 --> 00:00:36.000]  在他的timeline啟示錄
[00:00:36.000 --> 00:00:39.000]  21章5節那裡發的
[00:00:39.000 --> 00:00:44.000]  看啊,我將一切都更新了
[00:00:44.000 --> 00:00:50.000]  這裡是啟示錄裡描述新天新地
[00:00:50.000 --> 00:00:52.000]  是啊,說新天新地
[00:00:52.000 --> 00:00:59.000]  知不知道新天新地和這個立方體有什麼關係?
[00:00:59.000 --> 00:01:01.000]  你回去查啟示錄
[00:01:01.000 --> 00:01:05.000]  新成耶路撒冷的尺寸是什麼形狀?
[00:01:05.000 --> 00:01:09.000]  是一個立方體
[00:01:09.000 --> 00:01:11.000]  這個new heaven, new earth
[00:01:11.000 --> 00:01:13.000]  有很多信徒覺得是將來的事
[00:01:13.000 --> 00:01:16.000]  和今天世界議題無關
[00:01:16.000 --> 00:01:19.000]  什麼叫做傳福音?
[00:01:19.000 --> 00:01:21.000]  就是叫人信耶穌
[00:01:21.000 --> 00:01:23.000]  將來有永生的盼望
[00:01:23.000 --> 00:01:25.000]  所以我們今天要做好我們的見證
[00:01:25.000 --> 00:01:27.000]  吸引多些人信耶穌
[00:01:27.000 --> 00:01:30.000]  將來就可以多些人一起上天堂
[00:01:30.000 --> 00:01:37.000]  至於什麼政治、社關、扶貧、共融、倡議
[00:01:37.000 --> 00:01:38.000]  或者環保那些
[00:01:38.000 --> 00:01:40.000]  就留給別人去做吧
[00:01:40.000 --> 00:01:44.000]  為什麼?因為這個世界都要結束的
[00:01:44.000 --> 00:01:47.000]  是不是只有這樣呢?
[00:01:47.000 --> 00:01:50.000]  我邀請大家看清楚上帝post的東西
[00:01:50.000 --> 00:01:54.000]  就在同一段,說新天新地的來臨的時候
[00:01:54.000 --> 00:02:00.000]  21章,三節
[00:02:00.000 --> 00:02:04.000]  那裡說,神的帳幕在人間
[00:02:04.000 --> 00:02:08.000]  神的帳幕在人間,祂和我們同住從何時開始?
[00:02:08.000 --> 00:02:12.000]  記不記得馬太福音那裡說
[00:02:12.000 --> 00:02:15.000]  哪有同女懷孕生子
[00:02:15.000 --> 00:02:19.000]  人要給他起命叫二媽來
[00:02:19.000 --> 00:02:21.000]  Emmanuel
[00:02:21.000 --> 00:02:24.000]  神和我們同在,神的帳幕在人間
[00:02:24.000 --> 00:02:28.000]  新天新地已經來了,但是還沒到
[00:02:28.000 --> 00:02:31.000]  Already, but not yet
[00:02:31.000 --> 00:02:36.000]  已經全速地展開了,神的更新工作
[00:02:36.000 --> 00:02:39.000]  在我們的生命裡,和我們息息相關
[00:02:39.000 --> 00:02:42.000]  應該是見得到,摸得到
[00:02:42.000 --> 00:02:44.000]  因為耶穌怎麼跟我們說呢?
[00:02:44.000 --> 00:02:50.000]  他說,父怎麼猜我來,我也照樣猜來
[00:02:50.000 --> 00:02:53.000]  如果我們忘記了這個世界的話
[00:02:53.000 --> 00:02:55.000]  不理這個世界的話
[00:02:55.000 --> 00:03:00.000]  其實就是漠視了神猜我們進入世界服侍這個命令
[00:03:00.000 --> 00:03:02.000]  但問題出在這裡
[00:03:02.000 --> 00:03:04.000]  一進到世界的場景
[00:03:04.000 --> 00:03:09.000]  不同的陣營,或者相反意見的信徒
[00:03:09.000 --> 00:03:13.000]  都很可以拿到聖經來支持他們的想法
[00:03:13.000 --> 00:03:17.000]  每個人都說他們的理想就是天國體現在人間的理想
[00:03:17.000 --> 00:03:21.000]  他們的做法就是最合乎真理的做法
[00:03:21.000 --> 00:03:23.000]  我們何去何循呢?
[00:03:23.000 --> 00:03:26.000]  有時候我們就躲起來
[00:03:26.000 --> 00:03:30.000]  做一些不太激烈的事,不要有太多爭拗
[00:03:30.000 --> 00:03:32.000]  我們很想和諧
[00:03:32.000 --> 00:03:35.000]  是不是這種和諧是我們要的呢?
[00:03:35.000 --> 00:03:38.000]  看啊,我將一切都更新了
[00:03:38.000 --> 00:03:42.000]  看啊,神的帳幕在人間
[00:03:42.000 --> 00:03:46.000]  我相信我們要調教出一種雙視野
[00:03:46.000 --> 00:03:51.000]  這個雙視野讓我們可以看到這兩件事
[00:03:51.000 --> 00:03:57.000]  這個雙視野既有終末性,也有現時性的一種視覺
[00:03:57.000 --> 00:03:59.000]  那怎樣可以調教這些視覺呢?
[00:03:59.000 --> 00:04:02.000]  那我就請教眼科醫生吧
[00:04:02.000 --> 00:04:07.000]  他就說,其實人的眼不可以同時遠視和近視
[00:04:07.000 --> 00:04:12.000]  而且我們眼睛不可以同時對焦兩個距離
[00:04:12.000 --> 00:04:15.000]  不可以同時遠和近
[00:04:15.000 --> 00:04:17.000]  就算讓你遠又可以,你試想像一下
[00:04:17.000 --> 00:04:19.000]  遠又可以,近又可以
[00:04:19.000 --> 00:04:22.000]  雙視野的時候你真的會很暈
[00:04:22.000 --> 00:04:29.000]  結果兩邊都看不清楚,那還怎麼做事呢?
[00:04:29.000 --> 00:04:32.000]  我們其實這些活在已經有的,但不一樣的
[00:04:32.000 --> 00:04:35.000]  其實是不是真的覺得自己可以看得清呢?
[00:04:35.000 --> 00:04:37.000]  保羅怎麼說我們現在看東西呢?
[00:04:37.000 --> 00:04:40.000]  我們好像對著一塊蒙茶茶的鏡子那樣看
[00:04:40.000 --> 00:04:45.000]  猜猜而已,好像猜謎語那樣
[00:04:45.000 --> 00:04:47.000]  我不知道你喜不喜歡猜謎語
[00:04:47.000 --> 00:04:50.000]  不過如果你知道自己看得不太清楚的話
[00:04:50.000 --> 00:04:54.000]  或者你可以對自己和身邊的人寬容一點
[00:04:54.000 --> 00:04:58.000]  不過雖然說是無不清,但也有很多提示的
[00:04:58.000 --> 00:05:01.000]  就好像猜謎語有提示那樣
[00:05:01.000 --> 00:05:04.000]  所以今天我要跟大家分享四個提示
