
[00:00:00.000 --> 00:00:02.000]  《鏡子會》唔安
[00:00:02.000 --> 00:00:08.000]  歡迎大家嚟到蘇恩配文化與倫理講座
[00:00:08.000 --> 00:00:12.000]  今年的主題是職場運動教會更新
[00:00:12.000 --> 00:00:15.000]  蘇恩配女士的故事
[00:00:15.000 --> 00:00:17.000]  我想大家都不陌生
[00:00:17.000 --> 00:00:19.000]  她創辦的其中一本雜誌
[00:00:19.000 --> 00:00:20.000]  《突破》雜誌
[00:00:20.000 --> 00:00:24.000]  第一期是1973年出版的
[00:00:24.000 --> 00:00:27.000]  關注香港青少年的成長
[00:00:27.000 --> 00:00:29.000]  當時她的信念
[00:00:29.000 --> 00:00:32.000]  其實到今天仍然歷久常新
[00:00:32.000 --> 00:00:34.000]  無論是針對青少年
[00:00:34.000 --> 00:00:38.000]  或者他們成長之後進入職場的信徒
[00:00:38.000 --> 00:00:40.000]  其實《突破》的目標
[00:00:40.000 --> 00:00:43.000]  是突破罪性的枷鎖
[00:00:43.000 --> 00:00:45.000]  現實環境的醜惡
[00:00:45.000 --> 00:00:47.000]  沒有理想的黑暗
[00:00:47.000 --> 00:00:51.000]  還有物質主義的壓力和誘惑
[00:00:51.000 --> 00:00:56.000]  其實職場就是基督徒每一日進入社會
[00:00:56.000 --> 00:01:00.000]  面對現實世界的最前線
[00:01:00.000 --> 00:01:04.000]  今年的講座周是要通過職場的理念
[00:01:04.000 --> 00:01:06.000]  呼喚整個教會群體
[00:01:06.000 --> 00:01:08.000]  在生活的場景中
[00:01:08.000 --> 00:01:11.000]  跟隨耶穌作主門徒
[00:01:11.000 --> 00:01:13.000]  活出我們的使命
[00:01:13.000 --> 00:01:16.000]  當弟兄姊妹都這樣做的時候
[00:01:16.000 --> 00:01:20.000]  堂會亦都鼓勵和支援他們這樣做的話
[00:01:20.000 --> 00:01:25.000]  教會群體會經歷一個全面的更新
[00:01:25.000 --> 00:01:28.000]  所以我們今年講座周的設計
[00:01:28.000 --> 00:01:30.000]  首先是第一場
[00:01:30.000 --> 00:01:35.000]  這一場我們會講解和討論職場神學的進路
[00:01:35.000 --> 00:01:39.000]  明天下午我們會討論職場牧羊
[00:01:39.000 --> 00:01:43.000]  今晚和明晚有兩場講座
[00:01:43.000 --> 00:01:47.000]  我們請了忠臣在職的校友和同學
[00:01:47.000 --> 00:01:51.000]  演繹他們在職場裏面的經歷和感受
[00:01:51.000 --> 00:01:54.000]  這兩晚是要讓大家欣賞到
[00:01:54.000 --> 00:01:56.000]  上帝在教會群體
[00:01:56.000 --> 00:02:00.000]  特別是職場信徒當中做的新事
[00:02:00.000 --> 00:02:03.000]  祂要興起一代的職場門徒
[00:02:03.000 --> 00:02:05.000]  走出工作掙扎
[00:02:05.000 --> 00:02:07.000]  實踐職場使命
[00:02:07.000 --> 00:02:13.000]  這兩晚展現出教會在職場運動被更新後
[00:02:13.000 --> 00:02:15.000]  所見到的景象
[00:02:15.000 --> 00:02:17.000]  所以事不宜遲
[00:02:17.000 --> 00:02:20.000]  我們先由神學進路講起
[00:02:20.000 --> 00:02:23.000]  這一場三位講者大家都很熟悉
[00:02:23.000 --> 00:02:25.000]  所以我就不一一介紹
[00:02:25.000 --> 00:02:30.000]  我們會首先由兩位講者每人講20分鐘
[00:02:30.000 --> 00:02:34.000]  然後中段我們有報告和休息的時間
[00:02:34.000 --> 00:02:37.000]  然後我們有第三位講者分享
[00:02:37.000 --> 00:02:41.000]  最後希望我們預留大約半小時的時間
[00:02:41.000 --> 00:02:43.000]  是和大家會有答問
[00:02:43.000 --> 00:02:46.000]  所以你可以先寫下你的問題
[00:02:46.000 --> 00:02:49.000]  我們首先請Daniel老師
[00:02:49.000 --> 00:02:51.000]  然後是Joyce老師
[00:02:51.000 --> 00:02:54.000]  神學進路的部分
[00:02:54.000 --> 00:02:57.000]  我被委派討論
[00:02:57.000 --> 00:03:01.000]  這個聖俗二分的門徒趙明觀
[00:03:01.000 --> 00:03:06.000]  大家都知道我主要是歷史神學人
[00:03:06.000 --> 00:03:08.000]  在整個處理裏
[00:03:08.000 --> 00:03:13.000]  我當然會和大家從歷史神學的角度
[00:03:13.000 --> 00:03:16.000]  去了解一下這個觀念
[00:03:16.000 --> 00:03:23.000]  它的來源或其裏面主要的理念內容
[00:03:23.000 --> 00:03:25.000]  究竟是甚麼
[00:03:25.000 --> 00:03:30.000]  以及如何慢慢地形成這種理解
[00:03:30.000 --> 00:03:34.000]  如果我們要追回整個理解的話
[00:03:34.000 --> 00:03:36.000]  我們知道這個
[00:03:36.000 --> 00:03:40.000]  特別是拒絕聖俗二分這種門徒趙明觀
[00:03:40.000 --> 00:03:44.000]  是和洛桑的運動很有關係
[00:03:44.000 --> 00:03:51.000]  所以我會和大家追溯洛桑在過去的一段時間
[00:03:51.000 --> 00:03:54.000]  在整個發展裏面
[00:03:54.000 --> 00:03:56.000]  它裏面的一些主要概念
[00:03:56.000 --> 00:04:03.000]  如何促成今天很多職場的神學
[00:04:03.000 --> 00:04:06.000]  或是職場裏面的探索的方向
[00:04:10.000 --> 00:04:12.000]  說到洛桑
[00:04:12.000 --> 00:04:14.000]  我想很多人都很熟悉洛桑
[00:04:14.000 --> 00:04:16.000]  不過對於那些不太熟悉的
[00:04:16.000 --> 00:04:17.000]  就介紹一點
[00:04:17.000 --> 00:04:19.000]  洛桑是在七四年的時候
[00:04:19.000 --> 00:04:22.000]  在洛桑這個地方召開的一個
[00:04:22.000 --> 00:04:25.000]  普世福音的國際會議
[00:04:25.000 --> 00:04:29.000]  它被認為是近代福音派的教會裏面
[00:04:29.000 --> 00:04:31.000]  最重要的一個事件
[00:04:31.000 --> 00:04:34.000]  和一個引發出來的運動
[00:04:34.000 --> 00:04:36.000]  為甚麼這麼重要呢
[00:04:36.000 --> 00:04:38.000]  第一就是它的代表性很廣泛
[00:04:38.000 --> 00:04:41.000]  由多過150個國家
[00:04:41.000 --> 00:04:44.000]  有2700位的代表
[00:04:44.000 --> 00:04:47.000]  參與在當中一起討論
[00:04:47.000 --> 00:04:49.000]  並且在討論之後
[00:04:49.000 --> 00:04:51.000]  他們出了一個信約
[00:04:51.000 --> 00:04:53.000]  即是變成一個聲明
[00:04:53.000 --> 00:04:55.000]  一個信仰的聲明
[00:04:55.000 --> 00:04:57.000]  和一些很具體的
[00:04:57.000 --> 00:05:01.000]  一些以後的跟進的承諾
[00:05:01.000 --> 00:05:04.000]  除了這樣之外
[00:05:04.000 --> 00:05:06.000]  歷史裏面都有很多不同的大會
[00:05:06.000 --> 00:05:08.000]  它的重要性
[00:05:08.000 --> 00:05:10.000]  特別我們要留意
[00:05:10.000 --> 00:05:12.000]  就是它很努力地
[00:05:12.000 --> 00:05:14.000]  不單止只是談一些合作
[00:05:14.000 --> 00:05:16.000]  有甚麼一起去做
[00:05:16.000 --> 00:05:17.000]  這麼簡單
[00:05:17.000 --> 00:05:20.000]  它是進入了一些相當深度的
[00:05:20.000 --> 00:05:22.000]  教義上的一些討論
[00:05:22.000 --> 00:05:24.000]  並且在當中
[00:05:24.000 --> 00:05:26.000]  也有一些很廣泛的
[00:05:26.000 --> 00:05:30.000]  之後的一些動員的策略等等
[00:05:30.000 --> 00:05:31.000]  所以正正因為這樣
[00:05:31.000 --> 00:05:37.000]  它的影響到今天仍然是非常巨大的
[00:05:37.000 --> 00:05:43.000]  洛桑運動是提供了一個很大的動力
