
[00:00:00.000 --> 00:00:05.780]  非常歡迎大家來到香港中國神學研究院
[00:00:05.780 --> 00:00:09.460]  第一屆的澳紐培靈講座
[00:00:09.460 --> 00:00:12.200]  也很歡迎在澳洲六個城市
[00:00:12.200 --> 00:00:15.160]  應該攝影機在那裡 大家好
[00:00:15.160 --> 00:00:18.540]  十個的堂會的直播站
[00:00:18.540 --> 00:00:22.340]  我們一起來可以在今天中頂節目
[00:00:22.340 --> 00:00:24.940]  一起在主的恩典裡面
[00:00:24.940 --> 00:00:28.660]  去共享這個豐盛的數靈現象
[00:00:28.660 --> 00:00:30.040]  請我們恭敬的喜立
[00:00:30.040 --> 00:00:33.660]  我們為了今天的晚上聚會來祈禱
[00:00:33.660 --> 00:00:35.980]  愛我們的天父上帝
[00:00:35.980 --> 00:00:41.240]  我們實在要以我們心裡面最深的深處
[00:00:41.240 --> 00:00:45.760]  發出的感謝來獻上感恩給你
[00:00:45.760 --> 00:00:52.140]  天父感謝你 你赐下負擔、意象
[00:00:52.140 --> 00:00:55.580]  讓香港中國神學研究院
[00:00:55.580 --> 00:01:02.020]  他們有籌辦澳紐培靈講座這個方向
[00:01:02.020 --> 00:01:07.540]  經過了一定的時間的籌備、測試
[00:01:07.540 --> 00:01:09.580]  甚至帶著一些的限制
[00:01:09.580 --> 00:01:15.540]  主要是讓今天晚上這個聖功我們能夠舉行了
[00:01:15.540 --> 00:01:17.620]  我們仰望你的恩典
[00:01:17.620 --> 00:01:21.700]  是絕對真是由神祢自己所掌管的
[00:01:21.700 --> 00:01:23.940]  是一個的恩典
[00:01:23.940 --> 00:01:28.220]  雖然在試播的過程有起起跌跌
[00:01:28.220 --> 00:01:31.820]  或許今天的天氣也都很大風
[00:01:31.820 --> 00:01:37.200]  但是這些真的就不是等於主你不聽禱告
[00:01:37.200 --> 00:01:39.380]  我們向好的天氣祈禱
[00:01:39.380 --> 00:01:41.200]  但是神祢掌管一切
[00:01:41.200 --> 00:01:43.780]  你就將萬事萬物
[00:01:43.780 --> 00:01:46.900]  真是在你自己的裡面配搭得合宜
[00:01:46.900 --> 00:01:50.420]  我們今天晚上仍然有一個這麼安全的地方
[00:01:50.420 --> 00:01:52.500]  這麼好的地方來到聚會
[00:01:52.500 --> 00:01:54.660]  我們恭敬獻上感恩
[00:01:54.660 --> 00:01:57.940]  你又將你自己的中心的僕人帶到我們當中
[00:01:57.940 --> 00:01:59.340]  我們感謝你
[00:01:59.340 --> 00:02:02.340]  李院長他帶著身體的軟弱
[00:02:02.340 --> 00:02:05.060]  他依然是忠心的圍籬奔跑
[00:02:05.060 --> 00:02:07.780]  李院長他在生命的當中
[00:02:07.780 --> 00:02:13.300]  不停的用他自己的生命來見證神的恩典
[00:02:13.300 --> 00:02:15.380]  和他所出口的毒
[00:02:15.380 --> 00:02:16.660]  我們感謝你
[00:02:16.660 --> 00:02:19.900]  將今天晚上的時間恭恭敬敬的教堂
[00:02:19.900 --> 00:02:22.500]  我們思想到因為主耶穌的緣故
[00:02:22.500 --> 00:02:25.380]  我們眾肢體在不同的地方
[00:02:25.380 --> 00:02:27.380]  我們能夠合一
[00:02:27.380 --> 00:02:28.980]  因為主耶穌的救恩
[00:02:28.980 --> 00:02:30.780]  因為聖靈的同在
[00:02:30.780 --> 00:02:32.780]  我們能夠這樣同心
[00:02:32.780 --> 00:02:37.380]  我們真的實在只有學習
[00:02:37.380 --> 00:02:39.500]  將我們的生命獻給主
[00:02:39.500 --> 00:02:41.380]  來回應祢的大愛
[00:02:41.380 --> 00:02:43.020]  我們感謝、讚美祢
[00:02:43.020 --> 00:02:45.900]  今天我們靠著聖靈的引導
[00:02:45.900 --> 00:02:47.940]  帶著聖靈所賜的悟性
[00:02:47.940 --> 00:02:51.100]  我們來聽聖餐你自己寶貴的道
[00:02:51.100 --> 00:02:54.220]  我們又靠著神你自己的恩典
[00:02:54.220 --> 00:02:57.100]  我們要學習將聽到的走出來
[00:02:57.100 --> 00:03:00.300]  就求你繼續這樣帶領私恩
[00:03:00.300 --> 00:03:02.980]  將榮耀和讚都歸還給主耶穌
[00:03:02.980 --> 00:03:05.140]  奉耶穌基督特赦的名祈禱
