
[00:00:00.000 --> 00:00:02.800]  接下來我們要聆聽上主的話
[00:00:02.800 --> 00:00:09.200]  首先請實踐科的老師王子賢博士去重讀聖經
[00:00:09.200 --> 00:00:14.200]  然後我們請教務長張子聰博士宣講信息
[00:00:14.200 --> 00:00:17.800]  他的講題是「向未來發聲」
[00:00:17.800 --> 00:00:19.800]  先請子賢老師
[00:00:19.800 --> 00:00:30.800]  恭讀以賽亞書第四十節一至十一節
[00:00:30.800 --> 00:00:32.800]  請聽上帝的話
[00:00:32.800 --> 00:00:40.800]  你們的神說你們要安慰安慰我的百姓
[00:00:40.800 --> 00:00:45.800]  要對耶路撒冷說安慰的話
[00:00:45.800 --> 00:00:52.800]  又向他宣告說他征戰的日子已滿了
[00:00:52.800 --> 00:00:56.800]  他的罪孽赦免了
[00:00:56.800 --> 00:01:06.800]  他為自己的一切罪從耶和華手中加倍受罰
[00:01:06.800 --> 00:01:12.800]  有人聲喊著說在曠野預備耶和華的路
[00:01:12.800 --> 00:01:17.800]  在沙漠地修平我們神的道
[00:01:17.800 --> 00:01:21.800]  一切山窪都要填滿
[00:01:21.800 --> 00:01:25.800]  大小山崗都要修平
[00:01:25.800 --> 00:01:29.800]  高高低低的要改為平坦
[00:01:29.800 --> 00:01:33.800]  崎崎嶇嶇的必成為平原
[00:01:33.800 --> 00:01:37.800]  耶和華的榮耀必然顯現
[00:01:37.800 --> 00:01:41.800]  凡有血氣的必一同看見
[00:01:41.800 --> 00:01:48.800]  因為這是耶和華親口說的
[00:01:48.800 --> 00:01:53.800]  有人聲說你喊叫吧
[00:01:53.800 --> 00:02:00.800]  有一個說我喊叫什麼呢
[00:02:00.800 --> 00:02:05.800]  說凡有血氣的盡都如草
[00:02:05.800 --> 00:02:09.800]  他的美容都像野地的花
[00:02:09.800 --> 00:02:15.800]  草必枯乾花必凋殘
[00:02:15.800 --> 00:02:19.800]  因為耶和華的氣吹在其上
[00:02:19.800 --> 00:02:25.800]  百姓誠然是草
[00:02:25.800 --> 00:02:30.800]  草必枯乾花必凋殘
[00:02:30.800 --> 00:02:36.800]  唯有我們神的話必永遠立定
[00:02:36.800 --> 00:02:40.800]  報好消息給西安的呀
[00:02:40.800 --> 00:02:42.800]  你要登高山
[00:02:42.800 --> 00:02:46.800]  報好消息給耶路撒冷的呀
[00:02:46.800 --> 00:02:49.800]  你要極力揚聲
[00:02:49.800 --> 00:02:52.800]  揚聲不要懼怕
[00:02:52.800 --> 00:02:55.800]  對猶大的誠意說
[00:02:55.800 --> 00:02:59.800]  看吶你們的神
[00:02:59.800 --> 00:03:03.800]  主耶和華必向大能者臨到
[00:03:03.800 --> 00:03:07.800]  他的榜臂必為他掌權
[00:03:07.800 --> 00:03:10.800]  他的賞賜在他那裡
[00:03:10.800 --> 00:03:15.800]  他的報應在他面前
[00:03:15.800 --> 00:03:18.800]  他必向牧人
[00:03:18.800 --> 00:03:21.800]  牧羊自己的羊群
[00:03:21.800 --> 00:03:27.800]  用榜臂聚集羊羔抱在懷中
[00:03:27.800 --> 00:03:34.800]  慢慢引導那如羊小羊的
[00:03:34.800 --> 00:03:37.800]  如果大家在剛剛過去的這一年
[00:03:37.800 --> 00:03:40.800]  有機會來過忠臣的校舍
[00:03:40.800 --> 00:03:43.800]  去到多瑟街的地下的時候
[00:03:43.800 --> 00:03:48.800]  你一定不會錯過會見到這一幅的拼圖
[00:03:48.800 --> 00:03:52.800]  這一幅拼圖我們去年邀請了一位校友
[00:03:52.800 --> 00:03:55.800]  為我們五十週年來畫的
[00:03:55.800 --> 00:03:57.800]  我開初第一眼去見的時候
[00:03:57.800 --> 00:04:02.800]  覺得有一種雞飛狗走的感覺
[00:04:02.800 --> 00:04:03.800]  不過看清楚一點
[00:04:03.800 --> 00:04:06.800]  原來是很多離開忠臣的人
[00:04:06.800 --> 00:04:08.800]  他們帶著各種不同的使命
[00:04:08.800 --> 00:04:12.800]  然後就向著不同的方向
[00:04:12.800 --> 00:04:15.800]  然後去實踐他們的使命
[00:04:15.800 --> 00:04:16.800]  我看清楚一點的時候
[00:04:16.800 --> 00:04:21.800]  我發現原來在最後有兩個人物
[00:04:21.800 --> 00:04:23.800]  我懷疑作者
[00:04:23.800 --> 00:04:26.800]  或者他心裏想的一個是周牧師
[00:04:26.800 --> 00:04:28.800]  一個是余牧師
[00:04:28.800 --> 00:04:32.800]  他們兩個就望著一代一代的學生
[00:04:32.800 --> 00:04:34.800]  一代一代的畢業生
[00:04:34.800 --> 00:04:37.800]  來到去離開神學院之後
[00:04:37.800 --> 00:04:41.800]  然後去實踐上帝給他們的使命
[00:04:41.800 --> 00:04:43.800]  不過我們五十週年裏面
[00:04:43.800 --> 00:04:48.800]  其中一個主題是向未來跨步
[00:04:48.800 --> 00:04:51.800]  當我們要向未來跨步的時候
[00:04:51.800 --> 00:04:56.800]  也許究竟我們相不相信會有未來呢
[00:04:56.800 --> 00:04:57.800]  我想你明白的
[00:04:57.800 --> 00:05:00.800]  我不是在說時間上的未來
[00:05:00.800 --> 00:05:06.800]  而是一個我們可以相信擁抱有將來的未來
[00:05:06.800 --> 00:05:12.800]  當我們說要向未來來實踐上帝給我們的心意的時候
[00:05:12.800 --> 00:05:17.800]  究竟我們相不相信其實是可以有未來呢
[00:05:17.800 --> 00:05:20.800]  在我們相信有未來之後
[00:05:20.800 --> 00:05:24.800]  我們才能夠向這個未來去發聲
[00:05:24.800 --> 00:05:28.800]  而且去實踐我們的使命
[00:05:28.800 --> 00:05:31.800]  剛剛子彥老師說我們所讀出那段經文
[00:05:31.800 --> 00:05:34.800]  《耳塞書》的第四十章
[00:05:34.800 --> 00:05:36.800]  正正就是一個
[00:05:36.800 --> 00:05:40.800]  以色列人他們面對一個歷史
[00:05:40.800 --> 00:05:42.800]  未來的時刻
[00:05:42.800 --> 00:05:44.800]  很多人都在說
[00:05:44.800 --> 00:05:47.800]  究竟可能是剛剛亞述國興起的時候
[00:05:47.800 --> 00:05:50.800]  以色列人或者猶太國
[00:05:50.800 --> 00:05:51.800]  作為一個小小的國
[00:05:51.800 --> 00:05:56.800]  他們如何面對這個強權帝國之下的壓迫
[00:05:56.800 --> 00:05:57.800]  不過更多人會說
[00:05:57.800 --> 00:06:00.800]  這個其實可能是所謂的巴比倫
[00:06:00.800 --> 00:06:03.800]  已經將猶太滅了之後
[00:06:03.800 --> 00:06:04.800]  將他們俘虜
[00:06:04.800 --> 00:06:07.800]  然後帶到他們的地方
[00:06:07.800 --> 00:06:09.800]  這是一個以色列人
[00:06:09.800 --> 00:06:15.800]  他們面對一個所謂失敗的處境
[00:06:15.800 --> 00:06:18.800]  不過正正在這個時刻
[00:06:18.800 --> 00:06:22.800]  上帝和他們的子民說了一番話
[00:06:22.800 --> 00:06:27.800]  告訴他們有一個未來
[00:06:27.800 --> 00:06:30.800]  《耳塞書》第四十章一開始的時候
[00:06:30.800 --> 00:06:34.800]  說的是上帝要人向他們的子民
[00:06:34.800 --> 00:06:37.800]  發出一個安慰的訊息
[00:06:37.800 --> 00:06:40.800]  安慰的原因是因為
[00:06:40.800 --> 00:06:43.800]  之前的階段已經過去
[00:06:43.800 --> 00:06:49.800]  將會有一個新的一頁去等待他們
[00:06:49.800 --> 00:06:52.800]  我們認真再去看的時候
[00:06:52.800 --> 00:06:54.800]  我們會發現
