
[00:00:00.000 --> 00:00:10.000]  今年的講員蕭秀華牧師為我們定的題目是「忠於牧職的呼召」
[00:00:10.000 --> 00:00:18.000]  今早蕭牧師和兩位回應講員都著重點提及關於牧職的呼召
[00:00:18.000 --> 00:00:25.000]  蕭牧師特別強調,尤其是堂會牧職是一個很獨特的呼召
[00:00:25.000 --> 00:00:30.000]  進入這個侍奉必須出於上帝的呼召
[00:00:30.000 --> 00:00:35.000]  而回應呼召的人要憑著信心和忠心去堅持
[00:00:35.000 --> 00:00:42.000]  在討論中經常出現的字除了呼召之外,是什麼字呢?
[00:00:42.000 --> 00:00:45.000]  「權柄」
[00:00:45.000 --> 00:00:50.000]  因此今早蕭牧師答應了一個權柄的問題
[00:00:50.000 --> 00:00:54.000]  下午回答,但我提醒他其實明天才是
[00:00:54.000 --> 00:00:57.000]  「教牧與權威」
[00:00:57.000 --> 00:01:01.000]  在有權柄之前,今日這個題目是很重要的
[00:01:01.000 --> 00:01:03.000]  「牧職的成長」
[00:01:03.000 --> 00:01:10.000]  所以今天下午我們很開心有蕭牧師繼續與我們分享牧職的成長
[00:01:10.000 --> 00:01:16.000]  今日安排和上午一樣,蕭牧師分享後有兩位回應的講員
[00:01:16.000 --> 00:01:19.000]  兩位都是校友,分別是李色青老師
[00:01:19.000 --> 00:01:22.000]  他同時也是忠誠的副教務長
[00:01:22.000 --> 00:01:24.000]  還有陳偉嘉牧師
[00:01:24.000 --> 00:01:27.000]  陳偉嘉牧師是前任崇禎會講堂牧師
[00:01:27.000 --> 00:01:30.000]  現在正在進修他的博士學位
[00:01:30.000 --> 00:01:34.000]  兩位分享完之後,大家會有10至15分鐘的小休
[00:01:34.000 --> 00:01:37.000]  之後回來也會有答問時間
[00:01:37.000 --> 00:01:41.000]  我們再次歡迎蕭牧師上來與我們分享
[00:01:42.000 --> 00:01:59.000]  蕭牧師:通常下午的講座挑戰比較大
[00:01:59.000 --> 00:02:02.000]  包括你和我
[00:02:02.000 --> 00:02:09.000]  如果你在整個過程中聽得完,感謝神
[00:02:09.000 --> 00:02:15.000]  如果需要休息,我通常都看不見
[00:02:15.000 --> 00:02:23.000]  你可以快快醒來,我們可以一起繼續學習
[00:02:23.000 --> 00:02:28.000]  第二方面我們一起談到的是關於牧職的成長
[00:02:28.000 --> 00:02:33.000]  在我自己的服事中,我有一個很大的盼望
[00:02:33.000 --> 00:02:40.000]  就是我的侍奉不會越侍奉,我的生命越萎縮
[00:02:40.000 --> 00:02:45.000]  而是一路侍奉,生命可以一路成長
[00:02:45.000 --> 00:02:49.000]  我記得有一次和一位姊妹聊天
[00:02:49.000 --> 00:02:52.000]  這位姊妹剛剛服事了一段時間
[00:02:52.000 --> 00:02:57.000]  大家聊天對將來的牧師
[00:02:57.000 --> 00:03:02.000]  其實一個處境是大家一起分享對將來的願景
[00:03:02.000 --> 00:03:09.000]  我提及到一些可能將來如果神給我退休之後
[00:03:09.000 --> 00:03:13.000]  可以有更多機會做一些培育的工作
[00:03:13.000 --> 00:03:17.000]  一些服事,想起很多可能的方向
[00:03:17.000 --> 00:03:20.000]  這位姊妹突然間分享
[00:03:20.000 --> 00:03:28.000]  我都很希望將來我差不多結束服事的日子
[00:03:28.000 --> 00:03:33.000]  我可以更多得著耶穌基督
[00:03:33.000 --> 00:03:37.000]  這句話對我來說是一個很特別的描述
[00:03:37.000 --> 00:03:40.000]  她說到但願我在越侍奉的時候
[00:03:40.000 --> 00:03:43.000]  我越得著基督多一點
[00:03:43.000 --> 00:03:49.000]  更加是屬於祂,更加是真的聽從祂的人
[00:03:49.000 --> 00:03:56.000]  而不是我越來越膨脹,越來越大,越少耶穌基督
[00:03:56.000 --> 00:04:02.000]  我相信我們大家在服事過程中都體會到
[00:04:02.000 --> 00:04:05.000]  其實在侍奉神的過程中
[00:04:05.000 --> 00:04:12.000]  那個我構成了很大的影響力量
[00:04:12.000 --> 00:04:16.000]  我今天跟大家分享的題目是公眾評價中的自由
[00:04:16.000 --> 00:04:20.000]  正正因為牧師本身是一種公眾的侍奉
[00:04:20.000 --> 00:04:23.000]  亦都接觸很多不同的人
[00:04:23.000 --> 00:04:27.000]  人對你的影響是很真實的
[00:04:27.000 --> 00:04:30.000]  而我開始時想說
[00:04:30.000 --> 00:04:35.000]  在牧師的服事中很明顯我們是僕人
[00:04:35.000 --> 00:04:40.000]  我們只是服事那位天地的主宰
[00:04:40.000 --> 00:04:43.000]  而過程中要很警覺地注意
[00:04:43.000 --> 00:04:52.000]  為何不讓服事成為我自己的主人
[00:04:52.000 --> 00:04:58.000]  不是成為僕人,而是自己的僕人服事自己
[00:04:58.000 --> 00:05:01.000]  或者人的奴僕服事了人
[00:05:01.000 --> 00:05:05.000]  或者很多時候那個驅動不是因為上帝的呼召
[00:05:05.000 --> 00:05:10.000]  而是因為恐懼的驅動
