
[00:00:00.000 --> 00:00:03.000]  很久沒有在這個台上說話了
[00:00:03.000 --> 00:00:05.000]  有些不是很習慣
[00:00:05.000 --> 00:00:08.000]  在當中
[00:00:08.000 --> 00:00:10.000]  其實不單不習慣
[00:00:10.000 --> 00:00:13.000]  其實我被邀請的時候
[00:00:13.000 --> 00:00:15.000]  我已經很想婉拒
[00:00:15.000 --> 00:00:20.000]  抗爭這個名字
[00:00:20.000 --> 00:00:23.000]  其實我很和理非
[00:00:23.000 --> 00:00:26.000]  所以不懂得怎麼說
[00:00:27.000 --> 00:00:30.000]  牧羊這一代
[00:00:30.000 --> 00:00:33.000]  其實我只是雨傘裡面
[00:00:33.000 --> 00:00:35.000]  在裡面
[00:00:35.000 --> 00:00:36.000]  外面
[00:00:36.000 --> 00:00:38.000]  前前後後
[00:00:38.000 --> 00:00:39.000]  其中一個
[00:00:39.000 --> 00:00:42.000]  只是被上帝呼召我
[00:00:42.000 --> 00:00:45.000]  進入去參與的其中一份子
[00:00:45.000 --> 00:00:47.000]  所以要說
[00:00:47.000 --> 00:00:50.000]  我只是代他們說
[00:00:50.000 --> 00:00:54.000]  聽完Kelvin說
[00:00:55.000 --> 00:00:57.000]  我就更加覺得
[00:00:57.000 --> 00:00:58.000]  我不用說
[00:00:58.000 --> 00:01:00.000]  其實他差不多說完了
[00:01:00.000 --> 00:01:03.000]  但我一直都祈禱
[00:01:03.000 --> 00:01:05.000]  或者由邀請到現在
[00:01:05.000 --> 00:01:07.000]  為什麼我被邀請
[00:01:07.000 --> 00:01:11.000]  我和李耀坤博士說
[00:01:11.000 --> 00:01:13.000]  他越說
[00:01:13.000 --> 00:01:15.000]  因為他告訴我
[00:01:15.000 --> 00:01:17.000]  這裡坐下來的
[00:01:17.000 --> 00:01:19.000]  很多人都是傷
[00:01:19.000 --> 00:01:20.000]  可能和我一樣
[00:01:20.000 --> 00:01:22.000]  在這裡受傷
[00:01:22.000 --> 00:01:24.000]  很多覺得自己失敗
[00:01:24.000 --> 00:01:26.000]  覺得自己不行
[00:01:26.000 --> 00:01:28.000]  我猜我們正正
[00:01:28.000 --> 00:01:30.000]  要面對的時候
[00:01:30.000 --> 00:01:32.000]  怎麼面對呢
[00:01:32.000 --> 00:01:34.000]  我猜我們各人都有不同的處境
[00:01:34.000 --> 00:01:37.000]  但是可能經歷的是一樣
[00:01:37.000 --> 00:01:39.000]  我經歷的
[00:01:39.000 --> 00:01:41.000]  和Kelvin一樣
[00:01:41.000 --> 00:01:43.000]  我經歷的是上帝
[00:01:43.000 --> 00:01:45.000]  這個三一的上帝的真
[00:01:45.000 --> 00:01:47.000]  我猜這個時代
[00:01:47.000 --> 00:01:49.000]  要面對無憂止
[00:01:49.000 --> 00:01:51.000]  要面對無憂止
