
[00:00:00.000 --> 00:00:05.000]  我們接下來有第二個分享環節
[00:00:05.000 --> 00:00:07.000]  這個環節很特別
[00:00:07.000 --> 00:00:11.000]  其實我們剛才分享的是市區重建
[00:00:11.000 --> 00:00:15.000]  是社工如何幫助不同的人
[00:00:15.000 --> 00:00:20.000]  在重建中有新的想像或安置
[00:00:20.000 --> 00:00:23.000]  接下來我們有朱耀光博士
[00:00:23.000 --> 00:00:26.000]  他是鄉土學社的副主任
[00:00:26.000 --> 00:00:32.000]  如果你來過1月21日的青年營
[00:00:32.000 --> 00:00:35.000]  你應該聽過他分享過一次
[00:00:35.000 --> 00:00:37.000]  我聽到很多人
[00:00:37.000 --> 00:00:38.000]  因為我不是在那組裡
[00:00:38.000 --> 00:00:39.000]  但很多人分享
[00:00:39.000 --> 00:00:42.000]  其實朱博士的分享
[00:00:42.000 --> 00:00:46.000]  有點像聖法蘭西斯的方向
[00:00:46.000 --> 00:00:49.000]  我想我賣個關子
[00:00:49.000 --> 00:00:52.000]  總之就是一個很不同的土地
[00:00:52.000 --> 00:00:56.000]  我想我把時間交給朱博士
[00:00:56.000 --> 00:00:58.000]  你按什麼就可以下?
[00:00:58.000 --> 00:01:02.000]  叫我朱耀光或耀光或阿朱都可以
[00:01:02.000 --> 00:01:05.000]  我上個禮拜
[00:01:05.000 --> 00:01:08.000]  其實這個禮拜一去了崇基神學院
[00:01:08.000 --> 00:01:10.000]  看《消失的檔案》
[00:01:10.000 --> 00:01:13.000]  看的時候還可以
[00:01:13.000 --> 00:01:15.000]  但其實最感動的是
[00:01:15.000 --> 00:01:17.000]  我去到那裡的時候
[00:01:17.000 --> 00:01:20.000]  我看到一個很特別的東西
[00:01:20.000 --> 00:01:21.000]  其實還可以
[00:01:21.000 --> 00:01:22.000]  但最感動的是
[00:01:22.000 --> 00:01:23.000]  完了之後
[00:01:23.000 --> 00:01:25.000]  羅導演其中一個分享
[00:01:25.000 --> 00:01:27.000]  他說他做了很多長的分享
[00:01:27.000 --> 00:01:31.000]  不過都是說為什麼要拍《消失的檔案》
[00:01:31.000 --> 00:01:34.000]  不過在崇基神學院的分享
[00:01:34.000 --> 00:01:37.000]  他說我會說在信仰的角度
[00:01:37.000 --> 00:01:40.000]  他說上帝給了很多恩典
[00:01:40.000 --> 00:01:43.000]  這個我自己很感動
[00:01:43.000 --> 00:01:44.000]  關於土地的東西
[00:01:44.000 --> 00:01:46.000]  我也分享過
[00:01:46.000 --> 00:01:48.000]  過去幾年不同的地方
[00:01:48.000 --> 00:01:50.000]  但其實今年一月開始
[00:01:50.000 --> 00:01:55.000]  才有基督教的朋友請我
[00:01:55.000 --> 00:01:57.000]  於是我就把握這些機會
[00:01:57.000 --> 00:02:00.000]  去說一些我在平時在外面分享不說的東西
[00:02:00.000 --> 00:02:02.000]  但其實那樣可能是最核心
[00:02:02.000 --> 00:02:05.000]  也不是最容易在一些
[00:02:05.000 --> 00:02:08.000]  非信仰的群體去說到的東西
[00:02:08.000 --> 00:02:11.000]  我也教了有十幾年書
[00:02:11.000 --> 00:02:13.000]  大學畢業之後
[00:02:13.000 --> 00:02:17.000]  一直在一間中學那裡教書
[00:02:17.000 --> 00:02:20.000]  教到一個階段
[00:02:20.000 --> 00:02:22.000]  其實08年的彩園村保育運動
[00:02:22.000 --> 00:02:23.000]  對我有一個很大的影響
[00:02:23.000 --> 00:02:25.000]  當時我是一個通識科老師
[00:02:25.000 --> 00:02:28.000]  我就帶一班學生去彩園村考察
[00:02:28.000 --> 00:02:29.000]  考察完之後回來覺得
[00:02:29.000 --> 00:02:31.000]  自己可以做些什麼呢
[00:02:31.000 --> 00:02:33.000]  感覺好像是一個局外人
[00:02:33.000 --> 00:02:34.000]  帶一班學生看完
[00:02:34.000 --> 00:02:36.000]  然後回去做一個project
[00:02:36.000 --> 00:02:38.000]  自己覺得有些於心不安
[00:02:38.000 --> 00:02:40.000]  但又不知道可以繼續做些什麼
[00:02:40.000 --> 00:02:42.000]  去到08年
