
[00:00:00.000 --> 00:00:16.000]  各位現場的來賓同工
[00:00:16.000 --> 00:00:20.000]  網上的參加者 歡迎大家
[00:00:20.000 --> 00:00:23.000]  我是朱光雲牧師
[00:00:23.000 --> 00:00:26.000]  是忠臣的副演長
[00:00:26.000 --> 00:00:29.000]  代表忠臣歡迎大家
[00:00:29.000 --> 00:00:33.000]  在五十年前九月份
[00:00:33.000 --> 00:00:37.000]  忠臣第一次開學
[00:00:37.000 --> 00:00:40.000]  五十年後的今天
[00:00:40.000 --> 00:00:43.000]  我們慶祝五十週年
[00:00:43.000 --> 00:00:47.000]  我們給忠臣五十週年
[00:00:47.000 --> 00:00:49.000]  提供一個題目叫
[00:00:49.000 --> 00:00:53.000]  向未來跨步A Mission Beyond
[00:00:53.000 --> 00:00:56.000]  意思是過去五十年
[00:00:56.000 --> 00:01:00.000]  我們當然為上帝在我們中間
[00:01:00.000 --> 00:01:02.000]  所成就一切感恩
[00:01:02.000 --> 00:01:07.000]  不過我們更想向未來展望
[00:01:07.000 --> 00:01:11.000]  我們很想忠臣的神學教育
[00:01:11.000 --> 00:01:13.000]  能夠更上一層樓
[00:01:13.000 --> 00:01:16.000]  所以在五十週年
[00:01:16.000 --> 00:01:18.000]  我們給了四個副題
[00:01:18.000 --> 00:01:21.000]  我們說是跨文化 跨世代
[00:01:21.000 --> 00:01:24.000]  跨宗派 跨地域
[00:01:24.000 --> 00:01:26.000]  跨文化自然
[00:01:26.000 --> 00:01:28.000]  我們的畢業生
[00:01:28.000 --> 00:01:32.000]  我們畢業後去到不同的海外或本地
[00:01:32.000 --> 00:01:36.000]  去從事很多不同文化的服事工作
[00:01:36.000 --> 00:01:38.000]  我們有跨世代
[00:01:38.000 --> 00:01:42.000]  忠臣的群體 董事 校友 老師
[00:01:42.000 --> 00:01:45.000]  我們來自不同的世代
[00:01:45.000 --> 00:01:47.000]  跨宗派
[00:01:47.000 --> 00:01:52.000]  忠臣是一間沒有宗派背景的教會
[00:01:52.000 --> 00:01:57.000]  或者我們的群體成員來自不同的宗派
[00:01:57.000 --> 00:02:00.000]  那個是一個美好的交流
[00:02:00.000 --> 00:02:03.000]  擦出火花的作用
[00:02:03.000 --> 00:02:05.000]  跨地域
[00:02:05.000 --> 00:02:07.000]  我們的畢業生
[00:02:07.000 --> 00:02:10.000]  畢業後去到不同的世界各地的地方
[00:02:10.000 --> 00:02:12.000]  從事不同的侍奉
[00:02:12.000 --> 00:02:19.000]  所以今天我們這個跨地域的領袖教務研討會
[00:02:19.000 --> 00:02:25.000]  就是在這個50週年的活動當中的其中一環
[00:02:25.000 --> 00:02:27.000]  所以今天大家在這個地方
[00:02:27.000 --> 00:02:29.000]  我們一起的研討
[00:02:29.000 --> 00:02:31.000]  講完它的分享
[00:02:31.000 --> 00:02:35.000]  我希望能夠為這個
[00:02:35.000 --> 00:02:39.000]  在社會變遷
[00:02:39.000 --> 00:02:43.000]  這個世代變幻的情況下
[00:02:43.000 --> 00:02:45.000]  教會怎樣定位呢?
[00:02:45.000 --> 00:02:48.000]  我們的身份是如何呢?
[00:02:48.000 --> 00:02:53.000]  我們應該怎樣去活出上帝交託給我們的照明呢?
[00:02:53.000 --> 00:02:57.000]  這個就是我們今天想研討的課題
[00:02:57.000 --> 00:03:03.000]  所以再一次歡迎大家參加今天這個研討會
[00:03:03.000 --> 00:03:06.000]  很盼望我們的交流、討論
[00:03:06.000 --> 00:03:08.000]  不單是擦出火花
[00:03:08.000 --> 00:03:10.000]  我希望是果實累累
[00:03:10.000 --> 00:03:12.000]  多謝大家
[00:03:12.000 --> 00:03:14.000]  (字幕製作:貝爾)
