
[00:00:00.000 --> 00:00:03.080]  又是我們心靈涼亭的時間
[00:00:03.080 --> 00:00:08.000]  其實在我們日常生活的細節裡面
[00:00:08.000 --> 00:00:12.680]  如果我們靜下來觀察和反省一下
[00:00:12.680 --> 00:00:17.280]  其實都可以找到很多對我們的靈性有啟迪的地方
[00:00:17.280 --> 00:00:20.080]  在這幾年裡面
[00:00:20.080 --> 00:00:24.760]  其實有一個日本很流行的家居修立
[00:00:24.760 --> 00:00:27.280]  很出名的一本書叫《斷捨離》
[00:00:27.720 --> 00:00:30.240]  是說我們和物件之間
[00:00:30.240 --> 00:00:32.560]  斷就不要讓它進去
[00:00:32.560 --> 00:00:34.440]  捨就要丟棄它
[00:00:34.440 --> 00:00:36.280]  離就有一種距離
[00:00:36.280 --> 00:00:39.560]  在裡面說到家居修立
[00:00:39.560 --> 00:00:43.720]  有一個理念我覺得很有意思
[00:00:43.720 --> 00:00:45.960]  它就說其實每樣物件
[00:00:45.960 --> 00:00:50.960]  應該在你自己家裡都佔有一個位置
[00:00:50.960 --> 00:00:53.880]  如果它找不到自己的位置
[00:00:53.880 --> 00:00:58.440]  可以說是好像我們有時候的雜物一代二代
[00:00:58.440 --> 00:01:00.080]  就因為它沒有找到位置
[00:01:00.080 --> 00:01:03.160]  就好像無主孤魂那樣
[00:01:03.160 --> 00:01:07.000]  又或者家人拿東西出來
[00:01:07.000 --> 00:01:08.200]  沒有歸位
[00:01:08.200 --> 00:01:12.440]  其實都是令到家裡混亂的原因
[00:01:12.440 --> 00:01:19.480]  這件事情其實我們看到神創造的過程裡面
[00:01:19.480 --> 00:01:22.560]  詩篇第八篇三節那裡說
[00:01:22.560 --> 00:01:25.920]  他說:我觀看你指頭所造的天
[00:01:25.920 --> 00:01:29.640]  並你所陳設的月亮星獸
[00:01:29.640 --> 00:01:34.120]  陳設這個字就是set in place
[00:01:34.120 --> 00:01:38.800]  就是說月亮星獸各自都找到自己的位置
[00:01:38.800 --> 00:01:41.200]  所以他們運行的過程裡面
[00:01:41.200 --> 00:01:43.600]  就不會有衝撞
[00:01:43.600 --> 00:01:48.720]  原來找到位置比一件事更重要
[00:01:49.280 --> 00:01:52.920]  那麼我想耶穌也挑戰我們
[00:01:52.920 --> 00:01:58.880]  我們的心其實是關注神還是關注馬門
[00:01:58.880 --> 00:02:00.840]  如果我們關注馬門
[00:02:00.840 --> 00:02:03.920]  那麼位置被它佔據了之後
[00:02:03.920 --> 00:02:06.400]  那麼我們的生活就會顛倒了
[00:02:06.400 --> 00:02:11.040]  所以今天我們在心靈的涼亭裡面
[00:02:11.040 --> 00:02:13.960]  靜下來可以想一想
[00:02:13.960 --> 00:02:18.120]  你的生活的時間表裡面
[00:02:18.120 --> 00:02:20.120]  充斥了什麼呢?
[00:02:20.120 --> 00:02:25.200]  又或者你的心思意念
[00:02:25.200 --> 00:02:27.200]  放了什麼在裡面呢?
[00:02:27.200 --> 00:02:29.200]  是不是神所喜悅的呢?
[00:02:29.200 --> 00:02:31.200]  是不是最重要的呢?
[00:02:31.200 --> 00:02:35.160]  那件事是不是找到自己的位置呢?
[00:02:35.160 --> 00:02:41.080]  這個對我們靈性的操練
[00:02:41.080 --> 00:02:44.760]  也是一個很重要的提醒
[00:02:45.480 --> 00:02:46.480]  謝謝大家
[00:02:46.480 --> 00:02:48.480]  (字幕製作:貝爾)
[00:02:48.480 --> 00:02:50.480]  (字幕製作:貝爾)
[00:02:50.480 --> 00:02:52.480]  (字幕製作:貝爾)
[00:02:52.480 --> 00:02:55.480]  (字幕由 Amara.org 社群提供)

