
[00:00:00.000 --> 00:00:05.000]  各位來到我們忠神網頁試聽課的朋友,你好
[00:00:05.000 --> 00:00:07.000]  我是歐長江博士
[00:00:07.000 --> 00:00:09.000]  在我們忠神的課程裏面
[00:00:09.000 --> 00:00:13.000]  有一科叫做神學生活與生命的反思
[00:00:13.000 --> 00:00:19.000]  當中其實我們都很想教同學學懂得如何去聆聽
[00:00:19.000 --> 00:00:25.000]  包括聆聽自己、聆聽別人和聆聽神
[00:00:25.000 --> 00:00:31.000]  今天試課我想和大家去看在人際關係裏面
[00:00:31.000 --> 00:00:35.000]  在這些互動裏面我們如何去聆聽自己
[00:00:35.000 --> 00:00:42.000]  希望在我們分享完之後,大家都可以在網上繼續有交流
[00:00:42.000 --> 00:00:48.000]  講這個題目,我要介紹一位心理學家,叫做Karen Honey
[00:00:48.000 --> 00:00:55.000]  我本身很喜歡個人成長,所以看到她這本書就眼一亮
[00:00:55.000 --> 00:01:00.000]  看看她裏面其實講些什麼呢
[00:01:00.000 --> 00:01:05.000]  其實原來一個心理學家,她發展她的理論
[00:01:05.000 --> 00:01:09.000]  和她自己成長都相當有關
[00:01:09.000 --> 00:01:14.000]  Karen Honey這個這麼漂亮的小女孩
[00:01:14.000 --> 00:01:19.000]  她在1885年在漢堡德國出生
[00:01:19.000 --> 00:01:27.000]  她爸爸是一個很嚴苛的船長,一個基要派的信徒
[00:01:27.000 --> 00:01:31.000]  她媽媽屬於上流社會
[00:01:31.000 --> 00:01:39.000]  她有一個親生的哥哥,她爸爸很寵愛這個哥哥
[00:01:39.000 --> 00:01:44.000]  所以她得不到爸爸的愛,轉投了她媽媽那邊
[00:01:44.000 --> 00:01:50.000]  她很喜歡這個哥哥,但是她哥哥就踢開了她
[00:01:50.000 --> 00:01:54.000]  她甚至因為這件事情緒低落
[00:01:54.000 --> 00:01:59.000]  她爸爸是一個敬畏神的船長
[00:01:59.000 --> 00:02:04.000]  不過他有時都很火爆
[00:02:04.000 --> 00:02:10.000]  還有他看女性是比較低男性一籌
[00:02:10.000 --> 00:02:15.000]  而這件事令到有點可惜
[00:02:15.000 --> 00:02:21.000]  令到Karen Honey對權威和宗教都有點反感
[00:02:21.000 --> 00:02:27.000]  她得不到哥哥那種待遇
[00:02:27.000 --> 00:02:31.000]  幸好她媽媽都支持她
[00:02:31.000 --> 00:02:37.000]  她透過讀書,女性做到醫生其實都不容易
[00:02:37.000 --> 00:02:44.000]  她透過這些競爭取回自己的位置
[00:02:44.000 --> 00:02:52.000]  這就是她的背景,我接著會說她的人際流動的理論
[00:02:52.000 --> 00:02:58.000]  她說如果我們從小到大得不到父母的愛
[00:02:58.000 --> 00:03:02.000]  我們就會有一種內在的焦慮
[00:03:02.000 --> 00:03:05.000]  而這種焦慮如何去解決呢?
[00:03:05.000 --> 00:03:08.000]  有三種流動的方向
[00:03:08.000 --> 00:03:12.000]  第一種就是走近人,moving towards
[00:03:12.000 --> 00:03:15.000]  第二種就是跟人紮馬,moving against
[00:03:15.000 --> 00:03:18.000]  第三種就是moving away
[00:03:18.000 --> 00:03:24.000]  但是你會發覺我在每一個下面都括著一樣東西
[00:03:24.000 --> 00:03:32.000]  就是這些流動的目標是減低自己的焦慮
[00:03:32.000 --> 00:03:36.000]  譬如走近人,她的想法就是
[00:03:36.000 --> 00:03:39.000]  如果你愛我的話,你就不會傷害我
[00:03:39.000 --> 00:03:41.000]  就是跟傷害有關
[00:03:41.000 --> 00:03:45.000]  第二就是跟人紮馬,跟人揮過
[00:03:45.000 --> 00:03:50.000]  就是說如果我有權力,你就不會傷害到我
[00:03:50.000 --> 00:03:53.000]  第三種就是離開
[00:03:53.000 --> 00:03:58.000]  就是如果我退讓一下,退一步海闊天空
[00:03:58.000 --> 00:04:01.000]  你就傷害不了我
[00:04:01.000 --> 00:04:08.000]  所以這個人際流動的基礎就是因為裡面沒有那種安全感導致的
[00:04:08.000 --> 00:04:15.000]  你說人際流動其實這三種方式我們都會的
[00:04:15.000 --> 00:04:20.000]  有些叫做normal defenses,就是說人之常情
[00:04:20.000 --> 00:04:22.000]  每個人都會有的
[00:04:22.000 --> 00:04:28.000]  譬如走近人你可以出於友善、關懷
[00:04:28.000 --> 00:04:34.000]  你在一個競爭社會裡面,你可以跟人紮馬的話
[00:04:34.000 --> 00:04:38.000]  其實是一個生存的伎倆
[00:04:38.000 --> 00:04:48.000]  離開人群,其實都可以是一種很想得到一種平靜、安穩的狀態
[00:04:48.000 --> 00:04:52.000]  我們都很著重退休、退省
[00:04:52.000 --> 00:04:55.000]  其實是無所謂的,是可以的
[00:04:55.000 --> 00:04:59.000]  只不過如果我們那些流動的背後
[00:04:59.000 --> 00:05:06.000]  其實原來是為了譬如要遷就人,沒有了自己的
[00:05:06.000 --> 00:05:10.000]  又或者要跟人揮過,打倒人的
[00:05:10.000 --> 00:05:14.000]  又或者那種抽離是一種退縮
[00:05:14.000 --> 00:05:22.000]  這種情況我們就叫做一些定態的反應
[00:05:22.000 --> 00:05:26.000]  所以人際相處裡面我們有三個選擇
[00:05:26.000 --> 00:05:31.000]  表示友善好,讓步引伸而退好
[00:05:31.000 --> 00:05:34.000]  或者跟人對抗、爭取
[00:05:34.000 --> 00:05:43.000]  很想大家想一想,我課堂的時候其實我就用了Honey
[00:05:43.000 --> 00:05:49.000]  後來學者用他的理論發展了一個文卷
[00:05:49.000 --> 00:05:54.000]  我就很想同學可以自我了解多一點
[00:05:54.000 --> 00:05:59.000]  這個人際流動是因為雙向的
[00:05:59.000 --> 00:06:03.000]  所以我就對這件事很有趣
[00:06:03.000 --> 00:06:08.000]  我就把它擴充,一起去想一想是怎麼樣
[00:06:08.000 --> 00:06:12.000]  這個流動的組合,譬如我這個人
[00:06:12.000 --> 00:06:15.000]  A君,我有一個對手
[00:06:15.000 --> 00:06:20.000]  我的對手,我的反應跟他的反應之間
[00:06:20.000 --> 00:06:24.000]  會出來一種什麼樣的狀態呢?
[00:06:24.000 --> 00:06:30.000]  借助這件事我們也可以有些分析
