
[00:00:00.000 --> 00:00:03.000]  我們現在開始今天的講座
[00:00:03.000 --> 00:00:04.000]  我先介紹一下我自己
[00:00:04.000 --> 00:00:05.000]  我是郭偉聯
[00:00:05.000 --> 00:00:09.000]  是市民公民運動的其中一個發起人
[00:00:09.000 --> 00:00:14.000]  今天的講座其實有很多個合作單位
[00:00:14.000 --> 00:00:16.000]  你看看上面
[00:00:16.000 --> 00:00:20.000]  首先我們多謝忠臣的
[00:00:20.000 --> 00:00:22.000]  這個我很長的
[00:00:22.000 --> 00:00:23.000]  要很小心讀
[00:00:23.000 --> 00:00:26.000]  信仰與公共間的關係
[00:00:26.000 --> 00:00:31.000]  信仰與公共價值研究中心
[00:00:31.000 --> 00:00:35.000]  多謝Daniel和Bernard
[00:00:35.000 --> 00:00:37.000]  和我們有一個很好的合作
[00:00:37.000 --> 00:00:40.000]  又願意借一個這麼好的地方
[00:00:40.000 --> 00:00:43.000]  給我們一起去做這個土地的講座
[00:00:43.000 --> 00:00:46.000]  另外FES也是我們合作的單位
[00:00:46.000 --> 00:00:49.000]  第三個單位就是市民公民運動
[00:00:49.000 --> 00:00:51.000]  我想今天我們很好
[00:00:51.000 --> 00:00:54.000]  我們有三個的講者
[00:00:54.000 --> 00:00:56.000]  會和我們分享
[00:00:56.000 --> 00:00:59.000]  第一位講者就是黃瓊麗先生
[00:00:59.000 --> 00:01:01.000]  她喜歡人叫她阿麗
[00:01:01.000 --> 00:01:06.000]  她是關注舊區住屋權益社工聯席召集人
[00:01:06.000 --> 00:01:10.000]  和全港關注劏房平台的成員
[00:01:10.000 --> 00:01:14.000]  我們請阿麗去歡迎她
[00:01:14.000 --> 00:01:18.000]  第二位就是香土學社的創辦人
[00:01:18.000 --> 00:01:20.000]  朱耀剛博士
[00:01:20.000 --> 00:01:22.000]  喜歡人叫他耀剛
[00:01:23.000 --> 00:01:25.000]  第三位就是忠臣的老師
[00:01:25.000 --> 00:01:27.000]  黃國偉博士
[00:01:27.000 --> 00:01:29.000]  她喜歡人叫他Bernard
[00:01:29.000 --> 00:01:33.000]  如果叫我偉聯就可以了
[00:01:33.000 --> 00:01:37.000]  我的英文名是給英國人叫的
[00:01:37.000 --> 00:01:40.000]  他們會叫我Wai
[00:01:40.000 --> 00:01:42.000]  但我的名字是偉聯
[00:01:42.000 --> 00:01:44.000]  所以我的英文名是給英國人叫的
[00:01:44.000 --> 00:01:47.000]  所以不要說這麼多廢話
[00:01:47.000 --> 00:01:49.000]  今天這個講座特別的地方
[00:01:49.000 --> 00:01:51.000]  就是除了三位的講者之外
[00:01:51.000 --> 00:01:55.000]  我們還有很多討論的時間
[00:01:55.000 --> 00:01:59.000]  所以希望待會在座的
[00:01:59.000 --> 00:02:01.000]  參與的弟兄姊妹
[00:02:01.000 --> 00:02:05.000]  你不怕將一些你想說的東西
[00:02:05.000 --> 00:02:10.000]  一些你在課題裏面思想的東西
[00:02:10.000 --> 00:02:13.000]  你一起去傾談
[00:02:13.000 --> 00:02:15.000]  因為我們方便討論
[00:02:15.000 --> 00:02:17.000]  其實我們也很感謝
[00:02:17.000 --> 00:02:21.000]  有很多忠臣的弟兄姊妹
[00:02:21.000 --> 00:02:22.000]  和FES的弟兄姊妹
[00:02:22.000 --> 00:02:24.000]  來幫忙做組長
[00:02:24.000 --> 00:02:28.000]  我想組長可不可以舉手
[00:02:28.000 --> 00:02:31.000]  讓大家知道你是組長
[00:02:31.000 --> 00:02:33.000]  每一台應該都有組長
[00:02:33.000 --> 00:02:37.000]  我們也感謝組長
[00:02:37.000 --> 00:02:39.000]  多謝他們
[00:02:39.000 --> 00:02:45.000]  我們本來應該是18到35歲
[00:02:45.000 --> 00:02:48.000]  但我們看到有些不像18到35歲
[00:02:48.000 --> 00:02:51.000]  比較成熟的弟兄姊妹
[00:02:51.000 --> 00:02:54.000]  有一些是很有心來參加的
