
[00:00:00.000 --> 00:00:05.120]  當主辦單位問我想要講什麼問題的時候
[00:00:05.120 --> 00:00:07.800]  一般來說外面少講的
[00:00:07.800 --> 00:00:09.800]  我會想到這個問題
[00:00:09.800 --> 00:00:13.240]  就是火盤結團結的問題
[00:00:13.240 --> 00:00:16.240]  我們在講跟什麼單位合作呢
[00:00:16.240 --> 00:00:19.720]  剛才說一個人跑得快
[00:00:19.720 --> 00:00:21.440]  多人跑得遠
[00:00:21.440 --> 00:00:25.920]  我覺得問題是跑得快未必是最好的
[00:00:25.920 --> 00:00:27.600]  你會走錯路
[00:00:27.600 --> 00:00:31.080]  可能你真的跑得很快
[00:00:31.080 --> 00:00:32.080]  但是走錯路
[00:00:32.080 --> 00:00:34.080]  我覺得多一些人的時間
[00:00:34.080 --> 00:00:36.560]  希望走錯路的機會會少一點
[00:00:36.560 --> 00:00:39.680]  首先我想講講
[00:00:39.680 --> 00:00:42.080]  一百多年前的愛丁堡會議
[00:00:42.080 --> 00:00:43.800]  大家記不記得前幾年有一個
[00:00:43.800 --> 00:00:47.480]  Call to all的大會
[00:00:47.480 --> 00:00:50.920]  其實是紀念愛丁堡會的百壽年
[00:00:50.920 --> 00:00:53.280]  愛丁堡會議其實是在
[00:00:53.280 --> 00:00:56.840]  普世宣教會議上第一個聯合的會議
[00:00:56.840 --> 00:01:00.320]  主要是在印度的宣教士
[00:01:00.320 --> 00:01:02.680]  在印度的宣教士
[00:01:02.680 --> 00:01:06.840]  發起的一個在愛丁堡行地的宣教會議
[00:01:06.840 --> 00:01:08.520]  在那段時間
[00:01:08.520 --> 00:01:09.960]  其實就是
[00:01:09.960 --> 00:01:11.520]  江普升平
[00:01:11.520 --> 00:01:13.120]  覺得當時很盛世
[00:01:13.120 --> 00:01:16.080]  覺得很快就可以全球歸主
[00:01:16.080 --> 00:01:21.520]  那是很有勝利的當時的時代
[00:01:21.520 --> 00:01:24.240]  這樣的一個氣質的會議
[00:01:24.240 --> 00:01:27.320]  但是裏面有些人有些不同的說法
[00:01:27.320 --> 00:01:31.800]  當時一個印度的領袖出來講
[00:01:31.800 --> 00:01:33.800]  他是Israeli
[00:01:33.800 --> 00:01:35.800]  他說在將來日子
[00:01:35.800 --> 00:01:38.520]  印度教會將會衷心感激
[00:01:38.520 --> 00:01:41.440]  宣教士英雄行為和捨棄的工作
[00:01:41.440 --> 00:01:43.960]  你們把自己的物資送給貧窮人
[00:01:43.960 --> 00:01:45.960]  你們甘願犧牲被罰
[00:01:45.960 --> 00:01:47.400]  但我們要求的是愛
[00:01:47.400 --> 00:01:49.680]  請把友情送給我們
[00:01:49.680 --> 00:01:52.640]  這個就是當時他們的反應
[00:01:52.640 --> 00:01:55.440]  我們知道其實在19世紀
[00:01:55.440 --> 00:01:57.440]  20世紀初的時間
[00:01:57.440 --> 00:01:59.440]  很多的宣教士說不死的
[00:01:59.440 --> 00:02:02.520]  特別是1900年義和團
[00:02:02.520 --> 00:02:03.520]  很多人死的
[00:02:03.520 --> 00:02:05.520]  其實斯亞川真的很願意
[00:02:05.520 --> 00:02:07.840]  付上很多的生命代價
[00:02:07.840 --> 00:02:09.840]  但是換來的是甚麼
[00:02:09.840 --> 00:02:12.440]  本土的牧者
[00:02:12.440 --> 00:02:13.840]  本土的領袖怎樣去看
[00:02:13.840 --> 00:02:17.240]  除了一些非常優秀的傳教士之外
[00:02:17.240 --> 00:02:18.840]  大部分的傳教士
[00:02:18.840 --> 00:02:22.520]  都沒有能夠擺脫保護人的居高臨下的氣勢
[00:02:22.520 --> 00:02:25.040]  會有能夠與他們的引導和公援
[00:02:25.040 --> 00:02:27.040]  建立真誠的兄弟們
[00:02:27.040 --> 00:02:29.040]  兄弟們的和睦關係
[00:02:29.040 --> 00:02:32.440]  這個就是現實的情況
[00:02:32.440 --> 00:02:34.240]  就算你現在今天的時間
[00:02:34.240 --> 00:02:37.840]  我看很多當時的宣教士所寫的傳記
[00:02:37.840 --> 00:02:42.440]  你會發覺那樣東西是很特別的
[00:02:42.440 --> 00:02:46.840]  他們可能會寫很多很多他們宣教士的生活
[00:02:46.840 --> 00:02:51.640]  但裡面很少很少會提到本土的領袖
[00:02:51.640 --> 00:02:54.240]  你試一下想想
[00:02:54.240 --> 00:02:57.440]  你去查一下當時的宣教士的傳記
[00:02:57.440 --> 00:02:59.040]  我們會這樣的情況
[00:02:59.040 --> 00:03:00.440]  那怎麼辦呢
[00:03:00.440 --> 00:03:02.840]  我們知道傳統大家聽過
[00:03:02.840 --> 00:03:04.440]  猜拳鐵三國
[00:03:04.440 --> 00:03:07.040]  我牧師提議的時候
[00:03:07.040 --> 00:03:09.040]  都接近50年前
[00:03:09.040 --> 00:03:10.840]  猜拳鐵三國就是
[00:03:10.840 --> 00:03:12.840]  宣教士、猜會部會
[00:03:12.840 --> 00:03:14.640]  這就是三國的夥伴
[00:03:14.640 --> 00:03:15.840]  在這個緣故
[00:03:15.840 --> 00:03:17.440]  我們一會兒都會有
[00:03:17.440 --> 00:03:19.440]  宣教士、猜會部會和教會
[00:03:19.440 --> 00:03:21.840]  就是三國的代表
[00:03:21.840 --> 00:03:23.840]  那我代表什麼呢
[00:03:23.840 --> 00:03:25.840]  其實就是另外一樣
[00:03:25.840 --> 00:03:29.040]  當大家說猜拳鐵三國的時候
[00:03:29.040 --> 00:03:29.840]  慢慢的
[00:03:29.840 --> 00:03:31.840]  你知道神學院當然是經常這樣
[00:03:31.840 --> 00:03:33.440]  把腳踢下去
[00:03:33.440 --> 00:03:34.040]  是不是
[00:03:34.040 --> 00:03:36.840]  這個是一個立體的三國
[00:03:36.840 --> 00:03:39.640]  就是有一個立體型的
[00:03:39.640 --> 00:03:40.840]  在神學院也放進去
[00:03:40.840 --> 00:03:43.640]  神學院是訓練宣教士的
[00:03:43.640 --> 00:03:44.840]  猜拳鐵三國
[00:03:44.840 --> 00:03:47.840]  但是仍然都脫離不了
[00:03:47.840 --> 00:03:50.640]  說猜拳的夥伴
[00:03:50.640 --> 00:03:55.040]  都是在說猜謊
[00:03:55.040 --> 00:03:57.640]  沒有看到傳謊
[00:03:57.640 --> 00:03:58.840]  我們傳到那裡
[00:03:58.840 --> 00:04:00.440]  我自己就是
[00:04:00.440 --> 00:04:02.840]  這個傳統理解引發什麼問題呢
[00:04:02.840 --> 00:04:04.040]  我覺得有幾個問題
[00:04:04.040 --> 00:04:04.840]  一個就是說
[00:04:04.840 --> 00:04:07.240]  福音五色化的阻礙
[00:04:07.240 --> 00:04:09.640]  我們是外面的人
[00:04:09.640 --> 00:04:10.640]  進去受試
[00:04:10.640 --> 00:04:12.240]  就要把我們自己的文化
[00:04:12.240 --> 00:04:13.640]  都帶過去
[00:04:13.640 --> 00:04:14.440]  是不是
[00:04:14.440 --> 00:04:15.640]  所以這邊是
[00:04:15.640 --> 00:04:17.640]  福音五色化很大的阻礙
[00:04:17.640 --> 00:04:19.640]  有一個很大的問題
[00:04:19.640 --> 00:04:20.840]  譬如我經常想
[00:04:20.840 --> 00:04:21.440]  哇
[00:04:21.440 --> 00:04:23.040]  其實唐三藏
[00:04:23.040 --> 00:04:25.440]  許世堅和羅盤
[00:04:25.440 --> 00:04:27.440]  在中國差不多是結了婚
[00:04:27.440 --> 00:04:29.040]  但是現在的時間
[00:04:29.040 --> 00:04:30.440]  為什麼我們擁抱了
[00:04:30.440 --> 00:04:33.040]  就是佛教是中國的
[00:04:33.040 --> 00:04:34.440]  但是到現在
[00:04:34.440 --> 00:04:36.440]  就是1200年之後
[00:04:36.440 --> 00:04:40.440]  仍然是
[00:04:40.440 --> 00:04:43.240]  基督教是外來勢力
[00:04:43.240 --> 00:04:44.640]  外來思想
[00:04:44.640 --> 00:04:46.440]  是洋教
[00:04:46.440 --> 00:04:48.040]  這是很大的問題
[00:04:48.040 --> 00:04:50.840]  我們的傳教方式
[00:04:50.840 --> 00:04:52.640]  可能會扼殺了
[00:04:52.640 --> 00:04:54.640]  福音的本土化的阻礙
[00:04:54.640 --> 00:04:56.440]  因為我們永遠
[00:04:56.440 --> 00:04:59.040]  譬如舉例說大秦景教
[00:04:59.040 --> 00:05:02.040]  你發覺他的教士
[00:05:02.040 --> 00:05:03.040]  哇
[00:05:03.040 --> 00:05:05.240]  在唐代他曾經曾勝幾次
[00:05:05.240 --> 00:05:07.040]  自留百度
[00:05:07.040 --> 00:05:08.840]  但是他的傳教士
[00:05:08.840 --> 00:05:11.440]  都是敘利亞真王
[00:05:11.440 --> 00:05:15.640]  他不能夠把領導
[00:05:15.640 --> 00:05:18.640]  拉回去交給本土人
[00:05:18.640 --> 00:05:21.440]  這是福音的一種阻礙
[00:05:21.440 --> 00:05:23.640]  第二個就是長期性的依賴
