
[00:00:00.000 --> 00:00:02.000]  各位影子們晚安
[00:00:02.000 --> 00:00:04.400]  歡迎來到中國神學研究院
[00:00:04.400 --> 00:00:06.400]  參加今晚的公開講座
[00:00:06.400 --> 00:00:08.400]  今晚的題目是
[00:00:08.400 --> 00:00:11.400]  即場回望主的臨在
[00:00:11.400 --> 00:00:14.400]  顧名思義今晚的內容
[00:00:14.400 --> 00:00:19.400]  就和你和我每一天花很多時間
[00:00:19.400 --> 00:00:21.400]  去思考
[00:00:21.400 --> 00:00:23.400]  如何去解釋
[00:00:23.400 --> 00:00:25.400]  如何去解釋
[00:00:25.400 --> 00:00:27.400]  如何去解釋
[00:00:27.400 --> 00:00:30.400]  和我每一天花很多時間
[00:00:30.400 --> 00:00:32.400]  花很多精神
[00:00:32.400 --> 00:00:35.400]  在裡面工作的地方
[00:00:35.400 --> 00:00:38.400]  這個地方很特別
[00:00:38.400 --> 00:00:41.400]  你回去的時候就馬上想離開
[00:00:41.400 --> 00:00:44.400]  可能是對著一些很難受的人
[00:00:44.400 --> 00:00:46.400]  或者是對著一些
[00:00:46.400 --> 00:00:48.400]  做極不完的工作
[00:00:48.400 --> 00:00:50.400]  你可能就是這樣
[00:00:50.400 --> 00:00:52.400]  不停地被工作所困擾
[00:00:52.400 --> 00:00:54.400]  但另一方面
[00:00:54.400 --> 00:00:56.400]  換個角度來說
[00:00:56.400 --> 00:00:58.400]  你明天不用回來
[00:00:58.400 --> 00:01:00.400]  你又會很害怕
[00:01:00.400 --> 00:01:02.400]  可能會很懷疑自己
[00:01:02.400 --> 00:01:04.400]  是不是我做錯了什麼
[00:01:04.400 --> 00:01:06.400]  懷疑自己的能力
[00:01:06.400 --> 00:01:08.400]  或者你會覺得很恐懼
[00:01:08.400 --> 00:01:09.400]  很擔憂
[00:01:09.400 --> 00:01:14.400]  這個地方讓我們既愛且怕
[00:01:14.400 --> 00:01:16.400]  所以我們開始的時候
[00:01:16.400 --> 00:01:18.400]  我們首先用一個禱告
[00:01:18.400 --> 00:01:21.400]  將今晚的時間交上給我們的主耶穌
[00:01:21.400 --> 00:01:23.400]  親愛的主我們去感謝你
[00:01:23.400 --> 00:01:27.400]  因為你賜給我們有工作的能力
[00:01:27.400 --> 00:01:29.400]  你給我們有生命的氣息
[00:01:29.400 --> 00:01:32.400]  以致我們可以在工作的裡面
[00:01:32.400 --> 00:01:34.400]  我們活出你的形象
[00:01:34.400 --> 00:01:35.400]  你的樣式
[00:01:35.400 --> 00:01:37.400]  主我們多謝你
[00:01:37.400 --> 00:01:39.400]  然而我們卻發現
[00:01:39.400 --> 00:01:40.400]  在工作的裡面
[00:01:40.400 --> 00:01:43.400]  經常都感到很憂心
[00:01:43.400 --> 00:01:45.400]  或者有很多的壓力
[00:01:45.400 --> 00:01:48.400]  主世界給我們有很多的恐嚇
[00:01:48.400 --> 00:01:50.400]  給我們有很多的恐懼
[00:01:50.400 --> 00:01:52.400]  但是主我們深信
[00:01:52.400 --> 00:01:54.400]  只要你的同在
[00:01:54.400 --> 00:01:55.400]  只要你的臨在
[00:01:55.400 --> 00:01:57.400]  我們什麼都不用怕
[00:01:57.400 --> 00:02:00.400]  主我們求你今晚祝福這個聚會
[00:02:00.400 --> 00:02:02.400]  主你透過講完
[00:02:02.400 --> 00:02:04.400]  透過一些弟兄姊妹的分享
[00:02:04.400 --> 00:02:07.400]  主你給我們有一個訊息
[00:02:07.400 --> 00:02:10.400]  讓我們在整個的經歷裡面
[00:02:10.400 --> 00:02:12.400]  去反省自己
[00:02:12.400 --> 00:02:14.400]  去看透自己
[00:02:14.400 --> 00:02:16.400]  主你親自與我們同在
