
[00:00:00.000 --> 00:00:03.000]  歡迎各位來到我們講座的下半場
[00:00:03.000 --> 00:00:06.000]  我們剛才聽了Tracy老師
[00:00:06.000 --> 00:00:10.000]  她說我們分享靜觀和基督教信仰的整合
[00:00:10.000 --> 00:00:15.000]  接下來我們想邀請我們的潘怡蓉博士Annie老師
[00:00:15.000 --> 00:00:18.000]  她是我們的臨高傑德教席助理教授
[00:00:18.000 --> 00:00:20.000]  也是我們實踐科的老師
[00:00:20.000 --> 00:00:24.000]  她也會回應我們的問題
[00:00:24.000 --> 00:00:26.000]  我們現在請她上來
[00:00:26.000 --> 00:00:30.000]  她也是我們實踐科的老師
[00:00:30.000 --> 00:00:34.000]  她也會回應這個靈修操練的傳統
[00:00:34.000 --> 00:00:38.000]  來跟Tracy老師所講的對話
[00:00:38.000 --> 00:00:41.000]  我們邀請Annie老師
[00:00:41.000 --> 00:00:52.000]  在現場的同工同事同學
[00:00:52.000 --> 00:00:58.000]  在網站上的同事同學
[00:00:58.000 --> 00:01:02.000]  反而現在不見你們有點想念你們
[00:01:02.000 --> 00:01:06.000]  太多的時候覺得有點太吵
[00:01:06.000 --> 00:01:10.000]  我今天為了回應
[00:01:10.000 --> 00:01:18.000]  基本上我的回應有四個部分
[00:01:18.000 --> 00:01:24.000]  第一個就是分享我自己這幾年的觀察
[00:01:24.000 --> 00:01:28.000]  第二個就是多謝Tracy老師
[00:01:28.000 --> 00:01:33.000]  剛才非常有條理有系統的分享
[00:01:33.000 --> 00:01:37.000]  我就由兩個角度去反思
[00:01:37.000 --> 00:01:40.000]  第三部分我就會提出
[00:01:40.000 --> 00:01:46.000]  我怎樣看Mindfulness和基督教信仰的整合
[00:01:46.000 --> 00:01:50.000]  特別是整合我怎樣看
[00:01:50.000 --> 00:01:53.000]  以及已經有人怎樣做的
[00:01:53.000 --> 00:01:57.000]  最後這個叫做繼續思考的問題
[00:01:57.000 --> 00:02:00.000]  就是如果前面講太多
[00:02:00.000 --> 00:02:02.000]  這裡就不用思考了
[00:02:02.000 --> 00:02:04.000]  大家繼續思考
[00:02:04.000 --> 00:02:06.000]  如果前面講得快
[00:02:06.000 --> 00:02:08.000]  我就思考多一點
[00:02:08.000 --> 00:02:11.000]  所以最後都是用來清走時間的安排
[00:02:11.000 --> 00:02:14.000]  我回想2006年
[00:02:14.000 --> 00:02:16.000]  我就去英國
[00:02:16.000 --> 00:02:20.000]  到2007年那段時間
[00:02:20.000 --> 00:02:24.000]  如果是Tracy老師有些研究的話
[00:02:24.000 --> 00:02:29.000]  那時候英國已經很流行Mindfulness
[00:02:29.000 --> 00:02:31.000]  特別是基督教界
[00:02:31.000 --> 00:02:37.000]  是和CBT就是認知範圍治療法
[00:02:37.000 --> 00:02:39.000]  做了很多的結合
[00:02:39.000 --> 00:02:41.000]  不至於走到哪裡
[00:02:41.000 --> 00:02:43.000]  好像麥當勞到處看到
[00:02:43.000 --> 00:02:45.000]  不過就去書局
[00:02:45.000 --> 00:02:48.000]  去基督教的機構
[00:02:48.000 --> 00:02:50.000]  我都看到Mindfulness這東西
[00:02:50.000 --> 00:02:53.000]  於是我就有機會去聽
[00:02:53.000 --> 00:02:56.000]  去少少的操練
[00:02:56.000 --> 00:03:00.000]  繼續下去就去到比利時
[00:03:00.000 --> 00:03:05.000]  去到比利時就是歐陸這一塊
[00:03:05.000 --> 00:03:11.000]  我就發覺比利時都開始流行Mindfulness
[00:03:11.000 --> 00:03:14.000]  於是由那時候回到香港
[00:03:14.000 --> 00:03:19.000]  和很多基督徒和天主教的朋友
[00:03:19.000 --> 00:03:23.000]  我們就有機會一起去討論
[00:03:23.000 --> 00:03:25.000]  一起去思考
[00:03:25.000 --> 00:03:27.000]  今天因為講整合
[00:03:27.000 --> 00:03:32.000]  所以我就對於Tracy老師講的
[00:03:32.000 --> 00:03:35.000]  教教靜觀治療
[00:03:35.000 --> 00:03:38.000]  或者教教靜觀輔導
[00:03:38.000 --> 00:03:41.000]  整合的取向
[00:03:41.000 --> 00:03:43.000]  那裡會想多一點
[00:03:43.000 --> 00:03:47.000]  但通常就正正就好像最初那裡
[00:03:47.000 --> 00:03:50.000]  教教心理輔導一樣
