
[00:00:00.000 --> 00:00:05.000]  (字幕由Amara.org社区提供)
[00:00:06.000 --> 00:00:07.000]  各位電影好友早安
[00:00:07.000 --> 00:00:10.000]  今天想和大家藉著一段經文
[00:00:10.000 --> 00:00:12.000]  讓我們有些思考的時間
[00:00:12.000 --> 00:00:14.000]  和大家分享的經文是
[00:00:14.000 --> 00:00:18.000]  《哈該書》第一章一至到第十五節
[00:00:18.000 --> 00:00:21.000]  《哈該書》第一章第一節這樣說
[00:00:21.000 --> 00:00:25.000]  他說大劉氏王第二年六月初一日
[00:00:25.000 --> 00:00:26.000]  耶華的話
[00:00:26.000 --> 00:00:30.000]  藉著先知哈該向猶大省長薩拉鐵的兒子
[00:00:31.000 --> 00:00:35.000]  所羅巴伯和約撒達的兒子大祭司約書亞說
[00:00:35.000 --> 00:00:38.000]  《哈該書》第一章第一節
[00:00:38.000 --> 00:00:40.000]  以一個日期作為開始
[00:00:40.000 --> 00:00:43.000]  大劉氏王第二年
[00:00:43.000 --> 00:00:46.000]  大劉氏王第二年大概就是
[00:00:46.000 --> 00:00:50.000]  當時公元前五百二十年
[00:00:50.000 --> 00:00:51.000]  一個這樣的時間
[00:00:51.000 --> 00:00:53.000]  要了解這個時間
[00:00:53.000 --> 00:00:55.000]  或者接下來的說話
[00:00:55.000 --> 00:00:58.000]  對當時的人有什麼意思
[00:00:58.000 --> 00:01:03.000]  我們就要回到更早之前的一個歷史片段
[00:01:03.000 --> 00:01:05.000]  這個歷史片段在
[00:01:05.000 --> 00:01:08.000]  《以斯拉記》第一章一至十一節說明出來
[00:01:08.000 --> 00:01:11.000]  波斯王蔡老師元年
[00:01:11.000 --> 00:01:14.000]  耶華說為了應驗耶利米口中所說的話
[00:01:14.000 --> 00:01:17.000]  就激動波斯王蔡老師的心
[00:01:17.000 --> 00:01:21.000]  令他下詔通告全國說
[00:01:21.000 --> 00:01:25.000]  由公元前五百二十年
[00:01:25.000 --> 00:01:29.000]  我們要回到十八年之前
[00:01:29.000 --> 00:01:31.000]  所發生的一件事情
[00:01:31.000 --> 00:01:35.000]  在公元前五百三十八年
[00:01:35.000 --> 00:01:37.000]  十八年之前
[00:01:37.000 --> 00:01:44.000]  神藉著蔡老師激動蔡老師的心
[00:01:44.000 --> 00:01:47.000]  讓以色列人回歸
[00:01:47.000 --> 00:01:49.000]  經文第二節接下來這樣說
[00:01:49.000 --> 00:01:52.000]  波斯王蔡老師如此說
[00:01:52.000 --> 00:01:55.000]  天上的神已經將天下萬國賜給我
[00:01:55.000 --> 00:02:00.000]  又祝福我在猶大的耶路撒冷為他建造電雨
[00:02:00.000 --> 00:02:03.000]  在你們中間凡做他子民的
[00:02:03.000 --> 00:02:05.000]  可以上猶大的耶路撒冷
[00:02:05.000 --> 00:02:07.000]  在耶路撒冷重建耶和華
[00:02:07.000 --> 00:02:08.000]  以色列神的電
[00:02:08.000 --> 00:02:10.000]  只有祂是神
