
[00:00:00.000 --> 00:00:06.600]  今日有機會和大家分享一個人生長短的問題
[00:00:06.600 --> 00:00:09.080]  最近去東莞
[00:00:09.080 --> 00:00:12.800]  有位大兄載我到處遊玩
[00:00:12.800 --> 00:00:18.560]  其實一個長的車程是一個不錯的分享時間
[00:00:18.560 --> 00:00:21.000]  這位大兄四十多歲
[00:00:21.000 --> 00:00:26.160]  有一個母親在內地其他城市生活
[00:00:26.440 --> 00:00:31.280]  他在網上看到一個影片對他來說是很震撼的
[00:00:31.280 --> 00:00:34.560]  影片是將人生
[00:00:34.560 --> 00:00:38.680]  譬如說八十歲是一個終結
[00:00:38.680 --> 00:00:41.520]  每年有十二個月
[00:00:41.520 --> 00:00:45.120]  所以就畫了九百六十格的人生
[00:00:45.120 --> 00:00:50.520]  然後要受訪者拿起一張紙的九百六十格
[00:00:50.520 --> 00:00:52.680]  就畫走了他過了的日子
[00:00:52.680 --> 00:00:53.920]  剩下多少
[00:00:54.240 --> 00:00:57.160]  因為有一個影像在你面前
[00:00:57.160 --> 00:01:01.600]  你會覺得有很大的衝擊
[00:01:01.600 --> 00:01:03.400]  原來我剩下這麼多
[00:01:03.400 --> 00:01:06.000]  或者我已經過了這麼多日子
[00:01:06.000 --> 00:01:09.800]  特別是家裡有老人家
[00:01:09.800 --> 00:01:14.840]  他們剩下的世上日子可能會更少
[00:01:14.840 --> 00:01:21.920]  我自己也畫了一幅簡化版
[00:01:21.920 --> 00:01:25.400]  將人生有八十
[00:01:25.400 --> 00:01:27.400]  十年一格
[00:01:27.400 --> 00:01:31.240]  這裡就是我過了的日子
[00:01:31.240 --> 00:01:33.240]  五十多歲
[00:01:33.240 --> 00:01:36.600]  現在剩下這麼短的時間
[00:01:36.600 --> 00:01:39.480]  我應該怎樣好好過這個時間呢
[00:01:39.480 --> 00:01:44.600]  其實也是我需要回答的人生的問題
[00:01:45.120 --> 00:01:52.920]  不過在網上看看這些生命思源的問題
[00:01:52.920 --> 00:01:57.480]  就多了一個啟迪
[00:01:57.480 --> 00:02:00.800]  同樣的
[00:02:00.800 --> 00:02:02.480]  這裡有一幅圖
[00:02:02.480 --> 00:02:05.800]  這裡說二十多歲之前
[00:02:05.800 --> 00:02:09.000]  其實是我們預備工作世界的日子
[00:02:09.000 --> 00:02:10.800]  六十多歲退休
[00:02:10.800 --> 00:02:13.760]  退休有十幾年
[00:02:14.120 --> 00:02:17.600]  而最長時間是二十多歲到六十多歲期間
[00:02:17.600 --> 00:02:19.600]  發生很多事情
[00:02:19.600 --> 00:02:23.520]  而我們很多時候規劃自己的人生
[00:02:23.520 --> 00:02:28.720]  用一個直線人生的觀點
[00:02:28.720 --> 00:02:31.520]  就是說我預備好自己的人生
[00:02:31.520 --> 00:02:36.320]  讀書、裝備、進入工作
[00:02:36.320 --> 00:02:38.920]  努力工作、成家立室
[00:02:38.920 --> 00:02:40.400]  到退休了
[00:02:40.400 --> 00:02:44.440]  我們可以好好享受、休息
[00:02:44.440 --> 00:02:47.000]  不過問題在哪裡呢
[00:02:47.000 --> 00:02:50.040]  我想我媽媽也八十多歲
[00:02:50.040 --> 00:02:52.040]  在她打從退休之後
[00:02:52.040 --> 00:02:55.800]  到七十多歲還可以
[00:02:55.800 --> 00:02:58.320]  七十多歲之後身體的狀態
[00:02:58.320 --> 00:03:00.320]  其實就不太理想
[00:03:00.320 --> 00:03:02.320]  所以就是說
[00:03:02.320 --> 00:03:05.120]  你預備好等退休
[00:03:05.120 --> 00:03:07.120]  退休的日子這麼短
[00:03:07.120 --> 00:03:13.120]  就是說你能夠很充分地去享受自己人生的日子是很少的
[00:03:13.120 --> 00:03:16.760]  所以現在提倡一個叫做微型的人生
[00:03:16.760 --> 00:03:18.160]  微型的人生就是說
[00:03:18.160 --> 00:03:22.200]  你理想中的日子應該是怎樣過的呢
[00:03:22.200 --> 00:03:23.560]  比如一天裡面
[00:03:23.560 --> 00:03:25.760]  微型是指一天
[00:03:25.760 --> 00:03:27.040]  一天裡面
[00:03:27.040 --> 00:03:30.920]  你工作、跟家人相處
[00:03:30.920 --> 00:03:32.600]  做自己喜歡做的事情
[00:03:32.600 --> 00:03:35.760]  那個時間應該怎樣分配好呢
[00:03:35.760 --> 00:03:37.600]  那麼你活在當下
[00:03:37.600 --> 00:03:38.800]  活好那一天
[00:03:38.800 --> 00:03:42.320]  就不要等退休才去計劃享受
[00:03:42.320 --> 00:03:45.840]  那麼我想這個提醒也是相當寶貴的
[00:03:45.840 --> 00:03:49.520]  那麼希望大家拿著自己的生命線
[00:03:49.520 --> 00:03:52.680]  都可以去反思一下
[00:03:52.680 --> 00:03:55.280]  你現在活得開心嗎
[00:03:55.280 --> 00:03:58.280]  你想怎樣過你自己的人生呢
[00:03:58.280 --> 00:04:01.120]  詩篇、九十篇這麼說吧
[00:04:01.120 --> 00:04:04.480]  我們強壯才可以到八十歲
[00:04:04.480 --> 00:04:07.960]  那麼現在很多人都會有癌症
[00:04:07.960 --> 00:04:11.040]  突發的事件會縮短你的人生
[00:04:11.040 --> 00:04:14.240]  所以雖然看上去是可以計算得到
[00:04:14.240 --> 00:04:17.640]  但是其實有很多未知之數
[00:04:17.640 --> 00:04:19.840]  所以懂得數算人生
[00:04:19.840 --> 00:04:22.320]  私人來說是很寶貴的
[00:04:22.320 --> 00:04:24.920]  就是得著智慧的心
[00:04:24.920 --> 00:04:29.200]  那麼我想我們也要靜下來去思考一下
[00:04:29.200 --> 00:04:34.400]  我們的人生應該怎樣好好地活下去
[00:04:34.400 --> 00:04:36.400]  謝謝大家
[00:04:36.400 --> 00:04:38.400]  字幕:J Chong
[00:04:38.400 --> 00:04:41.400]  (字幕由 Amara.org 社群提供)
[00:04:41.400 --> 00:04:44.400]  (字幕由 Amara.org 社群提供)

