
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:00:02.580 --> 00:00:15.000]   - I'll have to spend a minute to say that I'm very honored
[00:00:15.000 --> 00:00:18.680]   to be invited by Dr. Wong and to be in this occasion
[00:00:18.680 --> 00:00:22.160]   with esteemed teachers and scholars.
[00:00:22.160 --> 00:00:25.880]   I really don't know what I'm talking about,
[00:00:25.880 --> 00:00:28.160]   but I'm sure they'll bail me out.
[00:00:28.160 --> 00:00:32.000]   So I'll just fly away. (laughs)
[00:00:32.000 --> 00:00:38.320]   And I have to admit that Dr. Lepton was my teacher,
[00:00:38.320 --> 00:00:43.920]   so I have to agree 100% with what he says. (laughs)
[00:00:43.920 --> 00:00:47.240]   Speaking of that, yeah,
[00:00:47.240 --> 00:00:49.500]   I'll just share a little bit of my thoughts.
[00:00:49.500 --> 00:00:55.080]   Eugene Peterson, once in his introduction
[00:00:55.080 --> 00:00:59.760]   to the book of James, says, "When Christian believers
[00:00:59.760 --> 00:01:04.400]   "gathered in churches, everything that can go wrong
[00:01:04.400 --> 00:01:07.160]   "sooner or later does."
[00:01:07.160 --> 00:01:10.920]   So when people gathered, whether we call it a church
[00:01:10.920 --> 00:01:15.320]   or whatever social club, things will go wrong.
[00:01:15.320 --> 00:01:18.980]   So we have to at least accept that.
[00:01:18.980 --> 00:01:23.960]   And from the sharing of Dr. Lepton and I,
[00:01:23.960 --> 00:01:25.840]   I'm not in agreeing with him.
[00:01:25.840 --> 00:01:30.840]   Rather, I'm warmly reminded by him that,
[00:01:30.840 --> 00:01:34.280]   yes, the first topic we have to talk about
[00:01:34.280 --> 00:01:38.760]   is not about church relevance, but it's about God.
[00:01:38.760 --> 00:01:41.000]   God is a sustainer, God is a maker,
[00:01:41.000 --> 00:01:43.300]   God is a creator of everything.
[00:01:43.300 --> 00:01:47.760]   So first and foremost, we have to think and rethink
[00:01:47.760 --> 00:01:51.040]   about God first.
[00:01:51.040 --> 00:01:53.800]   Other than that, without this foundation,
[00:01:53.800 --> 00:01:57.440]   we're still talking about earthly establishment
[00:01:57.440 --> 00:02:02.100]   and how to be quote-unquote relevant to the people.
[00:02:02.100 --> 00:02:08.360]   And also, he reminds me that, and I'm part of the problem,
[00:02:08.360 --> 00:02:11.940]   is the foreign nature of humans,
[00:02:11.940 --> 00:02:16.940]   the brokenness of our lives, but we are still called
[00:02:16.940 --> 00:02:22.360]   and sent to this broken and sinful world
[00:02:23.580 --> 00:02:26.800]   and sometimes we do more harmful things
[00:02:26.800 --> 00:02:28.640]   than beneficial things.
[00:02:28.640 --> 00:02:33.800]   But still, God sends us as his ambassador
[00:02:33.800 --> 00:02:36.420]   and witnesses to this world.
[00:02:36.420 --> 00:02:40.360]   So there is a history, I think,
[00:02:40.360 --> 00:02:42.720]   in the history of Hong Kong churches too.
[00:02:42.720 --> 00:02:46.040]   That's why there is a period that churches
[00:02:46.040 --> 00:02:50.080]   will encourage believers to work hard,
[00:02:50.080 --> 00:02:55.080]   to have upward mobility to the upper levels of the society
[00:02:55.080 --> 00:02:59.980]   so we will have a bigger influence
[00:02:59.980 --> 00:03:04.100]   and a wider influence to the society
[00:03:04.100 --> 00:03:09.100]   so we thought there will be a good for the city.
[00:03:09.100 --> 00:03:15.760]   But when looking back of all these past 50 years or so,
[00:03:16.940 --> 00:03:20.880]   we may have a different perspective of that.
[00:03:20.880 --> 00:03:24.020]   So there's another point that sometimes
[00:03:24.020 --> 00:03:27.500]   we may be just borrowing the methods
[00:03:27.500 --> 00:03:30.080]   from the world, from business world.
[00:03:30.080 --> 00:03:31.640]   We want to compete with them.
[00:03:31.640 --> 00:03:35.500]   We want to be like them, to be relevant,
[00:03:35.500 --> 00:03:38.020]   quote-unquote, to the society,
[00:03:38.020 --> 00:03:43.020]   but end up, we're just like them instead of who we are.
[00:03:44.660 --> 00:03:48.300]   And even though he doesn't have this time to say,
[00:03:48.300 --> 00:03:51.420]   but from the note that is,
[00:03:51.420 --> 00:03:54.700]   he is very frankly and harshly to say
[00:03:54.700 --> 00:03:58.020]   that so much of the US white churches
[00:03:58.020 --> 00:04:00.820]   reflect the self-interest, individualistic safety
[00:04:00.820 --> 00:04:02.480]   and security of the culture.
[00:04:02.480 --> 00:04:06.380]   No wonder Christian nationalism
[00:04:06.380 --> 00:04:09.700]   are so prominent right now.
[00:04:09.700 --> 00:04:14.220]   Even in this statement, I think somehow
[00:04:14.220 --> 00:04:16.520]   it can apply to Hong Kong churches too, right?
[00:04:16.520 --> 00:04:19.500]   Of course, there's much to say.
[00:04:19.500 --> 00:04:24.500]   I'm sure he will speak more about that.
[00:04:24.500 --> 00:04:29.580]   But true, I think we do share a lot of the issues
[00:04:29.580 --> 00:04:32.660]   that we are facing from the Western churches
[00:04:32.660 --> 00:04:34.560]   and as well as the Hong Kong churches.
[00:04:34.560 --> 00:04:39.220]   Dr. Leblon also continues to say
[00:04:39.220 --> 00:04:41.580]   that the true relevance of the church
[00:04:41.580 --> 00:04:44.100]   must be on the ground.
[00:04:44.100 --> 00:04:49.100]   Must be in dialogue to the contemporary life,
[00:04:49.100 --> 00:04:53.860]   connects the questions, pains, injustice,
[00:04:53.860 --> 00:04:58.100]   hopes, communion and social transformation,
[00:04:58.100 --> 00:05:01.800]   stewardship of the earth, spiritual void and more.
[00:05:01.800 --> 00:05:05.720]   And I am in 100% agree with that.
[00:05:05.720 --> 00:05:10.020]   But just like students,
[00:05:12.220 --> 00:05:15.760]   I have more question marks than response.
[00:05:15.760 --> 00:05:21.260]   I think when we are trying to talk about church relevance
[00:05:21.260 --> 00:05:25.420]   to the time and space that the church,
[00:05:25.420 --> 00:05:27.620]   the local churches that they are in,
[00:05:27.620 --> 00:05:32.620]   I still think besides the theological foundation,
[00:05:32.620 --> 00:05:37.380]   there's also some preliminary steps,
[00:05:37.380 --> 00:05:41.860]   preliminary issues that we have to face head on
[00:05:41.860 --> 00:05:46.720]   before discussing the topic of church relevance.
[00:05:46.720 --> 00:05:53.660]   Number one, there's an article a few years ago
[00:05:53.660 --> 00:05:56.780]   from the UK media, The Guardian.
