
[00:00:00.000 --> 00:00:13.260]  好 很多謝劉德強先生 Felix 的精彩的講解
[00:00:13.260 --> 00:00:14.600]  學了很多東西
[00:00:14.600 --> 00:00:18.640]  其實剛才小莉老師漏了介紹 Felix 的一個背景
[00:00:18.640 --> 00:00:21.980]  他是麻省理工的大學
[00:00:21.980 --> 00:00:24.360]  其實我在麻省理工讀書認識他的
[00:00:24.360 --> 00:00:25.740]  認識了幾個女朋友
[00:00:25.740 --> 00:00:29.860]  那時候幾十年前 大家在讀書的時候
[00:00:29.860 --> 00:00:31.860]  反而講了很多信仰
[00:00:31.860 --> 00:00:34.660]  我記得以前我他信主是其中一個人
[00:00:34.660 --> 00:00:37.480]  很開心幾十年之後來到這裡
[00:00:37.480 --> 00:00:41.700]  可以再跟他說信仰 不過是另一個層次
[00:00:41.700 --> 00:00:43.860]  用我們專業的一些對話
[00:00:43.860 --> 00:00:46.200]  這是一個很開心的機會
[00:00:46.200 --> 00:00:51.340]  剛才 Felix 用了一個哲學的角度
[00:00:51.340 --> 00:00:53.880]  去講一下現在 AI 的發展
[00:00:53.880 --> 00:00:55.620]  和哲學家想的一些什麼
[00:00:55.620 --> 00:00:59.220]  我就從一個神學的角度去回應
[00:00:59.220 --> 00:01:01.080]  我會怎麼說呢?
[00:01:01.080 --> 00:01:03.500]  科技是什麼呢?
[00:01:03.500 --> 00:01:07.920]  科技其實就是 或者人工智能
[00:01:07.920 --> 00:01:10.800]  AI 其實是科技的一種
[00:01:10.800 --> 00:01:13.760]  當然科技有一個很廣闊的定義
[00:01:13.760 --> 00:01:16.520]  是人類運用方法或者工具
[00:01:16.520 --> 00:01:19.220]  去改變和控制物質世界
[00:01:19.220 --> 00:01:22.680]  所以這樣看 科技不是現代才有
[00:01:22.680 --> 00:01:26.520]  也不是一件很複雜的事情
[00:01:26.520 --> 00:01:30.600]  是一個用來按釘的鎚 其實都是用工具去改變世界
[00:01:30.600 --> 00:01:32.900]  或者到了最先進的機械人
[00:01:32.900 --> 00:01:36.100]  總之能夠改變物質世界的都是科技
[00:01:36.100 --> 00:01:38.560]  科技也不單止是一些實物
[00:01:38.560 --> 00:01:40.600]  我們發展出來的方法
[00:01:40.600 --> 00:01:45.220]  例如建築技術本身的技術 都是科技之一
[00:01:45.220 --> 00:01:48.220]  有位加拿大的哲學家 George Grant
[00:01:48.220 --> 00:01:52.680]  他就觀察到現代科技主要的目的
[00:01:52.680 --> 00:01:55.300]  就是要來掌控人類和大自然
[00:01:55.300 --> 00:01:58.880]  他就說是做人類和非人類的天才
[00:01:58.880 --> 00:02:00.880]  從這個角度來講 其實發展科技
[00:02:00.880 --> 00:02:02.380]  不只是控制這個世界
[00:02:02.380 --> 00:02:05.640]  人類本身都是被操控的對象
[00:02:05.640 --> 00:02:11.640]  所以人類本身都會被科技影響
[00:02:11.640 --> 00:02:14.260]  其實科技發展和人類的關係
[00:02:14.260 --> 00:02:18.180]  從來都不是單向人類去發展和運用科技
[00:02:18.180 --> 00:02:21.920]  我們運用科技 科技都改變我們
[00:02:21.920 --> 00:02:24.380]  簡單來說就是我們用錘子打得多
[00:02:24.380 --> 00:02:26.080]  手都會起疹
[00:02:26.080 --> 00:02:30.080]  所以我想今天如果從小到大
[00:02:30.080 --> 00:02:31.580]  已經開始不斷用手機
[00:02:31.580 --> 00:02:35.580]  我們可以想像他的腦袋起了多少疹
[00:02:35.580 --> 00:02:41.380]  不過話說回來 我們看回聖經的記載
[00:02:41.380 --> 00:02:45.380]  其實改變和控制物質世界
[00:02:45.380 --> 00:02:49.380]  科技這東西是上帝創造人的其中一個目的
[00:02:49.380 --> 00:02:53.380]  聖經說 神做人的時候已經吩咐他們要治理土地
[00:02:53.380 --> 00:02:55.880]  管理海裏面的魚 天空的鳥
[00:02:55.880 --> 00:02:58.880]  和地上各種活動的生物
[00:02:58.880 --> 00:03:02.880]  人類比起很多這些生物都軟弱
[00:03:02.880 --> 00:03:05.380]  所以當上帝吩咐我們去管理萬物
[00:03:05.380 --> 00:03:08.880]  是假設了我們必須要運用科技
[00:03:08.880 --> 00:03:11.380]  去管理給我們強大的事物
[00:03:11.380 --> 00:03:15.380]  《創世記》第二章更加清楚地指出
[00:03:15.380 --> 00:03:17.880]  科技是神賜給人的能力
[00:03:17.880 --> 00:03:23.880]  「神把那人安置在這些月 讓他耕耘」
[00:03:23.880 --> 00:03:27.380]  耕耘是一定需要用到一些工具或者方法
[00:03:27.380 --> 00:03:29.380]  所以人類是一定要用到科技
[00:03:29.380 --> 00:03:33.380]  才能夠完成上帝要我們做的使命
[00:03:33.380 --> 00:03:37.380]  而耶穌這個完美的人是一個木匠
[00:03:37.380 --> 00:03:41.380]  或者工匠 看看你怎樣去翻譯
[00:03:41.380 --> 00:03:43.380]  是一個用科技的人
[00:03:43.380 --> 00:03:47.380]  所以如果用時間長短去計算
[00:03:47.380 --> 00:03:49.380]  耶穌三十多歲的人生
[00:03:49.380 --> 00:03:53.380]  其實用雙手去改變石頭或者木頭
[00:03:53.380 --> 00:03:56.380]  是比改變人的生命多
[00:03:56.380 --> 00:03:58.380]  不過當罪進入世界
[00:03:58.380 --> 00:04:01.880]  整個塑造世界都受影響 包括科技
[00:04:01.880 --> 00:04:03.880]  當亞多考了犯罪之後
[00:04:03.880 --> 00:04:05.380]  他們怎樣呢?
[00:04:05.380 --> 00:04:08.380]  他們說眼睛開了 知道自己赤身露體
[00:04:08.380 --> 00:04:11.880]  就偏織無花果的葉子為自己造成裙子
[00:04:11.880 --> 00:04:14.880]  去遮掩犯罪的羞恥
[00:04:14.880 --> 00:04:17.880]  偏織 改變物質世界都是科技之一
[00:04:17.880 --> 00:04:20.380]  人用科技去隱藏自己的罪
[00:04:20.380 --> 00:04:23.380]  到了巴別塔的時代更加清楚
[00:04:23.380 --> 00:04:27.380]  人用科技去燒磚建造塔
[00:04:27.380 --> 00:04:30.380]  就算自己成為世界的主宰
[00:04:30.380 --> 00:04:34.380]  人的罪性都透過科技去顯露
[00:04:34.380 --> 00:04:35.880]  所以當我們這樣看的時候
[00:04:35.880 --> 00:04:39.880]  科技一方面是神賜給我們的恩賜
[00:04:39.880 --> 00:04:42.880]  令我們可以按著他的吩咐去管理世界
[00:04:42.880 --> 00:04:44.880]  做福萬物 另一方面
[00:04:44.880 --> 00:04:47.880]  科技也是被罪影響可以帶來破壞
[00:04:47.880 --> 00:04:48.880]  所以簡單來說
[00:04:48.880 --> 00:04:51.880]  我們不應該或不能完全拋棄科技
[00:04:51.880 --> 00:04:54.880]  也不能完全擁抱科技
[00:04:54.880 --> 00:04:58.880]  無論是發展還是應用都要細心分辨
[00:04:58.880 --> 00:05:00.880]  不過問題真的沒那麼簡單
[00:05:00.880 --> 00:05:02.880]  這麼容易分辨
[00:05:02.880 --> 00:05:06.880]  我們一定要考慮兩個因素
[00:05:06.880 --> 00:05:08.880]  一個是二次世界複雜
[00:05:08.880 --> 00:05:10.380]  我們常說分清楚就行
[00:05:10.380 --> 00:05:11.880]  其實真的沒那麼容易
[00:05:11.880 --> 00:05:15.880]  我們沒可能把科技的善惡簡單分辨
[00:05:15.880 --> 00:05:18.880]  尤其是當我們面對現在這麼複雜的AI
[00:05:18.880 --> 00:05:19.880]  這些東西的時候
[00:05:19.880 --> 00:05:21.880]  怎麼細分呢
[00:05:21.880 --> 00:05:24.880]  第二 剛才Felix也有提到
[00:05:24.880 --> 00:05:28.880]  科技其實不是簡單的工具
[00:05:28.880 --> 00:05:33.880]  其實它有反過來操控人的本質
[00:05:33.880 --> 00:05:35.880]  Technology system 它有這樣說
[00:05:35.880 --> 00:05:38.880]  所以我們可以知道
[00:05:38.880 --> 00:05:41.380]  當我們在科技的世界生活的時候
[00:05:41.380 --> 00:05:43.880]  其實我們平時的思想習慣
[00:05:43.880 --> 00:05:47.880]  甚至社會文化都深深被科技影響
[00:05:47.880 --> 00:05:50.880]  令我們很客觀地去批判科技
[00:05:50.880 --> 00:05:53.880]  或者批判AI其實一點都不容易
[00:05:53.880 --> 00:05:58.880]  我們怎樣去思考科技或者AI呢
[00:05:58.880 --> 00:05:59.880]  時間很有限
