
[00:00:00.000 --> 00:00:09.860]  各位弟兄姊妹、各位來賓
[00:00:09.860 --> 00:00:10.960]  午安
[00:00:10.960 --> 00:00:12.960]  歡迎來到中國神學研究院
[00:00:12.960 --> 00:00:16.640]  出席李思敬博士院長榮休講座
[00:00:16.640 --> 00:00:19.480]  我是王國衛,是忠臣的院長
[00:00:19.480 --> 00:00:21.880]  今天見到很多熟悉的臉紅
[00:00:21.880 --> 00:00:27.160]  都是忠臣大家庭的成員
[00:00:27.160 --> 00:00:29.520]  感謝上帝今天讓我們能夠聚首一堂
[00:00:29.520 --> 00:00:31.520]  不過我想更加重要的是
[00:00:31.520 --> 00:00:33.960]  今天給我們機會一起去慶祝
[00:00:33.960 --> 00:00:39.560]  李思敬榮休院長對神學教育和忠臣的貢獻
[00:00:39.560 --> 00:00:42.520]  感謝上主賜給我們一位忠心
[00:00:42.520 --> 00:00:44.960]  和很有恩賜的僕人
[00:00:44.960 --> 00:00:46.400]  今天的講座題目是
[00:00:46.400 --> 00:00:50.240]  回到未來,從啟示錄到創世記
[00:00:50.240 --> 00:00:52.840]  分今天下午和晚上兩場
[00:00:52.840 --> 00:00:57.200]  大家會留意到題目是從啟示錄到創世記
[00:00:57.200 --> 00:01:00.760]  而不是聖經的次序從創世記到啟示錄
[00:01:00.760 --> 00:01:03.400]  所以今天下午第一個的題目是
[00:01:03.400 --> 00:01:05.600]  來看高揚的妻
[00:01:05.600 --> 00:01:09.640]  啟示錄第21章,三個舊約典故
[00:01:09.640 --> 00:01:14.120]  講座的程序我們首先會邀請李思敬博士到主講
[00:01:14.120 --> 00:01:16.960]  然後我們今天很榮幸請到
[00:01:16.960 --> 00:01:21.840]  信義中神學院舊約榮休教授戴浩輝博士回應
[00:01:21.840 --> 00:01:24.240]  之後有一個答問的時間
[00:01:24.240 --> 00:01:28.040]  我會介紹一下答問時間的程序
[00:01:28.040 --> 00:01:31.120]  不過當大家去聆聽的時候
[00:01:31.120 --> 00:01:33.280]  我們先去想一想有什麼問題
[00:01:33.280 --> 00:01:35.400]  大家去討論和分享
[00:01:35.400 --> 00:01:39.240]  我首先介紹李思敬榮休院長
[00:01:39.240 --> 00:01:42.120]  李思敬博士生於一個牧師的家庭
[00:01:42.120 --> 00:01:44.520]  高中就清楚蒙召
[00:01:44.520 --> 00:01:46.920]  70年代入讀香港大學
[00:01:46.920 --> 00:01:50.480]  主修中國和英國文學
[00:01:50.480 --> 00:01:56.120]  第一年級的時候在大學團契研究聖經查考摩斯書
[00:01:56.120 --> 00:02:00.480]  自此與舊約聖經結下不解之緣
[00:02:00.480 --> 00:02:03.920]  他曾經任職香港的廉政公署
[00:02:03.920 --> 00:02:08.040]  之後去到英國美國公讀舊約和系統神學
[00:02:08.040 --> 00:02:11.880]  在香港和溫哥華有六年的木匯時間
[00:02:11.880 --> 00:02:18.080]  曾經兼任中國神學研究院維珍神學院的合作教授
[00:02:18.080 --> 00:02:24.600]  1993年在蘇格蘭愛丁堡大學完成了舊約哲學博士課程
[00:02:24.600 --> 00:02:26.280]  之後加入了中神
[00:02:26.280 --> 00:02:28.000]  出任教務長
[00:02:28.000 --> 00:02:30.480]  後來在05年移居多倫多監
[00:02:30.480 --> 00:02:34.360]  加入了城北華人基督教會的顧問牧師
[00:02:34.360 --> 00:02:37.160]  加拿大華人神學院的合作教授
[00:02:37.160 --> 00:02:40.120]  聖經新學院亦管舊約的主編
[00:02:40.120 --> 00:02:47.080]  李博士曾經在2013至2021年出任中神院長
[00:02:47.080 --> 00:02:51.120]  和林高傑德教席聖經科的教授
[00:02:51.120 --> 00:02:54.080]  2014年由宣讀會香港區聯會
[00:02:54.080 --> 00:02:57.000]  和宣讀會沙田堂按立為牧師
[00:02:57.000 --> 00:02:58.560]  出版有很多 包括
[00:02:58.560 --> 00:03:04.080]  Creation and Redemption in Isaiah 40-55
[00:03:04.080 --> 00:03:07.400]  因願承受論究約
[00:03:07.400 --> 00:03:10.200]  中文聖經注釋約拿書
[00:03:10.200 --> 00:03:13.400]  16條在教會不敢問的問題
[00:03:13.400 --> 00:03:16.640]  五經行 妥拉中的生命智慧
[00:03:16.640 --> 00:03:21.240]  並且有250多個港島錄音
[00:03:21.240 --> 00:03:24.680]  之前的都是官方的介紹
[00:03:24.680 --> 00:03:27.760]  以下我分享一下
[00:03:27.760 --> 00:03:31.440]  我身為司儀院長的學生同工
[00:03:31.440 --> 00:03:36.720]  和近一年多做了接班人的點滴
[00:03:36.720 --> 00:03:41.320]  第一次近距離接觸司儀院長是2002年
[00:03:41.320 --> 00:03:44.760]  那時我參加中神的獻身營
[00:03:44.760 --> 00:03:48.040]  司儀院長是中神的教務長
[00:03:48.040 --> 00:03:49.560]  在營會中分享了
[00:03:49.560 --> 00:03:52.240]  《列王記》下四章一至六節
[00:03:52.240 --> 00:03:54.760]  以利沙幫助窮寡婦
[00:03:54.760 --> 00:03:58.440]  有油可以還債的經文
[00:03:58.440 --> 00:03:59.920]  非常印象深刻
[00:03:59.920 --> 00:04:01.760]  司儀院長的原文聖經
[00:04:01.760 --> 00:04:04.680]  發展出一個激動人心的訊息
[00:04:04.680 --> 00:04:08.040]  幫我解開了心裏很多的難阻
[00:04:08.040 --> 00:04:10.880]  我接著就進了神學院進修
[00:04:10.880 --> 00:04:12.080]  第二個片段是
[00:04:12.080 --> 00:04:14.080]  當我神學畢業後在教會侍奉
[00:04:14.080 --> 00:04:18.840]  有一段時間考慮是否應該加入神學教育
[00:04:18.840 --> 00:04:21.160]  還是留在教會裡募會呢?
[00:04:21.160 --> 00:04:23.080]  我找司儀院長聊天
[00:04:23.080 --> 00:04:24.600]  我記得他這樣問我
[00:04:24.600 --> 00:04:27.080]  他說「十年後你想在教會門口握手
[00:04:27.080 --> 00:04:31.080]  還是在課室裡做教書培育下一代呢?」
[00:04:31.080 --> 00:04:32.360]  這也提醒我
[00:04:32.360 --> 00:04:37.680]  如何檢視我自己心裏的願景
[00:04:37.680 --> 00:04:42.160]  慢慢地我確立了往後一些的照明
[00:04:42.160 --> 00:04:44.640]  最終就站在這裏
[00:04:44.640 --> 00:04:45.800]  第三個片段是
[00:04:45.800 --> 00:04:48.840]  當我回到忠臣做老師的時候
[00:04:48.840 --> 00:04:53.320]  幾年前我們教授團一起設計新課程
[00:04:53.320 --> 00:04:54.960]  那時候我們都覺得新課程
[00:04:54.960 --> 00:04:59.720]  應該不需要被舊的框架框住
[00:04:59.720 --> 00:05:02.280]  不過當我們有一次圍在一起
[00:05:02.280 --> 00:05:05.880]  對著白板去想新課程的框架是怎樣的時候
[00:05:05.880 --> 00:05:07.840]  大家都好像被舊的框住一樣
[00:05:07.840 --> 00:05:09.920]  但司儀院長那時候很記得
[00:05:09.920 --> 00:05:13.320]  他拿起一支筆在白板上畫了一個
[00:05:13.320 --> 00:05:17.200]  讓大家非常驚訝而非常突破性的框架
[00:05:17.200 --> 00:05:18.880]  深刻印象
