
[00:00:00.000 --> 00:00:03.000]  從1996年開始
[00:00:03.000 --> 00:00:07.000]  中國神學研究院的開學崇拜
[00:00:07.000 --> 00:00:10.000]  負責正道
[00:00:10.000 --> 00:00:17.000]  就是我們教授團老師輪流的責任
[00:00:17.000 --> 00:00:23.000]  今年輪到李耀坤博士
[00:00:27.000 --> 00:00:30.000]  當然這幅才是正經的
[00:00:30.000 --> 00:00:34.000]  李耀坤博士是我們忠臣趙淑榮
[00:00:34.000 --> 00:00:37.000]  霍佩芳教席副教授
[00:00:37.000 --> 00:00:43.000]  也是我們信仰及公共價值研究中心的主任
[00:00:43.000 --> 00:00:46.000]  這些我都可以在網上知道
[00:00:46.000 --> 00:00:49.000]  有沒有其他的介紹呢
[00:00:49.000 --> 00:00:53.000]  李耀坤博士是90年代
[00:00:53.000 --> 00:00:58.000]  我們忠臣的傑出校友之一
[00:00:58.000 --> 00:01:01.000]  他是93年入學
[00:01:01.000 --> 00:01:02.000]  聽說入學的時候
[00:01:02.000 --> 00:01:05.000]  他說他要讀聖經科
[00:01:05.000 --> 00:01:10.000]  畢業之後
[00:01:10.000 --> 00:01:14.000]  他在甘巴倫長老會侍奉
[00:01:14.000 --> 00:01:16.000]  公元2000年
[00:01:16.000 --> 00:01:20.000]  丹尼爾老師去到愛丁堡大學
[00:01:20.000 --> 00:01:24.000]  開始他的博士研究
[00:01:24.000 --> 00:01:28.000]  師從Professor David Wright
[00:01:28.000 --> 00:01:35.000]  是愛丁堡奧古斯丁和嘉爾文的權威學者
[00:01:35.000 --> 00:01:38.000]  所以他回來2005年
[00:01:38.000 --> 00:01:41.000]  從忠臣開始任教神學科
[00:01:41.000 --> 00:01:46.000]  也質問他是余牧師的接班人
[00:01:48.000 --> 00:01:54.000]  如果你查一下忠臣的網站
[00:01:54.000 --> 00:02:00.000]  這是我們同工有一次祈禱會考我們的冷知識
[00:02:00.000 --> 00:02:08.000]  原來忠臣網站最多講座的影片的
[00:02:08.000 --> 00:02:10.000]  不是院長
[00:02:10.000 --> 00:02:12.000]  是丹尼爾老師
[00:02:12.000 --> 00:02:16.000]  所以今晚我們很高興
[00:02:16.000 --> 00:02:18.000]  終於輪到他了
[00:02:18.000 --> 00:02:19.000]  剛剛抹了汗
[00:02:19.000 --> 00:02:21.000]  他要準備上來解釋
[00:02:21.000 --> 00:02:24.000]  為什麼他改了他的題目
[00:02:24.000 --> 00:02:27.000]  今晚的題目不是印出來的
[00:02:27.000 --> 00:02:32.000]  我們把時間公敬交給丹尼爾老師
[00:02:32.000 --> 00:02:33.000]  No
[00:02:33.000 --> 00:02:41.000]  多謝院長的介紹
[00:02:41.000 --> 00:02:44.000]  這樣介紹想不抹汗都很難
[00:02:45.000 --> 00:02:48.000]  我是改了題目
[00:02:48.000 --> 00:02:53.000]  最初的題目是長康裡面的血的呼號
[00:02:53.000 --> 00:02:57.000]  一個這麼驚嚇的講題
[00:02:57.000 --> 00:03:00.000]  我怕嚇到新同學就不太好
[00:03:00.000 --> 00:03:02.000]  因為今天才剛開學
[00:03:02.000 --> 00:03:06.000]  雖然忠臣的確有很多Killers
[00:03:06.000 --> 00:03:09.000]  大家還是要小心一點
[00:03:09.000 --> 00:03:14.000]  但我選擇創世紀這段經文
[00:03:14.000 --> 00:03:17.000]  最主要是想和大家在今晚
[00:03:17.000 --> 00:03:20.000]  透過聖經思想一下
[00:03:20.000 --> 00:03:22.000]  在創世紀給我們看的
[00:03:22.000 --> 00:03:26.000]  關於聖經如何看文明的視角
[00:03:26.000 --> 00:03:28.000]  所以最後我想
[00:03:28.000 --> 00:03:31.000]  不如轉回一個比較長一點
[00:03:31.000 --> 00:03:33.000]  比較clumsy一點
[00:03:33.000 --> 00:03:36.000]  不過比較回應得準確一點
[00:03:36.000 --> 00:03:37.000]  我想講的東西
[00:03:37.000 --> 00:03:40.000]  是文明背後的血和記號
[00:03:40.000 --> 00:03:43.000]  我們在聆聽上主的話之前
[00:03:43.000 --> 00:03:45.000]  我們一起再做一個禱告
[00:03:45.000 --> 00:03:48.000]  創造天地的主要是
[00:03:48.000 --> 00:03:51.000]  我們在座每一個的天父
[00:03:51.000 --> 00:03:54.000]  你的說話每一句都是帶著能力
[00:03:54.000 --> 00:03:56.000]  也都帶著你的恩典
[00:03:56.000 --> 00:03:58.000]  所以我們在這裡等候
[00:03:58.000 --> 00:04:00.000]  你向我們每一個發出
[00:04:00.000 --> 00:04:02.000]  你自己寶貴的說話
[00:04:02.000 --> 00:04:03.000]  我們懇求你
[00:04:03.000 --> 00:04:06.000]  因著你愛子耶穌基督的緣故
[00:04:06.000 --> 00:04:08.000]  口口的囂冠你的聖靈
[00:04:08.000 --> 00:04:10.000]  運行在我們當中
[00:04:10.000 --> 00:04:11.000]  賜給我們有悟性
[00:04:11.000 --> 00:04:13.000]  叫我們能夠聽得明白
[00:04:13.000 --> 00:04:15.000]  也都聽得入心
[00:04:15.000 --> 00:04:17.000]  並且我們聽得到之後
[00:04:17.000 --> 00:04:19.000]  我們思考在我們的生命
[00:04:19.000 --> 00:04:20.000]  在我們的社會
[00:04:20.000 --> 00:04:22.000]  在這個世界當中
[00:04:22.000 --> 00:04:24.000]  如何去回應你
[00:04:24.000 --> 00:04:26.000]  和見證你的真實
[00:04:26.000 --> 00:04:28.000]  天父願我口中的說話
[00:04:28.000 --> 00:04:29.000]  我們眾弟兄姊妹
