
[00:00:00.000 --> 00:00:02.000]  (中辰的開始是一個意象)
[00:00:02.000 --> 00:00:04.000]  (可以說是一個夢想)
[00:00:04.000 --> 00:00:06.000]  (是一個抱負)
[00:00:06.000 --> 00:00:08.000]  (我1966年)
[00:00:08.000 --> 00:00:10.000]  (又去美國讀神學)
[00:00:10.000 --> 00:00:12.000]  (當時我們有幾個中國學生)
[00:00:12.000 --> 00:00:14.000]  (不多的)
[00:00:14.000 --> 00:00:16.000]  (大家很關心中國)
[00:00:16.000 --> 00:00:18.000]  (因為當時剛好是文革的時期)
[00:00:18.000 --> 00:00:20.000]  (我們沒有什麼教育的消息)
[00:00:20.000 --> 00:00:22.000]  (但當時有很多人)
[00:00:22.000 --> 00:00:24.000]  (就在中國讀神學)
[00:00:24.000 --> 00:00:26.000]  (所以就有很多人來找我)
[00:00:26.000 --> 00:00:28.000]  (我當時就在中國讀神學)
[00:00:28.000 --> 00:00:30.000]  (我們沒有什麼教育的消息)
[00:00:30.000 --> 00:00:32.000]  (談了一會兒之後)
[00:00:32.000 --> 00:00:34.000]  (大家就有一個共同的負擔)
[00:00:34.000 --> 00:00:36.000]  (就好像神給我們一個意象)
[00:00:36.000 --> 00:00:38.000]  (我們為了善祈禱)
[00:00:38.000 --> 00:00:40.000]  (就成立了一個叫做)
[00:00:40.000 --> 00:00:42.000]  (神學院計劃)
[00:00:42.000 --> 00:00:44.000]  (Seminary Project)
[00:00:44.000 --> 00:00:46.000]  (去籌備這件事)
[00:00:46.000 --> 00:00:48.000]  (目的就是要建立一間)
[00:00:48.000 --> 00:00:50.000]  (為大學畢業生)
[00:00:50.000 --> 00:00:52.000]  (而設的神學院)
[00:00:52.000 --> 00:00:54.000]  (是以聖經做基礎的)
[00:00:54.000 --> 00:00:56.000]  (是不分宗派的)
[00:00:56.000 --> 00:00:58.000]  (是要本色化)
[00:00:58.000 --> 00:01:00.000]  (為中國教會而開辦的神學院)
[00:01:00.000 --> 00:01:04.000]  (我們中神1975年)
[00:01:04.000 --> 00:01:06.000]  (在香港開始的時候)
[00:01:06.000 --> 00:01:08.000]  (我們一共有11位)
[00:01:08.000 --> 00:01:10.000]  (這個委生團的成員)
