
[00:00:00.000 --> 00:00:05.000]  《耶利米哀歌》第27節
[00:00:05.000 --> 00:00:07.000]  在《舊約聖經》當中
[00:00:07.000 --> 00:00:13.000]  第三段關於人生上半場的經文
[00:00:13.000 --> 00:00:17.000]  特別來到《先知書》
[00:00:17.000 --> 00:00:19.000]  好像跳出來一樣
[00:00:19.000 --> 00:00:25.000]  《耶利米哀歌》第三章第27節
[00:00:25.000 --> 00:00:40.000]  人在幽連附厄,這原是好的
[00:00:40.000 --> 00:00:43.000]  讀希伯來的詩歌
[00:00:43.000 --> 00:00:46.000]  你一定要記得它的結構
[00:00:46.000 --> 00:00:50.000]  否則的話,你就不知道他在說什麼
[00:00:50.000 --> 00:00:55.000]  《耶利米哀歌》第三章總共有66節
[00:00:55.000 --> 00:00:57.000]  原因很簡單
[00:00:57.000 --> 00:01:00.000]  因為它是一首希伯來的字母詩
[00:01:00.000 --> 00:01:05.000]  希伯來的字母不是英文26個字母
[00:01:05.000 --> 00:01:08.000]  是22個字母
[00:01:08.000 --> 00:01:13.000]  每三節是用同一個字母
[00:01:13.000 --> 00:01:18.000]  作為開頭第一個字的第一個字母
[00:01:18.000 --> 00:01:25.000]  所以27節其實應該由25節開始讀
[00:01:25.000 --> 00:01:27.000]  除得盡三
[00:01:27.000 --> 00:01:30.000]  所以25節
[00:01:30.000 --> 00:01:38.000]  凡等候耶和華心裡尋求他的,耶和華必施恩給他
[00:01:38.000 --> 00:01:45.000]  人仰望耶和華,靜默等候他的救恩,這原是好的
[00:01:45.000 --> 00:01:53.000]  人在幽連附厄,這原是好的
[00:01:53.000 --> 00:01:56.000]  中文聖經還是未能譯得盡
[00:01:56.000 --> 00:02:00.000]  因為三節開頭是同一個字母
[00:02:00.000 --> 00:02:02.000]  希伯來文"tov"
[00:02:02.000 --> 00:02:03.000]  好
[00:02:03.000 --> 00:02:05.000]  第一句我們找不到
[00:02:05.000 --> 00:02:07.000]  藏在哪裡呢?
[00:02:07.000 --> 00:02:10.000]  耶和華必施恩給他
[00:02:10.000 --> 00:02:13.000]  其實原本希伯來文是放在開頭的
[00:02:13.000 --> 00:02:17.000]  耶和華會對他好
[00:02:17.000 --> 00:02:19.000]  因為他等候耶和華
[00:02:19.000 --> 00:02:22.000]  他心裡尋求他
[00:02:22.000 --> 00:02:27.000]  人這樣仰望耶和華,靜默等候他的救恩
[00:02:27.000 --> 00:02:28.000]  好
[00:02:28.000 --> 00:02:32.000]  人在幽連附厄
[00:02:32.000 --> 00:02:34.000]  好
[00:02:34.000 --> 00:02:35.000]  懂得讀嗎?
[00:02:35.000 --> 00:02:38.000]  這三句話都是說
[00:02:38.000 --> 00:02:39.000]  好
[00:02:39.000 --> 00:02:43.000]  人在幽連附厄
[00:02:43.000 --> 00:02:46.000]  有什麼好?
[00:02:46.000 --> 00:02:48.000]  什麼是附厄?
[00:02:48.000 --> 00:02:50.000]  厄
[00:02:50.000 --> 00:02:52.000]  有個"厄"字在哪裡?
[00:02:52.000 --> 00:02:54.000]  所以不是困厄
[00:02:54.000 --> 00:02:57.000]  不是困難、痛苦
[00:02:57.000 --> 00:03:00.000]  這個厄是一個比喻
[00:03:00.000 --> 00:03:04.000]  這個厄說的是什麼?
[00:03:04.000 --> 00:03:06.000]  如果我們再繼續讀下去
[00:03:06.000 --> 00:03:10.000]  第28節到30節
[00:03:10.000 --> 00:03:12.000]  就是下一個字母
[00:03:12.000 --> 00:03:15.000]  那三句詩歌
[00:03:15.000 --> 00:03:16.000]  這裡說
[00:03:16.000 --> 00:03:19.000]  他當獨坐無言
[00:03:19.000 --> 00:03:23.000]  因為這是耶和華加在他身上的
[00:03:23.000 --> 00:03:26.000]  他當口貼塵埃
[00:03:26.000 --> 00:03:28.000]  或者有子亡
[00:03:28.000 --> 00:03:33.000]  他當有人任憑人打他的衰俠
[00:03:33.000 --> 00:03:37.000]  要滿壽靈欲
[00:03:37.000 --> 00:03:41.000]  這是一個受苦的厄
[00:03:41.000 --> 00:03:46.000]  厄是說牛耕田的時候
[00:03:46.000 --> 00:03:50.000]  農夫將木的厄
[00:03:50.000 --> 00:03:53.000]  加在他的頸上
[00:03:53.000 --> 00:04:00.000]  這樣來控制這隻牛在田裡耕作
[00:04:00.000 --> 00:04:03.000]  所以厄很重要
[00:04:03.000 --> 00:04:05.000]  最重要的地方就是
[00:04:05.000 --> 00:04:08.000]  他一定要度身訂造
[00:04:08.000 --> 00:04:11.000]  沒有Mass Production
[00:04:11.000 --> 00:04:13.000]  以前香港新蒲崗
[00:04:13.000 --> 00:04:16.000]  那些啤索膠工廠
[00:04:16.000 --> 00:04:18.000]  每個工仔都是這樣的
[00:04:18.000 --> 00:04:19.000]  不是
[00:04:19.000 --> 00:04:21.000]  厄如果做得不好
[00:04:21.000 --> 00:04:26.000]  牛的頸就會血流不止
[00:04:26.000 --> 00:04:27.000]  怎樣耕種
