
[00:00:00.000 --> 00:00:03.640]  歡迎大家來到今晚中國神學研究院
[00:00:03.640 --> 00:00:05.400]  所舉辦的講座
[00:00:05.400 --> 00:00:08.440]  「率英在石,便為有福」
[00:00:08.440 --> 00:00:11.440]  奏坐師的詮釋和形容
[00:00:11.440 --> 00:00:15.640]  我想今晚大家仔仔一堂聚集在這個地方
[00:00:15.640 --> 00:00:17.640]  其實都很想明白到
[00:00:17.640 --> 00:00:19.140]  這一類的詩歌
[00:00:19.140 --> 00:00:21.940]  如何在我們今天這個社會裏面
[00:00:21.940 --> 00:00:23.940]  可以用得著
[00:00:23.940 --> 00:00:26.340]  不過在我們進入這個正題之前
[00:00:26.340 --> 00:00:28.640]  先自我介紹一下我自己
[00:00:28.640 --> 00:00:30.140]  我叫張志聰
[00:00:30.140 --> 00:00:34.040]  是中國神學研究院的舊約科助理教授
[00:00:34.040 --> 00:00:35.540]  我們另一位的講員
[00:00:35.540 --> 00:00:36.640]  楊碩昌牧師
[00:00:36.640 --> 00:00:38.040]  我們的榮譽項目
[00:00:38.040 --> 00:00:39.740]  在我們當中
[00:00:39.740 --> 00:00:42.340]  今晚會從兩個不同的角度
[00:00:42.340 --> 00:00:45.840]  嘗試和大家分享這個主題
[00:00:45.840 --> 00:00:49.340]  今晚我們會先由我開始
[00:00:49.340 --> 00:00:51.840]  去講這個題目
[00:00:51.840 --> 00:00:58.340]  然後楊醫會承接去講另一首詩歌
[00:00:58.340 --> 00:01:01.140]  然後我們兩個分別講完之後
[00:01:01.140 --> 00:01:03.640]  我們會有一段答問的時間
[00:01:03.640 --> 00:01:07.140]  不是我問他,他回答我
[00:01:07.140 --> 00:01:09.340]  而是我們歡迎大家
[00:01:09.340 --> 00:01:13.340]  會有一個詢問的時間
[00:01:13.340 --> 00:01:16.640]  所以我們稍後會多講一點
[00:01:16.640 --> 00:01:19.040]  這段答問時間的安排
[00:01:19.040 --> 00:01:24.540]  不過在我們正式開始今晚的講座之前
[00:01:24.540 --> 00:01:26.540]  我們一起同心有其答
[00:01:27.540 --> 00:01:31.540]  天會上帝,我們來到你自己面前
[00:01:31.540 --> 00:01:33.540]  我要感謝你
[00:01:33.540 --> 00:01:36.540]  將我們放在一個
[00:01:36.540 --> 00:01:39.540]  這個時代當中
[00:01:39.540 --> 00:01:41.540]  這個可能對我們來說
[00:01:41.540 --> 00:01:43.540]  覺得很陌生的時代
[00:01:43.540 --> 00:01:45.540]  這個對我們來說
[00:01:45.540 --> 00:01:48.540]  可能是我們很難忘的時代
[00:01:48.540 --> 00:01:50.540]  我們很難忘的時代
[00:01:50.540 --> 00:01:52.540]  我們很難忘的時代
[00:01:53.540 --> 00:01:55.540]  這個對我們來說
[00:01:55.540 --> 00:01:57.540]  可能是我們很希望
[00:01:57.540 --> 00:01:59.540]  從你的話語當中
[00:01:59.540 --> 00:02:01.540]  再去尋找出路
[00:02:01.540 --> 00:02:03.540]  以致我們懂得
[00:02:03.540 --> 00:02:06.540]  怎樣可以面對這個時代的人與事
[00:02:06.540 --> 00:02:10.540]  將我們今天聚集在你自己面前
[00:02:10.540 --> 00:02:13.540]  我們很想從你的說話當中
[00:02:13.540 --> 00:02:15.540]  去明白你更加多
[00:02:15.540 --> 00:02:18.540]  求你親自的在我們當中
[00:02:18.540 --> 00:02:21.540]  在弟兄姊妹的心當中去工作
[00:02:22.540 --> 00:02:24.540]  我們願意在這個聚會
[00:02:24.540 --> 00:02:27.540]  將人帶到上帝你自己面前
[00:02:27.540 --> 00:02:29.540]  聽我們祈禱
[00:02:29.540 --> 00:02:32.540]  奉耶穌基督你自己得勝明智而救
[00:02:32.540 --> 00:02:33.540]  阿們
[00:02:33.540 --> 00:02:49.540]  如果說到奏坐師
[00:02:49.540 --> 00:02:51.540]  我想這是教會傳統裏面
