
[00:00:00.000 --> 00:00:16.000]  請朱牧師和Gin上台,如果想要發問的人可以站在台中間提出你的發問。
[00:00:16.000 --> 00:00:20.000]  (朱牧師)我可以發問嗎?
[00:00:20.000 --> 00:00:22.000]  你發問嗎?我以為你半咪的。
[00:00:22.000 --> 00:00:24.000]  (朱牧師)很簡單的,我可以發問。
[00:00:24.000 --> 00:00:26.000]  好,那你發問吧。
[00:00:26.000 --> 00:00:36.000]  我想問一個問題,朱牧師你可否提出具體建議教育和公共建立目的權,或是你可否分享一下這個題目。
[00:00:36.000 --> 00:00:40.000]  (朱牧師)即是你叫我講我第三個問題?
[00:00:40.000 --> 00:00:44.000]  簡單地講講你將會講什麼。
[00:00:44.000 --> 00:01:08.000]  (朱牧師)我真的很簡略,我想對我來說,什麼叫建立,就是我要釐清我要什麼,我要的權柄是用來港獨,不和港獨和deliver the word of God的其他東西,權柄我未必要。
[00:01:08.000 --> 00:01:27.000]  (朱牧師)有,ok,沒有,我不mind。所以在這樣的情況下,我要清楚distinguish這東西,就是權力,power,權柄authority,你要分清楚這幾樣東西。
[00:01:27.000 --> 00:01:44.000]  (朱牧師)當然對我來說,如果講我自己少少的經歷,就是我在澳洲教會的目會,我是去一間會眾祭的教會,即是信徒領袖帶領的。
[00:01:44.000 --> 00:01:51.000]  (朱牧師)而背景就是當我未到任之前,大概有兩年或三年時間,他們是沒有目者的。
[00:01:51.000 --> 00:02:04.000]  (朱牧師)即是當時的信徒領袖除了港獨之外,其他任何教會的大小事務,他們都做,而且做得很好,而且都話事的。
[00:02:04.000 --> 00:02:17.000]  (朱牧師)所以當我到任的時候,基本上我就不可能有任何的,或者不是很多我們一般認為所有的,需要有權力或者權柄。
[00:02:17.000 --> 00:02:39.000]  (朱牧師)但對我來說,我只需要一樣東西,就是他們讓我港獨,而且港獨很多道,一個月港三堂道,並且是還要英文堂的港獨,還要去分堂港獨,還有funeral,還有婦女團,還有上青團,還有青年團,還有洗禮班。
[00:02:39.000 --> 00:02:58.000]  (朱牧師)我很歡喜,我有機會爭取每一個機會,但當我這樣做的時候,突然之間會慢慢明白理解,原來這個傳道人,他是將聖經教導我們,塑造我們。
[00:02:58.000 --> 00:03:00.000]  (朱牧師)我覺得已經很好。
[00:03:00.000 --> 00:03:02.000]  (佳麗)可不可以問問題?
[00:03:02.000 --> 00:03:05.000]  (朱牧師)是,是,我不能問問題。
[00:03:05.000 --> 00:03:24.000]  (佳麗)我想追問一下,朱牧師,你怎麼看有些教會,信徒領袖執事,他們港獨,他們是否僭奪了牧者的權柄呢?還是他們有沒有這樣的權柄去做呢?
[00:03:24.000 --> 00:03:32.000]  (朱牧師)在我們教會當然有,我們有信徒領袖港獨,沒有問題的。他又說,我就說。
[00:03:32.000 --> 00:03:33.000]  (佳麗)大家鬥講。
[00:03:33.000 --> 00:03:43.000]  (朱牧師)沒有問題的,不過會眾大概可以pick up到,如果他有心學到的時候,大概可以pick up到,誰的港獨好一點。
[00:03:43.000 --> 00:04:02.000]  (朱牧師)其實聽眾的眼光,聽眾的耳朵是雪亮的,當然我不能否定是信徒領袖港獨一定差,我完全沒有這個意思,只不過是說我不排他,而且我也歡喜信徒領袖港獨。
[00:04:02.000 --> 00:04:04.000]  (佳麗)留給大家問。
[00:04:04.000 --> 00:04:14.000]  (朱牧師)其實我覺得Daniel找我做主持,因為他知道我有很多問題,其實我已經寫了七八點問題,但是我也不問了,我只是想。
[00:04:14.000 --> 00:04:27.000]  (朱牧師)中間有個麥克風,誰想問的?另外一個,你出來問就行了,不過我想問一下你們兩位,因為你們兩位,不知道Daniel是否去,我想給你們一個term,就是職場牧者這個問題。
[00:04:27.000 --> 00:04:44.000]  (朱牧師)職場牧者,其實職場裡面也有很多牧者,很多信徒其實是在職場裡面被牧養的,我想問朱牧師怎麼看這種term,職場牧者,Daniel又怎麼看職場牧者這種理解呢?
