
[00:00:00.000 --> 00:00:10.400]  大家好,歡迎參加由中國神學研究院生命之道舉辦的網上查經課程。
[00:00:10.400 --> 00:00:18.000]  我是林燕。這次我們一起學習的是雅歌,主題是《像極了愛情》。
[00:00:18.000 --> 00:00:20.000]  今天是第六課。
[00:00:20.000 --> 00:00:24.000]  我們先有一段安靜默想時間,
[00:00:24.000 --> 00:00:32.000]  願各位弟兄姐妹可以藉著背景音樂,預備心靈,準備自己進入神的話語當中。
[00:00:32.000 --> 00:00:44.000]  耶路撒冷的眾女子啊,這是我的良人,這是我的朋友。
[00:00:44.000 --> 00:00:47.000]  雅歌,五章十六節下。
[00:00:47.000 --> 00:00:49.000]  (音樂)
[00:00:49.000 --> 00:00:51.000]  (音樂)
[00:00:51.000 --> 00:00:53.000]  (音樂)
[00:00:53.000 --> 00:00:55.000]  (音樂)
[00:00:55.000 --> 00:00:57.000]  (音樂)
[00:00:57.000 --> 00:00:59.000]  (音樂)
[00:01:00.000 --> 00:01:02.000]  (音樂)
[00:01:03.000 --> 00:01:05.000]  (音樂)
[00:01:06.000 --> 00:01:08.000]  (音樂)
[00:01:09.000 --> 00:01:11.000]  (音樂)
[00:01:12.000 --> 00:01:14.000]  (音樂)
[00:01:15.000 --> 00:01:17.000]  (音樂)
[00:01:18.000 --> 00:01:20.000]  (音樂)
[00:01:21.000 --> 00:01:23.000]  (音樂)
[00:01:24.000 --> 00:01:26.000]  (音樂)
[00:01:27.000 --> 00:01:29.000]  (音樂)
[00:01:30.000 --> 00:01:32.000]  (音樂)
[00:01:33.000 --> 00:01:35.000]  (音樂)
[00:01:35.000 --> 00:01:38.000]  (音樂)
[00:01:38.000 --> 00:01:41.000]  (音樂)
[00:01:41.000 --> 00:01:44.000]  (音樂)
[00:01:44.000 --> 00:01:47.000]  (音樂)
[00:01:47.000 --> 00:01:50.000]  (音樂)
[00:01:50.000 --> 00:01:53.000]  (音樂)
[00:01:53.000 --> 00:01:56.000]  (音樂)
[00:01:56.000 --> 00:01:59.000]  (音樂)
[00:02:00.000 --> 00:02:02.260]  在凡人的世界中,你能看到云的美好。
[00:02:02.260 --> 00:02:04.760]  在凡人的世界中,你能看到云的美好。
[00:02:04.760 --> 00:02:07.000]  在凡人的世界中,你能看到云的美好。
[00:02:07.000 --> 00:02:09.000]  在凡人的世界中,你能看到云的美好。
[00:02:09.000 --> 00:02:11.000]  在凡人的世界中,你能看到云的美好。
[00:02:11.000 --> 00:02:13.000]  在凡人的世界中,你能看到云的美好。
[00:02:13.000 --> 00:02:15.000]  在凡人的世界中,你能看到云的美好。
[00:02:15.000 --> 00:02:17.000]  在凡人的世界中,你能看到云的美好。
[00:02:17.000 --> 00:02:19.000]  在凡人的世界中,你能看到云的美好。
[00:02:19.000 --> 00:02:21.000]  在凡人的世界中,你能看到云的美好。
[00:02:21.000 --> 00:02:23.000]  在凡人的世界中,你能看到云的美好。
[00:02:23.000 --> 00:02:25.000]  在凡人的世界中,你能看到云的美好。
[00:02:25.000 --> 00:02:27.000]  在凡人的世界中,你能看到云的美好。
[00:02:27.000 --> 00:02:29.000]  在凡人的世界中,你能看到云的美好。
[00:02:29.000 --> 00:02:31.000]  在凡人的世界中,你能看到云的美好。
[00:02:31.000 --> 00:02:33.000]  在凡人的世界中,你能看到云的美好。
[00:02:33.000 --> 00:02:35.000]  在凡人的世界中,你能看到云的美好。
[00:02:35.000 --> 00:02:37.000]  在凡人的世界中,你能看到云的美好。
[00:02:37.000 --> 00:02:39.000]  在凡人的世界中,你能看到云的美好。
[00:02:39.000 --> 00:02:41.000]  在凡人的世界中,你能看到云的美好。
[00:02:41.000 --> 00:02:43.000]  在凡人的世界中,你能看到云的美好。
[00:02:43.000 --> 00:02:45.000]  在凡人的世界中,你能看到云的美好。
[00:02:45.000 --> 00:02:47.000]  在凡人的世界中,你能看到云的美好。
[00:02:47.000 --> 00:02:49.000]  在凡人的世界中,你能看到云的美好。
[00:02:49.000 --> 00:02:51.000]  在凡人的世界中,你能看到云的美好。
[00:02:51.000 --> 00:02:53.000]  在凡人的世界中,你能看到云的美好。
[00:02:53.000 --> 00:02:55.000]  在凡人的世界中,你能看到云的美好。
[00:02:55.000 --> 00:02:57.000]  在凡人的世界中,你能看到云的美好。
[00:02:57.000 --> 00:02:59.000]  在凡人的世界中,你能看到云的美好。
[00:02:59.000 --> 00:03:01.000]  在凡人的世界中,你能看到云的美好。
