
[00:00:00.000 --> 00:00:03.680]  鼎姐妹,你喜歡聽故事嗎?
[00:00:03.680 --> 00:00:07.200]  我特別喜歡追求長篇故事
[00:00:07.200 --> 00:00:10.880]  由我小時候追求一集又一集的武俠小說
[00:00:10.880 --> 00:00:13.360]  到今天追求電視劇
[00:00:13.360 --> 00:00:17.280]  最吸引我的不單是故事的情節
[00:00:17.280 --> 00:00:24.160]  更是長篇劇集中人物性格的發展和改變
[00:00:24.160 --> 00:00:29.080]  古希臘哲學家亞歷斯多德曾經說
[00:00:29.080 --> 00:00:33.240]  每一個說得好的故事都教導我們一些東西
[00:00:33.240 --> 00:00:37.400]  啟示某些共通的人類的狀況
[00:00:37.400 --> 00:00:42.120]  其實不同的民族和文化都有他們的傳統故事
[00:00:42.120 --> 00:00:45.720]  反映著那個群體裏面的文化
[00:00:45.720 --> 00:00:51.080]  美國人的故事裏面很多的英雄或者超人
[00:00:51.080 --> 00:00:55.000]  到今天是整個軍團的超人
[00:00:55.000 --> 00:01:00.000]  日本人的故事往往是超人打外星的怪獸
[00:01:00.000 --> 00:01:07.120]  我想有時不多不少都反映這個民族對於外來侵略的戒心
[00:01:07.120 --> 00:01:10.560]  香港人又有甚麼故事呢?
[00:01:10.560 --> 00:01:14.160]  不可能你都會想起很多不同的故事
[00:01:14.160 --> 00:01:18.080]  或者其中一樣是麥兜的故事
[00:01:18.080 --> 00:01:24.200]  那麼基督徒我們的教會群體又有甚麼故事呢?
[00:01:24.200 --> 00:01:29.240]  或者我們馬上會想到聖經裏面其實很多人物的故事
[00:01:29.240 --> 00:01:33.360]  不同人物他們有正面有負面的
[00:01:33.360 --> 00:01:36.800]  全部都有血有肉是很真實的
[00:01:36.800 --> 00:01:41.680]  聖經的作者並沒有刻意去掩飾人生的起伏
[00:01:41.680 --> 00:01:46.680]  美善和醜惡都出現在聖經裏面的故事當中
[00:01:46.680 --> 00:01:52.880]  而我們就身處在這個歷史那個時代的延續裏面
[00:01:52.880 --> 00:01:57.080]  我們其實有一個共同故事是基督徒的共同故事
[00:01:57.080 --> 00:02:02.360]  就是上帝通過聖經的話語去啟示給我們知道的故事
[00:02:02.360 --> 00:02:08.200]  由創世到耶穌基督降生、受死、復活、升天
[00:02:08.200 --> 00:02:11.280]  而且之後還會再來
[00:02:11.280 --> 00:02:14.360]  這樣的話我們身處其中
[00:02:14.360 --> 00:02:16.680]  如何可以更加明白聖經
[00:02:16.680 --> 00:02:23.440]  而且在我們日常生活裏面去經歷上帝繼續編寫同類的
[00:02:23.440 --> 00:02:27.360]  在上帝裏面跟隨耶穌基督的故事
[00:02:27.360 --> 00:02:33.240]  我就想起一些弟兄姊妹跟我說過他們對讀聖經的反應
[00:02:33.240 --> 00:02:36.520]  第一件事就是聖經說甚麼呢?
[00:02:36.520 --> 00:02:38.040]  我讀不明白
[00:02:38.040 --> 00:02:40.240]  特別是一些初上的弟兄姊妹
[00:02:40.240 --> 00:02:43.080]  他們會告訴我讀極都讀不明白
[00:02:43.080 --> 00:02:45.760]  我就會鼓勵他們多讀幾次
[00:02:45.760 --> 00:02:48.200]  是一生都讀不完的
[00:02:48.200 --> 00:02:51.240]  第二有時有些弟兄姊妹說
[00:02:51.240 --> 00:02:53.360]  聖經是否可行?
[00:02:53.360 --> 00:02:55.000]  說就這樣說
[00:02:55.000 --> 00:02:56.840]  我的處境不同
[00:02:56.840 --> 00:02:58.600]  是否可行呢?
[00:02:58.600 --> 00:02:59.880]  第三個問題
[00:02:59.880 --> 00:03:02.280]  有時候聖經沒有說
[00:03:02.280 --> 00:03:03.960]  那怎算好呢?
[00:03:03.960 --> 00:03:09.720]  我今日就想跟弟兄姊妹一齊來想下這三個問題
[00:03:09.720 --> 00:03:12.760]  不知道你會不會有時想過
[00:03:12.760 --> 00:03:15.720]  為何有些牧師或聖經老師
[00:03:15.720 --> 00:03:17.320]  同一段聖經
[00:03:17.320 --> 00:03:19.480]  他們看出這麼多東西
[00:03:19.480 --> 00:03:23.640]  他們解經這麼全神而我們又看不到呢?
[00:03:23.640 --> 00:03:26.560]  我想其實可能有很多原因
[00:03:26.560 --> 00:03:28.960]  不過最少其中一個原因
[00:03:28.960 --> 00:03:33.880]  就是他們經過比較有系統性的神學訓練
[00:03:33.880 --> 00:03:36.000]  建立了一套比較全面的
[00:03:36.000 --> 00:03:40.720]  不同角度的神學觀和神學思考在他們背後
[00:03:40.720 --> 00:03:43.080]  所以除了進入聖經世界
[00:03:43.080 --> 00:03:47.080]  更加由聖經世界發現當中的真理
[00:03:47.080 --> 00:03:50.440]  對應著我們眼前的生活處境
[00:03:50.440 --> 00:03:52.920]  這個時代的情況
[00:03:52.920 --> 00:03:58.160]  引用一些例子或比喻來解釋給我們知道
[00:03:58.160 --> 00:04:01.840]  其實原來我們每個人都有對自己
[00:04:01.840 --> 00:04:05.960]  對於上帝和信仰的理解
