
[00:00:00.000 --> 00:00:09.000]  各位來賓各位校友各位老師各位同學
[00:00:09.000 --> 00:00:14.000]  代表中國神學研究院歡迎大家參加
[00:00:14.000 --> 00:00:22.000]  2022年兩年一度的萬崇仁教學講座
[00:00:22.000 --> 00:00:27.000]  這個講座是紀念在1989年到1991年
[00:00:27.000 --> 00:00:32.000]  在中間任教教木科的萬崇仁牧師
[00:00:32.000 --> 00:00:36.000]  我當年有幸受教於萬牧師
[00:00:36.000 --> 00:00:40.000]  我對他的印象是非常正面
[00:00:40.000 --> 00:00:42.000]  是一個謙謙君子
[00:00:42.000 --> 00:00:44.000]  有目者亦是一個學者
[00:00:44.000 --> 00:00:48.000]  很關心同學很溫文很盡責
[00:00:48.000 --> 00:00:54.000]  但很不幸他患上癌症後來離開世界
[00:00:54.000 --> 00:00:57.000]  雖然只是短短兩年的教學
[00:00:57.000 --> 00:01:02.000]  但當年我相信跟他接觸過的學生同學
[00:01:02.000 --> 00:01:07.000]  都有春風化雨的作用
[00:01:07.000 --> 00:01:11.000]  我們萬崇仁教學講座的主題
[00:01:11.000 --> 00:01:16.000]  今年主題是「輔導與牧養的反思」
[00:01:16.000 --> 00:01:23.000]  牧養和輔導是兩個獨立不同的專業範疇
[00:01:23.000 --> 00:01:27.000]  但其中有千絲萬縷的關係
[00:01:27.000 --> 00:01:32.000]  有時會產生不必要的混亂或誤解
[00:01:32.000 --> 00:01:34.000]  所以今年很好
[00:01:34.000 --> 00:01:39.000]  我們能夠在這兩個課題上做一些整合和反思
[00:01:39.000 --> 00:01:41.000]  當然我們特別榮幸
[00:01:41.000 --> 00:01:45.000]  邀請到好幾位在這兩方面
[00:01:45.000 --> 00:01:52.000]  有專業的研究和豐富閱歷的講員
[00:01:52.000 --> 00:01:56.000]  在我們中間一起研討
[00:01:56.000 --> 00:02:03.000]  我們很大期待這兩天的講座
[00:02:03.000 --> 00:02:08.000]  這個講座分為今天和明天兩天進行
[00:02:08.000 --> 00:02:11.000]  早上兩小時 下午兩小時
[00:02:11.000 --> 00:02:15.000]  早上十時至十二時 下午兩時至四時
[00:02:15.000 --> 00:02:17.000]  大概程序是這樣的
[00:02:17.000 --> 00:02:25.000]  主要講員會用四十五分鐘來分享研究心得或分享
[00:02:25.000 --> 00:02:28.000]  然後我休息十分鐘
[00:02:28.000 --> 00:02:34.000]  再有回應的講員大概用二十五分鐘左右的時間
[00:02:34.000 --> 00:02:37.000]  來做一些回應
[00:02:37.000 --> 00:02:41.000]  最後我們大概有四十五分鐘
[00:02:41.000 --> 00:02:46.000]  有些答問的時段 Q&A
[00:02:46.000 --> 00:02:48.000]  至於Q&A怎樣安排
[00:02:48.000 --> 00:02:51.000]  因為我們現在轉了在網上進行
[00:02:51.000 --> 00:02:55.000]  所以我們有一個WhatsApp號碼
[00:02:55.000 --> 00:03:00.000]  應該打了出來
[00:03:00.000 --> 00:03:05.000]  稍後就會看
[00:03:05.000 --> 00:03:07.000]  這個沒錯
[00:03:07.000 --> 00:03:11.000]  66022412這個WhatsApp號碼
[00:03:11.000 --> 00:03:16.000]  大家有問題可以聽的時候
[00:03:16.000 --> 00:03:18.000]  分享講員和回應講員
[00:03:18.000 --> 00:03:23.000]  有什麼問題可以將問題打上這個WhatsApp號碼
[00:03:23.000 --> 00:03:25.000]  我們專人來做一些整理
[00:03:25.000 --> 00:03:30.000]  然後按次序來回答
[00:03:30.000 --> 00:03:33.000]  今天是第一堂
[00:03:33.000 --> 00:03:36.000]  我們講題叫做
[00:03:36.000 --> 00:03:40.000]  目者在關顧目樣時的界線
[00:03:40.000 --> 00:03:44.000]  我們講完忠臣輔導科訪問教授
[00:03:44.000 --> 00:03:46.000]  萬揚遠征博士
[00:03:46.000 --> 00:03:48.000]  他是美國維敦研究院
[00:03:48.000 --> 00:03:51.000]  Virgin College的臨床心理學博士
[00:03:51.000 --> 00:03:57.000]  也是伊利諾州臨床心理學執照
[00:03:57.000 --> 00:04:02.000]  萬博士我們通常叫他Jane老師
[00:04:02.000 --> 00:04:04.000]  他寫了很多書
[00:04:04.000 --> 00:04:07.000]  其中一本最精彩的近作
[00:04:07.000 --> 00:04:13.000]  叫做人際界線如何建構人際關係中的健康界線
[00:04:13.000 --> 00:04:15.000]  剛剛寫了這本書
[00:04:15.000 --> 00:04:17.000]  你沒理由不找他講這個題目
[00:04:17.000 --> 00:04:19.000]  這是他花了很多年時間
[00:04:19.000 --> 00:04:21.000]  很多深切的體驗
[00:04:21.000 --> 00:04:24.000]  然後得出來的一個結晶品
[00:04:24.000 --> 00:04:27.000]  一個著作
[00:04:27.000 --> 00:04:29.000]  我自己看過
[00:04:29.000 --> 00:04:30.000]  我沒有看完
[00:04:30.000 --> 00:04:31.000]  不過看了大部分
[00:04:31.000 --> 00:04:34.000]  我覺得相當有深度和啟發性
[00:04:34.000 --> 00:04:38.000]  所以我們能夠請到萬博士在我們中間分享
[00:04:38.000 --> 00:04:41.000]  我們真的很大期待
[00:04:41.000 --> 00:04:47.000]  不如我們先請Jane老師跟我們分享
[00:04:47.000 --> 00:04:51.000]  然後我們稍後再作其他介紹
[00:04:51.000 --> 00:04:52.000]  歡迎
[00:05:01.000 --> 00:05:06.000]  各位老師 各位同學 各位講員
[00:05:06.000 --> 00:05:08.000]  你們好
[00:05:08.000 --> 00:05:13.000]  也在這裡跟網上的校友同學打個招呼
[00:05:13.000 --> 00:05:14.000]  跟你們問好
[00:05:14.000 --> 00:05:16.000]  有些遺憾的
[00:05:16.000 --> 00:05:20.000]  不可以在用實體的情況下跟你們交流
[00:05:20.000 --> 00:05:22.000]  不過仍然是為了有這個渠道
[00:05:22.000 --> 00:05:25.000]  可以跟大家分享是感恩的
[00:05:25.000 --> 00:05:34.000]  我們當然要留意一下時間的界線
[00:05:34.000 --> 00:05:40.000]  首先我先說說為什麼我對這個題目特別關注
[00:05:40.000 --> 00:05:43.000]  我在教會
[00:05:43.000 --> 00:05:47.000]  用評訓和領袖的身份去牧養青少年群體
[00:05:47.000 --> 00:05:48.000]  也有二十多年
[00:05:48.000 --> 00:05:52.000]  當中做到跟青少年有很多近親的接觸
[00:05:52.000 --> 00:05:54.000]  也有很多機會去做輔導關顧
[00:05:54.000 --> 00:05:57.000]  專業方面我用社工身份
[00:05:57.000 --> 00:06:01.000]  用臨床心理學家的身份去做
[00:06:01.000 --> 00:06:04.000]  在美國的時候在基督徒輔導中心
[00:06:04.000 --> 00:06:07.000]  也做了很多關顧輔導的工作
[00:06:07.000 --> 00:06:11.000]  也在一間神學院裡的輔導中心
[00:06:11.000 --> 00:06:14.000]  跟傳道人 牧者 神學生
[00:06:14.000 --> 00:06:21.000]  做一些情緒關顧的治療或回應
[00:06:21.000 --> 00:06:25.000]  所以除了專業方面
[00:06:25.000 --> 00:06:28.000]  我自己的先生是牧者
[00:06:28.000 --> 00:06:33.000]  我大兒子也是在教會裡做傳教的工作
[00:06:33.000 --> 00:06:38.000]  所以或多或少我也接觸到一些牧者或傳道人
[00:06:38.000 --> 00:06:43.000]  在做關顧關係的時候有些過界
[00:06:43.000 --> 00:06:47.000]  產生了很多令人不安的事件
[00:06:47.000 --> 00:06:49.000]  小職就大職去健保
[00:06:49.000 --> 00:06:51.000]  小職就在基督徒圈子裡
[00:06:51.000 --> 00:06:54.000]  出現了很多令人猜度的事件
