
[00:00:00.000 --> 00:00:02.920]   (soft piano music)
[00:00:02.920 --> 00:00:13.320]   - Good afternoon, ladies and gentlemen,
[00:00:13.320 --> 00:00:15.480]   fellow Christian brothers and sisters,
[00:00:15.480 --> 00:00:19.360]   gathered greetings in our Lord Jesus Christ to you all.
[00:00:19.360 --> 00:00:23.360]   Welcome to join us in our CJSC Josephine Stoll
[00:00:23.360 --> 00:00:25.880]   Culture and Ethics Lecture.
[00:00:25.880 --> 00:00:28.600]   What a wonderful moment to have us all back here
[00:00:28.600 --> 00:00:31.360]   gathering together in person for lectures.
[00:00:31.360 --> 00:00:34.440]   My name is Grace L, your host this afternoon.
[00:00:34.440 --> 00:00:39.000]   Since 1985, CJSC has been hosting this lecture series
[00:00:39.000 --> 00:00:42.600]   on a biannual basis to commemorate Josephine Stoll,
[00:00:42.600 --> 00:00:46.480]   an influential Christian thinker and leader in Hong Kong
[00:00:46.480 --> 00:00:49.960]   after her untimely death in 1982.
[00:00:49.960 --> 00:00:53.000]   This year, our lecture series is entitled,
[00:00:53.000 --> 00:00:57.160]   "Written for Us, the Old Testament as Christian Scripture."
[00:00:57.160 --> 00:01:00.360]   It is said to take a look at how the scripture,
[00:01:00.360 --> 00:01:02.600]   in particular, the Old Testament,
[00:01:02.600 --> 00:01:05.960]   is relevant to us as Christians today.
[00:01:05.960 --> 00:01:09.640]   And it is our honor to have Dr. Christopher Wright
[00:01:09.640 --> 00:01:12.280]   as our distinguished and keynote speaker.
[00:01:12.280 --> 00:01:14.240]   Dr. Wright is the global ambassador
[00:01:14.240 --> 00:01:17.600]   and ministry director of Langham Partnership.
[00:01:17.600 --> 00:01:19.800]   He is also a prolific writer.
[00:01:19.800 --> 00:01:22.960]   He has numerous profound publications,
[00:01:22.960 --> 00:01:26.480]   "The Mission of God," "Cultivating the Fruits of the Spirit,"
[00:01:26.480 --> 00:01:29.040]   "Old Testament Ethics for the People of God,"
[00:01:29.040 --> 00:01:31.840]   just to give you a few examples.
[00:01:31.840 --> 00:01:33.560]   As you can see from this book list,
[00:01:33.560 --> 00:01:36.840]   Dr. Wright's passion to bring to life
[00:01:36.840 --> 00:01:38.680]   the relevance of the Old Testament
[00:01:38.680 --> 00:01:42.360]   for Christian mission and ethics is more than obvious.
[00:01:42.360 --> 00:01:44.080]   Following the first two lectures
[00:01:44.080 --> 00:01:46.560]   on Christian identity and mission,
[00:01:46.560 --> 00:01:49.840]   this afternoon, Dr. Wright will deliver the third lecture
[00:01:49.840 --> 00:01:53.520]   entitled, "The Old Testament and Christian Ethics,
[00:01:53.520 --> 00:01:54.920]   "How Should We Live?"
[00:01:54.920 --> 00:01:57.120]   Without further ado, please join me
[00:01:57.120 --> 00:01:59.240]   in welcoming Dr. Christopher Wright.
[00:01:59.240 --> 00:02:08.400]   - Thank you, Dr. Ah.
[00:02:08.400 --> 00:02:11.360]   That was a very kind and warm welcome.
[00:02:11.360 --> 00:02:13.880]   And it's lovely to be here on a sunny day today.
[00:02:13.880 --> 00:02:16.480]   It's not quite like London,
[00:02:16.480 --> 00:02:19.800]   but still very, very much more like the Hong Kong
[00:02:19.800 --> 00:02:21.840]   that I remember from previous visits.
[00:02:21.840 --> 00:02:24.280]   Let me again, as I did yesterday,
[00:02:24.280 --> 00:02:27.120]   just in case you're here today, this afternoon,
[00:02:27.120 --> 00:02:28.960]   for the first time, say that I bring greetings
[00:02:28.960 --> 00:02:31.040]   from my home church of All Souls Church,
[00:02:31.040 --> 00:02:32.680]   Langham Place in London,
[00:02:32.680 --> 00:02:36.080]   from which the Langham Foundation gets its name,
[00:02:36.080 --> 00:02:38.640]   from that street in London where John Stott
[00:02:38.640 --> 00:02:40.200]   used to live and minister,
[00:02:40.200 --> 00:02:42.040]   and founded the Langham Partnership,
[00:02:42.040 --> 00:02:45.080]   which is here in Hong Kong, known as Langham Foundation.
[00:02:45.080 --> 00:02:48.240]   So greetings to you from us and from them.
[00:02:48.240 --> 00:02:52.760]   So now, as I said, we are moving today
[00:02:52.760 --> 00:02:56.320]   into the third of our lectures in this topic.
[00:02:56.320 --> 00:03:00.000]   And in our first lecture, as you remember,
[00:03:00.000 --> 00:03:05.000]   we saw how our Christian identity is deeply rooted
[00:03:05.000 --> 00:03:09.800]   and shaped by the identity of Israel in the Old Testament.
[00:03:09.800 --> 00:03:13.680]   And in Christ, we, the multinational community of believers,
[00:03:13.680 --> 00:03:17.840]   Jews and Gentiles, Paul says, are the seed of Abraham.
[00:03:17.840 --> 00:03:19.680]   And we observed in that lecture
[00:03:19.680 --> 00:03:21.520]   how there are various metaphors
[00:03:21.520 --> 00:03:23.360]   within that great story of Israel,
[00:03:23.360 --> 00:03:25.720]   which describe them as a people,
[00:03:25.720 --> 00:03:27.680]   which are then picked up in the New Testament
[00:03:27.680 --> 00:03:31.400]   and applied with Christ-centered significance
[00:03:31.400 --> 00:03:34.040]   to God's people in all nations.
[00:03:34.040 --> 00:03:36.120]   And then in our second lecture,
[00:03:36.120 --> 00:03:38.680]   we saw how that identity of Israel
[00:03:38.680 --> 00:03:41.880]   generated a missional purpose of being a people
[00:03:41.880 --> 00:03:45.600]   who are created and called by Yahweh, their God,
[00:03:45.600 --> 00:03:49.320]   to be something for him in the world.
[00:03:49.320 --> 00:03:51.520]   God had declared his intention to Abraham
[00:03:51.520 --> 00:03:55.160]   to bring blessing to all nations on earth through him.
[00:03:55.160 --> 00:03:57.400]   And when we turn to the New Testament,
[00:03:57.400 --> 00:04:00.400]   we saw that our mission, as we think of it
[00:04:00.400 --> 00:04:03.960]   as Christian people, derives ultimately from God's mission,
[00:04:03.960 --> 00:04:08.280]   God's objective of bringing blessing to the world.
[00:04:08.280 --> 00:04:11.560]   And therefore, our mission includes being a blessing,
[00:04:11.560 --> 00:04:14.320]   serving, witnessing, terms which all go back
[00:04:14.320 --> 00:04:15.640]   to the scriptures.
[00:04:15.640 --> 00:04:18.520]   And so today then, in our third lecture,
[00:04:18.520 --> 00:04:21.840]   we are seeing how that missional identity of Israel
[00:04:21.840 --> 00:04:24.880]   generated a distinctive ethic.
[00:04:24.880 --> 00:04:28.400]   That's to say, Israel was not just to be the people of God,
[00:04:28.400 --> 00:04:31.320]   but to live as the people of God
[00:04:31.320 --> 00:04:35.320]   in ways that would reflect the character
[00:04:35.320 --> 00:04:38.920]   and the demands of Yahweh, their God, in everyday life,
[00:04:38.920 --> 00:04:42.400]   in the ordinary things of life as a nation.
[00:04:42.400 --> 00:04:43.820]   And what we're going to observe today
[00:04:43.820 --> 00:04:46.800]   is that this powerfully ethical dimension
[00:04:46.800 --> 00:04:49.520]   of Israel's faith in the Old Testament
[00:04:49.520 --> 00:04:53.080]   became the motivation, the source, the impact
[00:04:53.080 --> 00:04:55.920]   for what is written for our learning
[00:04:55.920 --> 00:04:58.880]   as we also strive to walk in the ways of the Lord.
[00:04:58.880 --> 00:05:01.880]   And once again, what we're going to do today
[00:05:01.880 --> 00:05:05.280]   is to follow the same pathway
[00:05:05.280 --> 00:05:07.760]   that we did in our last two lectures,
[00:05:07.760 --> 00:05:12.480]   which is to see the trajectory of Israel's journey with God
[00:05:12.480 --> 00:05:16.080]   through election, chosen in Abraham, in Genesis,
[00:05:16.080 --> 00:05:19.680]   through the story of redemption in the Exodus,
[00:05:19.680 --> 00:05:21.000]   in the book of Exodus,
[00:05:21.000 --> 00:05:23.800]   and then to the covenant that God made with Israel
[00:05:23.800 --> 00:05:25.880]   at Mount Sinai, and to have a look
[00:05:25.880 --> 00:05:27.800]   at the book of Deuteronomy.
