
[00:00:00.000 --> 00:00:02.000]  各位靈性平安
[00:00:02.000 --> 00:00:04.000]  我們感謝神
[00:00:04.000 --> 00:00:06.000]  今天有一次特別的家庭主日
[00:00:06.000 --> 00:00:08.000]  我們可以和家人一齊
[00:00:08.000 --> 00:00:10.000]  來去敬拜神
[00:00:10.000 --> 00:00:12.000]  我們一年只有兩次
[00:00:12.000 --> 00:00:14.000]  這樣的機會
[00:00:14.000 --> 00:00:16.000]  所以今天很開心有大朋友
[00:00:16.000 --> 00:00:18.000]  小朋友一起在這裡敬拜神
[00:00:18.000 --> 00:00:20.000]  我知道有很多靈性姐妹
[00:00:20.000 --> 00:00:22.000]  可以和家人坐在一起
[00:00:22.000 --> 00:00:24.000]  或者未必坐在一起
[00:00:24.000 --> 00:00:26.000]  知道在其他轉播點
[00:00:26.000 --> 00:00:28.000]  但同時在敬拜神
[00:00:28.000 --> 00:00:30.000]  可以舉手給我們看看
[00:00:30.000 --> 00:00:32.000]  你知道在旁邊附近
[00:00:32.000 --> 00:00:34.000]  我們感謝神
[00:00:34.000 --> 00:00:36.000]  很多家庭在我們中間
[00:00:36.000 --> 00:00:38.000]  有沒有兩代
[00:00:38.000 --> 00:00:40.000]  或者三代
[00:00:40.000 --> 00:00:42.000]  三代都在這裡
[00:00:42.000 --> 00:00:44.000]  三代都一起敬拜
[00:00:44.000 --> 00:00:46.000]  有
[00:00:46.000 --> 00:00:48.000]  那邊也有
[00:00:48.000 --> 00:00:50.000]  那邊也有
[00:00:50.000 --> 00:00:52.000]  四代呢?
[00:00:52.000 --> 00:00:54.000]  有嗎?
[00:00:54.000 --> 00:00:56.000]  有啊
[00:00:56.000 --> 00:01:04.000]  (掌聲)
[00:01:04.000 --> 00:01:06.000]  今天神和我們一起
[00:01:06.000 --> 00:01:08.000]  我們很盼望家中
[00:01:08.000 --> 00:01:10.000]  每一個都能夠認識
[00:01:10.000 --> 00:01:12.000]  也可以一起去敬拜神
[00:01:12.000 --> 00:01:14.000]  跟隨神
[00:01:14.000 --> 00:01:16.000]  家庭主日我們有一個傳統
[00:01:16.000 --> 00:01:18.000]  我們會開始時說一個故事
[00:01:18.000 --> 00:01:20.000]  今早有小朋友問我
[00:01:20.000 --> 00:01:22.000]  施牧師的羊羊在哪裡?
[00:01:22.000 --> 00:01:24.000]  不過今天羊羊睡了
[00:01:24.000 --> 00:01:26.000]  牠們說沒空出來
[00:01:26.000 --> 00:01:28.000]  但其他小動物會出來
[00:01:28.000 --> 00:01:30.000]  不過我們等一等
[00:01:30.000 --> 00:01:32.000]  叫牠們出來
[00:01:32.000 --> 00:01:34.000]  好嗎?
[00:01:34.000 --> 00:01:50.000]  好
[00:01:50.000 --> 00:01:52.000]  牠們還未肯出來
[00:01:52.000 --> 00:01:54.000]  但牠們還未肯出來
[00:01:54.000 --> 00:02:00.000]  出來了
[00:02:00.000 --> 00:02:02.000]  這個小朋友
