
[00:00:00.000 --> 00:00:03.800]  去思想什麼叫信耶穌的意義
[00:00:03.800 --> 00:00:06.600]  什麼叫成為一個基督徒
[00:00:06.600 --> 00:00:09.600]  在過去幾次的崇拜裏面
[00:00:09.600 --> 00:00:11.200]  我們很清楚的去講出
[00:00:11.200 --> 00:00:12.400]  在《善經》裏面說
[00:00:12.400 --> 00:00:15.200]  這個世界是有一個上帝
[00:00:15.200 --> 00:00:16.800]  有一個上帝
[00:00:16.800 --> 00:00:19.600]  有一個公義的上帝
[00:00:19.600 --> 00:00:23.400]  有一個會施行公義審判的上帝
[00:00:23.400 --> 00:00:26.000]  我們知道我們是一個罪人
[00:00:26.000 --> 00:00:27.000]  我們都是一班罪人
[00:00:27.000 --> 00:00:29.000]  我們本來遠離上帝
[00:00:29.000 --> 00:00:31.600]  我們本來要永遠和上帝的分開
[00:00:31.600 --> 00:00:34.400]  在罪的刑罰裏面
[00:00:34.400 --> 00:00:36.000]  但是上帝有恩典
[00:00:36.000 --> 00:00:38.400]  讓耶穌為世人的罪
[00:00:38.400 --> 00:00:39.800]  釘在十字架上
[00:00:39.800 --> 00:00:43.600]  所以我們有因信而來的恩典
[00:00:43.600 --> 00:00:47.200]  因相信耶穌的代死
[00:00:47.200 --> 00:00:49.200]  而得到和上帝
[00:00:49.200 --> 00:00:51.400]  跟從上帝的一個機會
[00:00:51.400 --> 00:00:53.800]  這個是上帝給我們的恩典
[00:00:53.800 --> 00:00:55.600]  當我們去認識耶穌
[00:00:55.600 --> 00:00:57.400]  跟從上帝之後
[00:00:57.400 --> 00:00:58.600]  我們整個一生
[00:00:58.600 --> 00:01:00.200]  我們知道我們不孤單
[00:01:00.200 --> 00:01:02.000]  我們無論在什麼的境況裏面
[00:01:02.000 --> 00:01:03.200]  有上帝的同行
[00:01:03.200 --> 00:01:04.800]  有上帝的幫助
[00:01:04.800 --> 00:01:06.800]  今天我們要講一個
[00:01:06.800 --> 00:01:08.800]  很重要的一個信息
[00:01:08.800 --> 00:01:13.000]  就是整個基督教信仰的基礎
[00:01:13.000 --> 00:01:15.000]  如果沒有了這個基礎
[00:01:15.000 --> 00:01:18.400]  我們說上帝的審判
[00:01:18.400 --> 00:01:20.200]  上帝的恩典
[00:01:20.200 --> 00:01:23.400]  都未必是這麼確實
[00:01:23.400 --> 00:01:24.800]  是什麼基礎呢
[00:01:24.800 --> 00:01:27.600]  今天我們就講耶穌的復活
[00:01:27.600 --> 00:01:30.000]  耶穌的復活在教教來講
[00:01:30.000 --> 00:01:31.800]  在教徒的信仰來講
[00:01:31.800 --> 00:01:34.600]  是相當重要的一個歷史的事實
[00:01:34.600 --> 00:01:37.200]  和一個信仰的根基
[00:01:37.200 --> 00:01:39.800]  在初期教會
[00:01:39.800 --> 00:01:41.600]  可以說他們經常的
[00:01:41.600 --> 00:01:44.600]  去講出一個很重要的認順
[00:01:44.600 --> 00:01:46.400]  在《侍郎傳》三章十五節那裏
[00:01:46.400 --> 00:01:49.400]  我講你們殺了那個生命的主
