
[00:00:00.000 --> 00:00:06.000]  今天早上我們已經有了很好的敬拜讚美禱告
[00:00:06.000 --> 00:00:17.000]  我們想到當日先知以色列看見了耶穌華榮耀的意象
[00:00:17.000 --> 00:00:25.000]  我們看見神的寶座
[00:00:25.000 --> 00:00:31.000]  看見神的威榮
[00:00:31.000 --> 00:00:37.000]  那個時候他的心裡就發出來一個響應
[00:00:37.000 --> 00:00:42.000]  我在這裡請拆遷我
[00:00:42.000 --> 00:00:49.000]  今天早上我們又深深地感受到神的威榮 神的偉大
[00:00:49.000 --> 00:01:03.000]  我們願意像先知以色列一樣 再次把我們的生命完全奉獻給最為值得我們奉獻的主
[00:01:03.000 --> 00:01:17.000]  從心底下也發出來同樣的呼聲 我在這裡請拆遷我
[00:01:17.000 --> 00:01:24.000]  從心底下也想回應神 說:主,我正在這裡
[00:01:24.000 --> 00:01:26.000]  耶穌登山變相的時候
[00:01:26.000 --> 00:01:31.000]  耶穌在祂的嘴裡哭泣 顯出祂的神性的榮耀
[00:01:31.000 --> 00:01:40.000]  在那樣的情景之下 試圖逼著說我們在這裡真好
[00:01:40.000 --> 00:01:46.000]  在那樣的情景之下 試圖逼著說我們在這裡真好
[00:01:46.000 --> 00:01:52.000]  各位弟兄姊妹 各位同工 各位同工
[00:01:52.000 --> 00:01:58.000]  我們的主真好 我們的主真好 我們跟從祂是何等的榮耀
[00:01:58.000 --> 00:02:01.000]  我們跟從祂是何等的榮耀
[00:02:01.000 --> 00:02:06.000]  這六天早上的茶精 這是六天早上的茶精
[00:02:06.000 --> 00:02:09.000]  主義目的就是跟隨基督
[00:02:09.000 --> 00:02:11.000]  主義目的就是跟隨基督
[00:02:11.000 --> 00:02:13.000]  我們不能不跟隨基督
[00:02:13.000 --> 00:02:15.000]  我們不能不跟隨基督
[00:02:15.000 --> 00:02:18.000]  這位榮耀的基督在前面引導我們
[00:02:18.000 --> 00:02:23.000]  這位榮耀的基督在前面引導我們
[00:02:23.000 --> 00:02:26.000]  我們整個的生命都被基督吸引
[00:02:26.000 --> 00:02:29.000]  我們整個的生命都被基督吸引
[00:02:29.000 --> 00:02:33.000]  我們無體投地那樣在主的面前
[00:02:33.000 --> 00:02:35.000]  我們嚮往祂
[00:02:35.000 --> 00:02:38.000]  我們嚮往祂
[00:02:38.000 --> 00:02:41.000]  跟隨基督是何等的權利
[00:02:41.000 --> 00:02:44.000]  跟隨基督是何等的權利
[00:02:44.000 --> 00:02:46.000]  是何等的榮耀
[00:02:46.000 --> 00:02:49.000]  是何等的喜樂
[00:02:49.000 --> 00:02:54.000]  茶精會 我們把重點放在主的話語上
[00:02:54.000 --> 00:02:59.000]  茶精會 我們把重點放在主的話語上
[00:02:59.000 --> 00:03:04.000]  我們今天早上要從菲律賓書第一章來看
[00:03:04.000 --> 00:03:07.000]  我們今天早上要從菲律賓書第一章來看
[00:03:07.000 --> 00:03:10.000]  跟隨基督的基礎
[00:03:10.000 --> 00:03:12.000]  跟隨基督的基礎
[00:03:12.000 --> 00:03:14.000]  就是與主合一
[00:03:14.000 --> 00:03:16.000]  就是與主合一
[00:03:16.000 --> 00:03:18.000]  請大家翻到菲律賓書
[00:03:18.000 --> 00:03:20.000]  請大家翻到菲律賓書
[00:03:20.000 --> 00:03:22.000]  一件非常寶貴的書
[00:03:22.000 --> 00:03:25.000]  一件非常寶貴的書
[00:03:25.000 --> 00:03:27.000]  我們想到與主合一的時候
[00:03:27.000 --> 00:03:28.000]  我們想到與主合一的時候
[00:03:28.000 --> 00:03:31.000]  當我們思考到與主合一的主題
[00:03:31.000 --> 00:03:35.000]  一節的經句立刻浮現在我們的心中
[00:03:35.000 --> 00:03:36.000]  一節的經句立刻浮現在我們的心中
[00:03:36.000 --> 00:03:39.000]  One golden verse surface in our mind
[00:03:39.000 --> 00:03:41.000]  一章二十節
[00:03:41.000 --> 00:03:44.000]  21 Verse 21
[00:03:44.000 --> 00:03:46.000]  21 節 Verse 21
[00:03:46.000 --> 00:03:50.000]  因為我活著就是基督
[00:03:50.000 --> 00:03:53.000]  For to me to make is Christ
[00:03:53.000 --> 00:03:58.000]  這是基督教信仰的一個最高的表達
[00:03:58.000 --> 00:04:01.000]  This is the highest manifestation of Christianity
[00:04:01.000 --> 00:04:04.000]  我活著就是基督
[00:04:04.000 --> 00:04:06.000]  For me to live is Christ
[00:04:06.000 --> 00:04:09.000]  這句話在石頭堡羅的生命中
[00:04:09.000 --> 00:04:11.000]  世風中展現
[00:04:11.000 --> 00:04:12.000]  顯明出來
[00:04:12.000 --> 00:04:15.000]  And this statement about the life of Paul
[00:04:15.000 --> 00:04:17.000]  is fully manifested
[00:04:17.000 --> 00:04:19.000]  原來這句話太抽象
[00:04:19.000 --> 00:04:20.000]  太崇高
[00:04:20.000 --> 00:04:21.000]  太高調
[00:04:21.000 --> 00:04:24.000]  Actually this word is so abstract
[00:04:24.000 --> 00:04:25.000]  It's of a high level
[00:04:25.000 --> 00:04:29.000]  但是當我們看石頭堡羅的表現的時候
[00:04:29.000 --> 00:04:33.000]  But then as we witness the manifestation upon Paul
[00:04:33.000 --> 00:04:36.000]  立刻我們感覺這句話何等的真實
[00:04:36.000 --> 00:04:38.000]  何等的寶貴
[00:04:38.000 --> 00:04:41.000]  Immediately we can understand it's so precious and so real
[00:04:41.000 --> 00:04:44.000]  我活著就是基督
[00:04:44.000 --> 00:04:46.000]  For me to live is Christ
[00:04:46.000 --> 00:04:49.000]  有三個意思包括在這句話裡頭
[00:04:49.000 --> 00:04:51.000]  Three meanings are included in this statement
[00:04:51.000 --> 00:04:54.000]  是如基督而活
[00:04:54.000 --> 00:04:56.000]  To live like Christ
[00:04:56.000 --> 00:04:59.000]  第二為基督而活
[00:04:59.000 --> 00:05:01.000]  To live for Christ
[00:05:01.000 --> 00:05:02.000]  第三 and the fourth
[00:05:02.000 --> 00:05:04.000]  藉基督而活
[00:05:04.000 --> 00:05:06.000]  To live through Christ
[00:05:06.000 --> 00:05:09.000]  如基督而活是我們向基督
[00:05:09.000 --> 00:05:11.000]  To live like Christ
[00:05:11.000 --> 00:05:14.000]  Which we want to imitate Jesus Christ himself
[00:05:14.000 --> 00:05:17.000]  他的形象從我們身上顯出來
[00:05:17.000 --> 00:05:20.000]  That is his image upon us is being manifested
[00:05:20.000 --> 00:05:23.000]  為基督而活是我們生活的目標
[00:05:23.000 --> 00:05:25.000]  和基督一樣
[00:05:25.000 --> 00:05:26.000]  To live for Christ
[00:05:26.000 --> 00:05:30.000]  That is our aim coincide with the purpose of Jesus Christ
[00:05:30.000 --> 00:05:34.000]  藉基督而活是讓基督的生命的能力
[00:05:34.000 --> 00:05:37.000]  在我們裡面發揮出來
[00:05:37.000 --> 00:05:39.000]  To live through Christ
[00:05:39.000 --> 00:05:42.000]  So that the power of Jesus Christ through us is being manifested
[00:05:42.000 --> 00:05:46.000]  我們沒有一個人能藉自己的力量來活著就是基督
[00:05:46.000 --> 00:05:50.000]  There is no one who can live by his own self and to be like Christ
[00:05:50.000 --> 00:05:54.000]  當基督在我們裡面的時候就不同了
[00:05:54.000 --> 00:05:58.000]  But when Christ is in us then it is totally different
[00:05:58.000 --> 00:06:01.000]  內居的基督同在的基督
[00:06:01.000 --> 00:06:04.000]  把他自己藉著我們活出來
[00:06:04.000 --> 00:06:06.000]  The immanent the indwelling Christ
[00:06:06.000 --> 00:06:08.000]  Through our body is being manifested
[00:06:08.000 --> 00:06:11.000]  我們想到如基督而活
[00:06:11.000 --> 00:06:13.000]  To live like Christ
[00:06:13.000 --> 00:06:17.000]  保羅在羅馬書第八章二十九節這樣說
[00:06:17.000 --> 00:06:20.000]  (英文)
[00:06:20.000 --> 00:06:23.000]  我要把這一節讀出來給大家聽
[00:06:23.000 --> 00:06:26.000]  很熟悉的一節聖經
[00:06:26.000 --> 00:06:31.000]  (英文)
[00:06:31.000 --> 00:06:33.000]  八章二十九節
[00:06:33.000 --> 00:06:35.000]  (英文)
[00:06:35.000 --> 00:06:39.000]  因為他預先所知道的人就預先定下
[00:06:39.000 --> 00:06:41.000]  效法他兒子的模樣
[00:06:41.000 --> 00:06:45.000]  使他的兒子在許多地球中做長子
[00:06:45.000 --> 00:06:55.000]  (英文)
[00:06:55.000 --> 00:06:57.000]  在這兩節裡面
[00:06:57.000 --> 00:06:59.000]  二十八二十九裡面
[00:06:59.000 --> 00:07:03.000]  告訴我們神兩重的雙重的預定
[00:07:03.000 --> 00:07:09.000]  (英文)
[00:07:09.000 --> 00:07:10.000]  首先
[00:07:10.000 --> 00:07:12.000]  (英文)
[00:07:12.000 --> 00:07:14.000]  Verse twenty and verse end
[00:07:14.000 --> 00:07:17.000]  (英文)
[00:07:17.000 --> 00:07:20.000]  Who are called according to his purpose
[00:07:20.000 --> 00:07:24.000]  (英文)
[00:07:24.000 --> 00:07:27.000]  That God in Christ has predestined us
[00:07:27.000 --> 00:07:28.000]  Has saved us
[00:07:28.000 --> 00:07:30.000]  (英文)
[00:07:30.000 --> 00:07:32.000]  This is the predestination of salvation
[00:07:32.000 --> 00:07:33.000]  (英文)
[00:07:33.000 --> 00:07:34.000]  And then
[00:07:34.000 --> 00:07:35.000]  (英文)
[00:07:35.000 --> 00:07:36.000]  Verse twenty nine
[00:07:36.000 --> 00:07:38.000]  (英文)
[00:07:38.000 --> 00:07:40.000]  For those whom he foreknew
[00:07:40.000 --> 00:07:44.000]  就預先定下效法他兒子的模樣
[00:07:44.000 --> 00:07:48.000]  He also predestined to be confirmed to the image of his son
[00:07:48.000 --> 00:07:51.000]  (英文)
[00:07:51.000 --> 00:07:55.000]  That God in us wants us to be like Christ
[00:07:55.000 --> 00:07:57.000]  (英文)
[00:07:57.000 --> 00:07:59.000]  The twofold predestination
[00:07:59.000 --> 00:08:00.000]  (英文)
[00:08:00.000 --> 00:08:02.000]  To predestine us to be saved
[00:08:02.000 --> 00:08:05.000]  (英文)
[00:08:05.000 --> 00:08:06.000]  To be like Christ
[00:08:06.000 --> 00:08:07.000]  (英文)
[00:08:07.000 --> 00:08:08.000]  To be confirmed to his son
[00:08:08.000 --> 00:08:09.000]  And to imitate him
[00:08:09.000 --> 00:08:12.000]  (英文)
[00:08:12.000 --> 00:08:15.000]  Many Christians only know about the first predestination
[00:08:15.000 --> 00:08:17.000]  (英文)
[00:08:17.000 --> 00:08:19.000]  That I have been elected and saved
[00:08:19.000 --> 00:08:21.000]  (英文)
[00:08:21.000 --> 00:08:23.000]  Such a grace and such a privilege
[00:08:23.000 --> 00:08:26.000]  (英文)
[00:08:26.000 --> 00:08:29.000]  And we do not know about the second fold of predestination
[00:08:29.000 --> 00:08:33.000]  (英文)
[00:08:33.000 --> 00:08:36.000]  Because of that we never press forward to be like Christ
[00:08:36.000 --> 00:08:38.000]  (英文)
[00:08:38.000 --> 00:08:42.000]  在我們的心中有非常清楚的輪廓
[00:08:42.000 --> 00:08:48.000]  How I desire that this twofold predestination will be drawn and drawn in our hearts
[00:08:48.000 --> 00:08:54.000]  (英文)
[00:08:54.000 --> 00:08:57.000]  So that I can live for Christ and live like Christ
[00:08:57.000 --> 00:08:59.000]  (英文)
[00:08:59.000 --> 00:09:01.000]  And also for his sake that I live
[00:09:01.000 --> 00:09:04.000]  (英文)
[00:09:04.000 --> 00:09:07.000]  That the purpose of Jesus Christ is our purpose
[00:09:07.000 --> 00:09:08.000]  (英文)
[00:09:08.000 --> 00:09:09.000]  Someone who study well
[00:09:09.000 --> 00:09:13.000]  (英文)
[00:09:13.000 --> 00:09:16.000]  Upon the earth Christ Jesus has no hand and he has used our hands
[00:09:16.000 --> 00:09:20.000]  (英文)
[00:09:20.000 --> 00:09:23.000]  On the earth he has no legs he has used our legs
[00:09:23.000 --> 00:09:25.000]  (英文)
[00:09:25.000 --> 00:09:28.000]  And he doesn't have a mouth so he has used our mouths
[00:09:28.000 --> 00:09:33.000]  (英文)
[00:09:33.000 --> 00:09:37.000]  Our whole being is united with the purpose of Jesus Christ
[00:09:37.000 --> 00:09:40.000]  (英文)
[00:09:40.000 --> 00:09:42.000]  So that we live for Christ
[00:09:42.000 --> 00:09:44.000]  (英文)
[00:09:44.000 --> 00:09:45.000]  In this conference
[00:09:45.000 --> 00:09:47.000]  (英文)
[00:09:47.000 --> 00:09:49.000]  We have a very clear objective
[00:09:49.000 --> 00:09:52.000]  (英文)
[00:09:52.000 --> 00:09:55.000]  In this great commission we are the lead for Christ
[00:09:55.000 --> 00:09:58.000]  (英文)
[00:09:58.000 --> 00:10:02.000]  So that the commission that Christ entrust us will not be obeyed
[00:10:02.000 --> 00:10:05.000]  (英文)
[00:10:05.000 --> 00:10:08.000]  Such is the great and all known mission for us
[00:10:08.000 --> 00:10:11.000]  (英文)
[00:10:11.000 --> 00:10:15.000]  It is very much closer for the second coming of Jesus Christ
[00:10:15.000 --> 00:10:20.000]  (英文)
[00:10:20.000 --> 00:10:24.000]  Jesus Christ second coming become the greatest motivation for the preaching
[00:10:24.000 --> 00:10:27.000]  (英文)
[00:10:27.000 --> 00:10:29.000]  And also when the live for Christ
[00:10:29.000 --> 00:10:31.000]  (英文)
[00:10:31.000 --> 00:10:32.000]  Praise God
[00:10:32.000 --> 00:10:35.000]  (英文)
[00:10:35.000 --> 00:10:38.000]  That the power of Jesus Christ is together with each and every one of us
[00:10:38.000 --> 00:10:42.000]  (英文)
[00:10:42.000 --> 00:10:45.000]  There is a verse from the Bible that become the source of my strength
[00:10:45.000 --> 00:10:47.000]  (英文)
[00:10:47.000 --> 00:10:49.000]  Second coming 10 to the 12 was mine
[00:10:49.000 --> 00:10:51.000]  (英文)
[00:10:51.000 --> 00:10:53.000]  Christ Jesus told Paul
[00:10:53.000 --> 00:10:55.000]  (英文)
[00:10:55.000 --> 00:10:57.000]  That my grace is sufficient for you
[00:10:57.000 --> 00:11:00.000]  (英文)
[00:11:00.000 --> 00:11:04.000]  Because my power is manifested upon who he who is weak
[00:11:04.000 --> 00:11:07.000]  (英文)
[00:11:07.000 --> 00:11:11.000]  And Paul said even more I would boast about my own weaknesses
[00:11:11.000 --> 00:11:13.000]  (英文)
[00:11:13.000 --> 00:11:16.000]  There is no one who is willing to boast about his own weaknesses
[00:11:16.000 --> 00:11:18.000]  (英文)
[00:11:18.000 --> 00:11:22.000]  But he who boasts about his own weaknesses
[00:11:22.000 --> 00:11:24.000]  (英文)
[00:11:24.000 --> 00:11:28.000]  It is because he knows that Christ Jesus power will be manifested upon those who are weak
[00:11:28.000 --> 00:11:30.000]  (英文)
[00:11:30.000 --> 00:11:35.000]  Once more I want to accept this Bible verse with no harm
[00:11:35.000 --> 00:11:37.000]  (英文)
[00:11:37.000 --> 00:11:39.000]  For for me to live is Christ
[00:11:39.000 --> 00:11:41.000]  (英文)
[00:11:41.000 --> 00:11:46.000]  We want to see in chapter 1 how that Paul had been living
[00:11:46.000 --> 00:11:48.000]  (英文)
[00:11:48.000 --> 00:11:50.000]  With Jesus Christ
[00:11:50.000 --> 00:11:52.000]  (英文)
[00:11:52.000 --> 00:11:56.000]  According to the outline that we have on hand I want to speak accordingly
[00:11:56.000 --> 00:11:57.000]  (英文)
[00:11:57.000 --> 00:11:58.000]  The first
[00:11:58.000 --> 00:12:03.000]  (英文)
[00:12:03.000 --> 00:12:07.000]  Paul in chapter 1 verse he said I am united with Christ's affection
[00:12:07.000 --> 00:12:08.000]  (英文)
[00:12:08.000 --> 00:12:10.000]  I will read for you
[00:12:10.000 --> 00:12:11.000]  (英文)
[00:12:11.000 --> 00:12:13.000]  I have experienced the heart of Christ
[00:12:13.000 --> 00:12:14.000]  (英文)
[00:12:14.000 --> 00:12:15.000]  And I miss you all
[00:12:15.000 --> 00:12:16.000]  (英文)
[00:12:16.000 --> 00:12:18.000]  This is something that God can witness for me
[00:12:18.000 --> 00:12:24.000]  (英文)
[00:12:24.000 --> 00:12:26.000]  To experience the heart of Christ
